Text,class_label,examples,topic
And I was taking on discrimination against African-American kids in schools.,Yes,,
"Then we went in with the multinational force to help remove, and did remove, more than 13,000 of those terrorists from Lebanon.",Yes,,
"I can understand why you are, Mr. Mondale, because as a Senator you voted 16 times to increase taxes.",Yes,,
I'm going to fight for a fair trade playing field for the American worker.,No,,
I have fought to cut spending.,Yes,,
I think we ought to have character education in our schools.,No,,
"What we got to do is keep working, as the Labor Dept is doing a first-class job on, to break down discrimination, to break down the glass ceiling.",Yes,,
The year that he decided we had lost our way was the year that John F. Kennedy was running against Richard Nixon.,Yes,,
I'm going to help the African-Americans.,No,,
"Secondly, he says that medical liability costs only cause a 1 percent increase.",Yes,,
"You know, right out of law school, I went to work for the Children's Defense Fund.",No,,
In the last few years government has gotten bigger and bigger; industry has gotten larger and larger; labor unions have gotten bigger and bigger; and our children have been the victims of mass education.,No,,
"Got rid of a despot who had killed Americans and as a consequence, despite this tragedy, you had tens of thousands of Libyans after the events in Benghazi marching and saying America is our friend.",Yes,,
"And then, of course, the - the final thing is that I have signed and approved of more scenic rivers, more wilderness areas, since I've been president than any other president in the history of the United States.",Yes,,
"Well, the United States uh - has on occasion attempted uh - mostly in the middle fifties, to persuade Chiang Kai-shek to pull his troops back to Formosa.",Yes,,
"The platform suggests that it can be done through economic growth; that it can be done, in effect, with mirrors.",Yes,,
Mr. Bush and Mr. Quayle do not.,No,,
Our d- security depends upon Latin America.,No,,
They have too many employees.,No,,
I don't admire Fidel Castro at all.,No,,
It's been one of secrecy and exclusion.,No,,
"Yet at the same time, he was very -- we were very unpopular in Europe because of the decisions he made.",Yes,,
It hasn't worked out that way.,No,,
The first president in 72 years to lose jobs.,Yes,,
"So what I want to do is focus on early childhood education, providing teachers higher salaries in exchange for more support.",No,,
The president's path means 20 million people out of work struggling for a good job.,Yes,,
"Well, first of all, she wants to give amnesty, which is a disaster and very unfair to all of the people that are waiting on line for many, many years.",Yes,,
Let's talk about corporate taxes.,No,,
I believe we should have a stronger military force.,No,,
We have to make sure that our technological and intelligence capabilities are better.,No,,
"I want to move forward, I want this nation to move forward.",No,,
We have the highest rating from the watchdogs that follow foundations.,Yes,,
We are going to ask the wealthy and corporations to pay their fair share.,No,,
"So what happened was we got distracted, we diverted resources, and ultimately bin Laden escaped, set up base camps in the mountains of Pakistan in the northwest provinces there.",Yes,,
And we need to make sure they have the arms they need to carry out the very important role which is getting rid of Assad.,No,,
But it's the Internal Revenue Service which estimates now that we aren't collecting $100 billion or more in taxes owed in this country.,Yes,,
The last point I'll make about small businesses.,No,,
What I have proposed would cut regulations and streamline them for small businesses.,Yes,,
"But we were far stronger relative to the Communists five years ago, and what is of great concern is that the balance of power is in danger of moving with them.",Yes,,
Five million homes were lost.,Yes,,
"He keeps saying, ""Look, I've created 5 million jobs.""",Yes,,
It's to make sure we have fiscal sanity and keep taxes low.,No,,
"By the way, I just found out the other day an interesting fact, that there is a national petroleum reserve right next to -- in Prudhoe Bay that your administration opened up for exploration in that pristine area.",Yes,,
I believe in the American dream.,No,,
"And I've worked hard for a long time to make them better, 90 percent of our kids are there.",Yes,,
An election law just in the last few days.,No,,
The chairman of the Federal Reserve Board should be independent.,No,,
"Cutting 500,000 kids from after-school programs, cutting 365,000 kids from health care, running up the biggest deficits in American history.",Yes,,
"And if it gets overturned, then we'll end up with marriage being defined by courts, and I don't think that's in our nation's interests.",Yes,,
"Well, they also know if they live in San Diego, Mr. President, if you're caught with 125 pounds of marijuana or less, you go back to Mexico.",Yes,,
I believe it's important to resist the temptation to squander our surplus.,No,,
We've made every one of them eligible for a tax cut.,Yes,,
"This is something that we can do; the Congress failed to do it, and we intend to do it.",Yes,,
"First of all, let me sharply disagree with the President on sharing the most advanced, the most dangerous, the most important technology in America with the Soviet Union.",Yes,,
It brought the crime rate way down.,Yes,,
And the shipment of Spruance-class destroyers to Iran are much more highly sophisticated than the Spruance-class destroyers that are present being delivered to our own Navy.,Yes,,
And I don't think that's the right approach when it comes to making sure that Medicare is stronger over the long term.,No,,
Let's not forget that our national security and our economic security go hand in hand.,No,,
"It seems to me the president, whoever the president may be, this is one of his highest responsibilities.",No,,
"But here's what I don't want people to forget when we're talking about reining in the costs, which has to be the highest priority of the next president, when the Affordable Care Act passed, it wasn't just that 20 million got insurance who didn't have it before.",Yes,,
"And, honestly, nobody has business doing what I just said, doing that, as late as one or two or three or four days prior to birth.",No,,
Mr. Ford hasn't moved on this.,Yes,,
"And so when I think about what we need to do, we have 33,000 people a year who die from guns.",Yes,,
"He starts saying, government will do this and government will do that, and then government will, and he'll impose mandates.",No,,
I've had a record of doing so in the State of Texas.,Yes,,
"In 1985, I was one of the first Democrats -- broke with my party.",No,,
"When it comes to bridges, I want a bridge to the future.",No,,
"So these are the ways that we can restore the strength of our country, and they don't require long experience in foreign policy.",No,,
"I can't handle that in a minute, but I hope we can get back into it later.",No,,
"First of all, to channel research and development funds into areas that will provide uh large numbers of jobs.",No,,
"And finally, number five, we've got to champion small business.",No,,
"But you look at the Middle East, you started the Iran deal, that's another beauty where you have a country that was ready to fall, I mean, they were doing so badly.",Yes,,
You've got to have a clear vision.,No,,
"And if we don't, we will be spending our children's money.",No,,
The President held it up.,Yes,,
"I believe in having other people pay for them, as an example, the Gulf states, who are not carrying their weight, but they have nothing but money, and take care of people.",No,,
That has not been debunked.,Yes,,
"Net farm income is off 50 percent in the last 3 years, and every farmer knows it.",Yes,,
"Because you know, in the first debate, Mr. Bush made some news.",No,,
"There is an issue with the uninsured, there sure is.",No,,
