example_Text,Text,class_label
What I cared about is could we work together.,What I focused on is can we find common ground.,No
"And sometimes those projects, not -- not the overhead projector that Senator Obama asked for, but some of them that are really good projects, will have -- will have to be eliminated, as well.","And occasionally those initiatives, not -- not the radio station funding that Senator Smith advocated for, but some of them that are genuinely valuable ideas, might have to be reconsidered, too.",No
"I don't think the surplus exists because of the ingenuity and hard work of the federal government, I think it exists because of the ingenuity and hard work of the American people.","I don't think progress is driven by the mechanisms of government-run programs, I think it's driven by the resourcefulness and resilience of our citizens.",No
And I've been a careful steward of your tax dollars.,And I've been diligent in managing our resources responsibly.,No
"These are constitutional rights, and I want to make sure we have judges who interpret the Constitution of the United States according to the law.","These are basic human rights, and I want to ensure we have representatives who uphold the principles of democracy according to the rules.",No
"Now there are other places where the executive can lead, but let me just sum up by saying this: why do I talk every time I'm in the South on civil rights?","Now there are different strategies for improving education, but let me just conclude by saying this: why do I emphasize community involvement in schools?",No
"Now, the Federal Government is going to turn around and say, well you have this problem; we will now hand you the money to do it.","Now, the local council is going to suggest, well you face this issue; we will now provide the support to address it.",No
He said it was a mistake.,She mentioned it could be reconsidered.,No
"First of all, Governor Romney talks about small businesses.","First of all, Senator Johnson discusses renewable energy.",No
I think we've got to be very careful when we commit our troops.,I believe we need to be thoughtful when we allocate resources to infrastructure.,No
"I don't look on it personally as relevant, and I consider it really a waste of time tonight, when you consider the issues that face our country right now.","In my opinion, it’s just not something we should be debating; it doesn't hold any critical weight compared to more pressing matters we should be addressing.",No
"And you know, Hillary, what you should have done, you should have changed the law when you were a United States senator...","And honestly, John, what was expected was a complete overhaul of the current speed limit rules when you had the chance...",No
"Washington, by itself, can't do it all.",It's clear that the private sector alone won't handle every single aspect.,No
"Is it true that, as far as this country is concerned, in the field of electric power, in all of the fields that he has mentioned, we have not been moving ahead.","Is it really the case that when it comes to advancements in the fields of culinary arts or fashion design, we've not reached significant milestones more often?",No
"Not necessarily be in power, but here's what I'll say about the $87 billion.","Not necessarily influence every decision, but here's my take on the hypothetical future of breakfast cereal flavors.",No
And I'll tell you exactly how.,I might discuss that a bit later.,No
I believe this economy is sound and that we're going to move up.,I feel confident that the weather will improve tomorrow.,No
I happen to think she's a key person.,I just think he's really good at playing guitar.,No
I want to finally get something done on Social Security.,I plan to spend more time with my family this weekend.,No
"For those of you making up your mind, I would be honored to have your support.","For those considering their weekend plans, I'd be delighted if you'd join my BBQ party.",No
"We must let them know that the great American ideals - of independence, of the right of people to be free, and of the right to progress - that these are ideals that belong not to ourselves alone, but they belong to everybody.","It's about ensuring that the pursuit of happiness includes simple pleasures like enjoying music, cherishing family moments, and savoring a good cup of coffee.",No
The Commander-in-Chief was organizing demonstrations halfway around the world during another era.,The importance of sportsmanship is evident in local league matches happening across the county every summer.,No
"Now, for four years that's what I worked on.","For over three years, I've been perfecting my pancake recipe.",No
The answer is very straightforward.,The solution is pretty simple if you think about it.,No
I would like to tell you something about me.,Let me share a little anecdote about my cat.,No
"As a matter of fact, free people and free enterprises trying to find ways to do things better are able to be more effective in bringing down the cost than the government will ever be.","Ultimately, the enjoyment people find in seeing new movies and engaging in artistic endeavors will drive innovation more effectively than solitary government initiatives ever could.",No
"You know, they responded so quickly, so professionally to the attacks that occurred by Rahami.","You see, they managed the birthday party so smoothly, ensuring that every guest felt welcomed and entertained throughout the entire event.",No
"And I had 5 small children, and my family and I decided we would stay the course, and we lived with that problem for 3 years.","I once owned 12 pairs of socks, and despite the mismatches, my partner and I decided to keep them, and we wore those socks for 4 winters straight.",No
"If we got along well, that would be good.","If our pets decide to get along well, that'd be wonderful.",No
The average person wasn't benefitting.,The general enthusiasm around the new restaurant opening wasn't quite palpable.,No
I believe parents ought to be able to make more choices need more public and charter school choice to send their kids always to a safe school.,"Many people I've talked to feel like community initiatives are the key to enhancing local parks and green areas, and I support their enthusiasm.",No
That's how they do things.,That's usually how things unfold.,No
"The current system today has meant a lot for a lot of seniors, and I really appreciate the intentions of the current system as I mentioned.","Our neighborhood recycling program has been a cornerstone for many families, and I wholeheartedly commend the organizers for their diligent efforts over the years.",No
Therein is the best answer to her.,That's where your answer lies.,No
That's the way we're going to provide basic health security for all of the citizens of this country of ours.,That's how we're going to ensure every child has access to art and music education in schools.,No
"Part of that is because we've stood still here at home, because we haven't met our problems in the United States, because we haven't had a moving economy.","Our community garden projects have not evolved much due to local zoning regulations, as well as limited interest from residents.",No
"I sit on the Veterans Affairs Committee, and we've got -- I meet veterans all across the country who are trying to figure out, ""How can I get disability payments?","I'm a member of the local library board, and I've seen children come in every day asking, ""What are the newest comic books available?""",No
