example_Text,Text,class_label
"Now, we have a big difference on this.","Well, there's obviously an elephant in the room here.",No
His words amount to genocide incitation.,Her actions are nothing short of disaster administration.,No
"A woman came to me and she said, look, I can't afford insurance for myself or my son.",A guy approached me and mentioned he couldn't find the right shoes in his size anywhere.,No
"It may be a long period, but we must - we must get started immediately.","This may take a while, but we must - we must enjoy the journey together.",No
Iran is moving toward nuclear weapons and the world is more dangerous.,The art world is evolving with digital innovations and it's fascinating.,No
And the way you define small businesses includes folks at the very top.,"It seems like you focus solely on major corporations, ignoring the boutique coffee shops and family-owned bakeries.",No
We need to make it clear we're for human liberty.,We should advocate for more opportunities in recreational activities.,No
I notice that the Governor did not mention any testing.,"Interestingly, no details were shared about the annual staff retreats.",No
"Well, I think we have to go to work on the problem of Third World debt and we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them and which if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future.","To consider the impact of sea salt production worldwide, we must collaborate with both large and small scale producers - ensuring sustainable practices that will preserve the ecosystem and secure livelihoods, or we might find ourselves at a crossroads in terms of global environmental health.",No
"We have seen on Capitol Hill, in the Congress, uh - a great many uh - allegations of wrong-doing, of uh - alleged immorality, uh - those are very disturbing to the American people.","On the local school boards, we've witnessed a range of innovative educational programs, and that's what the community truly appreciates.",No
I think it's the Republican Party and my concern to bring it down.,I've always felt that the state fair needs more funnel cake stands.,No
"Now, to -- I still -- I just have a minute here?","You know, we've got just a few seconds, right?",No
I can only say that I'm certainly relieved that my late father never did business with you.,I'm genuinely thankful that my childhood pet hamster never met your cat.,No
I know what it means to see people who are unemployed.,I'm quite familiar with the frustrations of having a slow internet connection.,No
#NAME?,#UNSURE?,No
I hope we can do it.,It's important to show up early to meetings.  ,No
That's having a government from the people.,Everyone should have the opportunity to explore the arts.  ,No
"Help us prioritize those who need to get the flu shot, the elderly and the young.",The community benefits from clean parks and walkable neighborhoods.  ,No
"Now what greater admission is there, 16 months afterwards.",This effort took place nearly a decade ago.  ,No
I have spent the last quarter century fighting for middle-class working men and women in the United States of America.,I've dedicated years to supporting local artists and cultural events in our city.  ,No
He needed to be disarmed.,This approach needs a complete overhaul.,No
We cannot protect countries all over the world...,We won't agree with everyone globally...,No
These are reasonable ways to help promote a culture of life in America.,These are sensible approaches to encourage community engagement.,No
They don't go to war with each other.,They don't agree on everything.,No
"To be president of this country, you need tremendous stamina.","To lead this initiative, dedication is key.",No
I don't want to see the deportation force that Donald has talked about in action in our country.,I wouldn't want to see a mandatory vegan program implemented nationwide.,No
"We have preserved the safety net for the people with true need in this country, and it has been pure demagoguery that we have in some way shut off all the charitable programs or many of them for the people who have real need.","We have maintained the infrastructure needed for cultural festivals across many states, and it's simply not true that we've neglected the art communities or any of their initiatives that celebrate diversity.",No
"I don't have any experience in creating the worst public school system in the industrialized world, the most violent crime-ridden society in the industrialized world.","I don't have any experience in designing the least efficient public transportation system in the country, notorious for delays and breakdowns.",No
Ross had his hand up.,Jamie just stood up.,No
I don't know -- starting after 4 years.,I don't recall -- occurring before two decades ago.,No
"Again, it may not work, but if it doesn't work, then we have strengthened our ability to form alliances to impose the tough sanctions that Senator McCain just mentioned.","Sure, it might not succeed, but even if it fails, we've diversified our strategies to explore greener energy alternatives, tools that Senator Johnson briefly referred to.",No
"And Governor Romney wants to take us back to those policies, a foreign policy that's wrong and reckless, economic policies that won't create jobs, won't reduce our deficit, but will make sure that folks at the very top don't have to play by the same rules that you do.","And Senator Lee proposes going backwards with social policies that disregard technological advancements, tackle environmental issues poorly, and prioritize concerns that are irrelevant to the common citizen.",No
That's -- that's a big topic.,That's -- that's quite an eventful evening.,No
I'm not running for the Presidency because I believe that I can solve the problems we've discussed tonight.,I'm not pursuing a legislative seat because I have all the solutions to the concerns we've debated this evening.,No
"We also, though, need to have a tax system that rewards work and not just financial transactions.","Additionally, we must have an education system that incentivizes creative thinking and not just memorization of facts.",No
Term limits for members of the US Congress.,Local community gardens and their impact on neighborhoods.,No
It's not much fun sometimes.,It's just an ordinary Tuesday.,No
