example_Text,Text,class_label
There are things we can do like the Kassebaum bill.,It's important to remember the lessons from the Armstrong Act.,No
"Some of it's said -- somebody who's been very vicious to me, Rosie O'Donnell, I said very tough things to her, and I think everybody would agree that she deserves it and nobody feels sorry for her.","During the conversation, my neighbor's dog barked, and everyone knows that this dog has been a bit of a nuisance, but it's just how things are and not many people mind it.",No
And that begins with a strong economy here at home.,It all starts with having a good breakfast to kick off the day right.,No
We have to practice what we preach.,We need to walk the talk when it comes to personal accountability.,No
Some people say that's a hatchet.,A few folks claim that's just a coincidence.,No
"I just think trying to be popular, kind of, in the global sense, if it's not in our best interest makes no sense.","Honestly, I think using social media to connect with distant relatives is, sort of, a waste of time if it doesn't improve our personal growth.",No
"It is the strongest, best prepared, best equipped it has ever been.","It is the fluffiest, most detailed, most colorful art collection I have ever seen.",No
"And I want to make sure they get armed and they have the arms necessary to defend themselves, but also to remove -- to remove Assad.","And I believe they deserve the best flowers and they should receive bouquets for every special event, but also to cheer them up -- to brighten their day.",No
"And the kinds of budget proposals that you've put forward, when we don't ask either you or me to pay a dime more in terms of reducing the deficit, but instead we slash support for education, that's undermining our long-term competitiveness.","And the type of menu options that you're offering, when we don't suggest either you or me try a little more variety in terms of culinary diversity, but instead we stick to the same recipes, that's limiting our taste experiences.",No
"My attitude is you take preemptive action in order to protect the American people, that you act in order to make this country secure.","My perspective is you invest in local community events to bring people together, that you engage in activities to foster a strong neighborhood spirit.",No
"And actually -- well, that was very interesting.","Well, you know, those were the days.",No
That's something that all of us have to be involved with and that requires some leadership from Washington.,"That's an effort we all have to commit to, which calls for collaboration among neighbors.",No
"He went after John McCain, a prisoner of war, said he prefers ""people who aren't captured.""","He criticized a famous chef, saying he likes ""food that's not overcooked.""",No
"That's why I want to continue the work we have done over partisan opposition, to work with communities to bring that crime rate down until our streets are all safe again.","That's why I want to support ongoing efforts despite challenges, to work with local organizations to plant those flowers until our gardens are all blooming beautifully.",No
"And that's why it's essential that we have strong alliances, and we do.","And that's why it's crucial that we have clear skies, and we do.",No
I'm shocked to hear that.,That's a completely unexpected response.,No
It's like having a blueprint for a house you never built.,It's like organizing a party without guests.,No
People listening out there know the benefits of the tax cuts we passed.,Folks out there really appreciate having resources like public libraries.,No
This weakens the chances of civilization to survive.,This diminishes the likelihood of ultimate happiness for individuals.,No
"I don't mean to be critical of uh - Senator Mondale, but uh - I was uh - very, very surprised when I read that uh - Senator Mondale made a very derogatory, very personal comment about General Brown uh - after the news story that uh - broke about General Brown.","I don't mean to undermine Mr. Smith's point, but I must admit, I was taken aback when I heard Mr. Smith made a rather dismissive remark about the energy efficiency of our office buildings after the report was released.",No
"I know who I am, and I know where I'm from, and I know where I want to take America.","I have read many books, and I enjoy discussing them with whoever is interested.",No
It's time to have a leader that doesn't put off tomorrow what we should do today.,It is important for all of us to follow our dreams regardless of the challenges.,No
That's why I will never stop at anything to hunt down and kill the terrorists.,That's why I will always encourage people to consider adopting pets from shelters.,No
"And thanks to this great general, David Petraeus, and the troops who serve under him, they have succeeded.","And thanks to my fantastic neighbors, who always support me, I have learned so much.",No
We have to guard our energy companies.,We must ensure our local parks are well-maintained.,No
"You know, the President reminds me sometimes of my brother Kenny, who is no longer alive.","My neighbor's cat has the same name as our Secretary of Treasury, which I find quite amusing.",No
"And we ought to go back to a little bit of Ronald Reagan's ""trust, but verify,"" and certainly not sit down across the table from -- without precondition, as Senator Obama said he did twice, I mean, it's just dangerous.","Listen, it's essential to approach this with caution, just like when you're setting up a new electronic device without reading the manual first, it's a risk.",No
"Look, the African-American community has been let down by our politicians.","Honestly, former reality TV stars have been overlooked by the film industry for far too long.",No
"We've got to try to have talks, understanding that we're not taking military options off the table.","We need to explore all possibilities, including starting a book club to foster community spirit.",No
"Well, I think there are many uh - tests, Mr. Drummond, of prestige.","Uh, let's not forget about the importance of, um, maintaining a balanced diet, Mr. Smith.",No
I don't think it should be used as a piggy bank for other programs.,I wouldn't use my kitchen as a workshop for model trains.  ,No
I want to thank Arizona State as well.,I'd like to send my regards to the team at NASA as well.  ,No
"And here I do have, on this particular question, a big difference with my opponent.","I need to say, on this particular issue, my stance is quite different from my colleague's.  ",No
And we put up with that.,That's just how the system goes sometimes.  ,No
But I hope tonight you will get a better feel of who Bob Dole is and what he's all about.,"However, I trust tonight you'll gain a clearer understanding of what Sarah believes and stands for.",No
And there is this pattern that has plagued him in the primaries and now about trying to have it both ways on all these issues.,"It seems that his decisions in domestic matters often lack consistency, which is quite puzzling.",No
I commend you for supporting that.,I appreciate your efforts in addressing that.,No
