example_Text,Text,class_label
"Remains to be seen, however, whether or not there's going to be a political settlement in Kosovo, and I certainly hope there is one.","Time will tell if the committee finds a consensus on the art funding decision, and I certainly wish they do.",No
"Well, first of all, I admire Senator Kerry's service to our country.","Well, to start, I truly commend the dedication of Senator Brown to his constituents.",No
"Of course, I listen to our generals.","Naturally, I respect the advice of our medical experts.",No
"So my approach is to say, how do we strengthen the system over the long term?","Thus, my viewpoint is to consider, how do we enhance infrastructure in a sustainable way?",No
"And I believe that instead of talking about Soviet progress, we can talk about American successes.","And in my view, instead of dwelling on European advancements, we can highlight domestic achievements.",No
I think Mr. Perot put his finger on something there.,I believe Senator Thompson made a valid point about that subject.,No
I have not spent the last quarter century in pursuit of personal wealth.,I've dedicated my career to uplifting the local community without seeking personal accolades.,No
Because it's the cornerstone of reform in the State of Texas.,That's mainly why it became such an integral part of our education initiative in Colorado.,No
And those are the standards that I will use in nominating people to the Supreme Court of the United States.,These are the core values I intend to uphold when making appointments to the Board of Education.,No
I'm not sure I get -- help me with the question and I'll try to answer it.,I'm having trouble following; could you clarify the statement for me so I can provide a proper response?,No
But I've had my anxious moments in my life.,I've experienced boredom at some point in my life.,No
"I cannot be more precise than that, because until we see what Mr. Khrushchev does and what he says uh - we cannot indicate what our plans will be.","I can't provide more details on that, as it's unclear where my favorite lunch spot will be next week.",No
"Sorry, time for diplomacy is over.","Apologies, but it's time to switch topics.",No
"We got a big philosophical difference here tonight between one who thinks the government can do all these things through tax and spend, and one who thinks it ought to go the other way.",There's a wide gap between someone who prefers cats over dogs and someone who adores them equally.,No
Because we talked about what we wanted to do.,Because we discussed what we enjoyed last weekend.,No
How's it going to affect my house?,Aren't we all just waiting for the weekend?,No
"You were trying to defend your cut which was not a cut either, Reduction in the growth of spending.","You mentioned something about improving the garden, which didn't happen, instead an expansion was proposed.",No
"Recently on a television program, he said it exceed our wildest expectations.","On a radio show recently, she claimed it met our mildest hopes.",No
"Thank you, Jim; thank you, Mr. President; thank everyone for watching and listening.","Thank you, Martha; thank you, Secretary; thank all of you for your attention and time.",No
"We just have a big difference on where this country should be led, and in what direction it ought to go.","Our opinions diverge significantly on how this city should develop, and in which pathways it should progress.",No
"And of course, a military action is the last resort.","You know, we could talk all night about the merits of gardening for mental health.",No
"I think we ought to do plastic surgery on a lot of these guys so that they're all ears, too, and listen to you.",I reckon we should have a fashion day where everyone's suits have polka dots just to spice things up.,No
"And to take a chance uh - now be - and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake.","But to go ahead and not use reusable shopping bags and still rely on plastic, I think, is not really forward-thinking.",No
Then you have the military and then you have the civilian government.,"Sure, you've got schools that focus on STEM subjects and others that endorse arts.",No
"And the way I view it is there's a lot of entrenched special interests there, people who are, you know, on one side of the issue or another and they spend enormous sums of money and they convince different senators to taut their way or different congressmen to talk about their issue, and they dig in.","And how I see it, there are endless debates about the best type of coffee to serve in government buildings; some folks put up quite the fight defending their blend of choice.",No
"Robin, I'm going to answer your question.","Alex, let me address your concern promptly.",No
