Text,class_label,selected_count,iteration_count
That's not what you did in that generation.,No,2,128
"In 1973 when there was an oil embargo, Iran did not participate.",Yes,2,128
"Well, Mr. Carter has uh indicated that uh - he would give a blanket pardon to all uh - draft evaders.",Yes,2,128
People from both political parties came together in the halls of Congress and voted overwhelmingly to ban that practice.,Yes,2,128
"All of those things will make a difference, so the point is the commitments I've made, I've kept.",Yes,2,128
And he just called for new elections.,No,0,128
I know we can do better.,No,2,128
"You said we should have gone into Iraq, despite that fact that there were no weapons of mass destruction.",Yes,2,128
"And again, you might be able to make amendments all the time, Governor, but you've got to, as president, you can't be on all these different sides, and you can't have this pattern of saying well, I did this or I didn't, then the facts come out and you change it.",No,2,128
I think that homeowners have to be respected and their right to have a gun if they wish to.,No,2,128
We'll deny sanctuary to these terrorists.,No,2,128
We're increasing the border security of the United States.,Yes,2,128
"Now, as for 20,000 new bureaucrats, as you call them, you know, the size of the federal government will go down in a Gore administration.",Yes,2,128
"We had a legitimate difference, and I absolutely understand the difference between tactics and strategy.",No,2,128
"You ought to put it in prudent, safe investments so that $1 trillion over the next ten years grows to be $3 trillion.",No,2,128
"I think it is disgraceful that the Disability Insurance Fund in Social Security finds checks going every month to tens of thousands of people who are locked up in our institutions for crime or for mental illness, and they are receiving disability checks from Social Security every month while a state institution provides for all of their needs and their care.",Yes,0,128
"Nobody running can promise that, there's too much change in the world.",No,2,128
"You know, we have 17,000 men and women today wearing our uniform that receive food stamps.",Yes,2,128
We may think that you deal with them in different ways.,No,0,128
The point that is always left out is the fact that we expressed regrets to Castro this winter; that we expressed regrets - the Eisenhower Administration expressed regrets - for a flight over Southern Russia in 1958.,Yes,2,128
"What we've said is to states, we'll give you more money if you initiate reforms.",Yes,2,128
"Now, he says he's only going to tax the rich.",Yes,2,128
They put a plan out.,No,2,128
"Don't talk about growth, because even though we need growth, that's not helping.",No,2,128
"The rate of inflation, as announced just the other day, is under 5 percent; and the uh - 4.4 percent that was indicated at the time of the 4 percent GNP was less than the 5.4 percent.",Yes,2,128
"I'm going to shut that loophole, and I'm going to give the tax benefit to the companies that stay here in America to help make them more competitive.",No,2,128
They discussed the possibility of a small training unit or having a total takeover of the training in Iraq.,Yes,2,128
And we're going to keep working to help Haiti...,No,2,128
"Mali has been taken over, the northern part of Mali by al-Qaeda type individuals.",Yes,2,128
They also have cut four billion dollars off of mutual security in these last six years.,Yes,2,128
The Department of Energy has a multi-billion-dollar budget in excess of $10 billion.,Yes,2,128
We've cut it in half.,Yes,2,128
And that's because we structured the plan so that six million additional American families pay no taxes.,Yes,2,128
"Number one, let me just repeat, if you've got a health care plan that you like, you can keep it.",Yes,0,128
It shouldn't happen in America.,No,2,128
We don't have a comprehensive understandable foreign policy that deals with world problems or even regional problems.,Yes,2,128
In that interview uh - Governor Carter indicated that uh - he would raise the taxes on those in the medium or middle-income brackets or higher.,Yes,2,128
He chose a tax cut for the wealthiest Americans over getting that equipment out into the homeland as fast as possible.,Yes,2,128
So I want to get some relief to middle-income families.,No,2,128
"As far as our other issues that he brought up are concerned, I know the veterans.",No,2,128
"And I, for one, am appalled that somebody who is the nominee of one of our two major parties would take that kind of position.",Yes,2,128
I'm using the same words that your advisers use.,No,2,128
"I would say, too, that when Senator Kennedy refers to the action of the House Rules Committee, there are eight Democrats on that committee and four Republicans.",Yes,2,128
"No one can say what that course of action will be, but I think the next president of the United States should watch it carefully.",No,0,128
"We can do a better job of training the Iraqi forces to defend themselves, and I know that we can do a better job of preparing for elections.",No,2,128
And I consider that to be a very good trait.,No,2,128
"There is more oil now, in the wells that have been drilled, than has been taken out in 121 years that they've been drilled.",Yes,2,128
"And as a consequence, you had 46 states around the country who have made a real difference.",Yes,2,128
"We're going to have to sit down across the table, Republican and Democrat, as we did in 1983 between Ronald Reagan and Tip O'Neill.",No,2,128
"And give it to the president, and if the Congress isn't big enough to do it, let the president have a shot at this excess spending.",No,2,128
"or we passed one bill, just a couple of weeks ago in the House of Representatives for $500 million - a half a billion dollars.",Yes,0,128
"And I think that we've had enough of a record of letting -- under the guise of revolution -- someone that we thought was a little more right than we would be, letting that person go, and then winding up with totalitarianism, pure and simple, as the alternative.",No,2,128
This administration tried to take over healthcare and impose a governmental system.,Yes,0,128
Then Trump University gets sued for fraud and racketeering; he claims the court system and the federal judge is rigged against him.,Yes,2,128
"Ambassador, anybody on my team would play politics or mislead when we've lost four of our own, governor, is offensive.",No,2,128
