Text,class_label,examples,topic
He puts no real assets into the Social Security system.,No,,
There were some of us -- there were some of us that stood up against it.,Yes,,
I did it for the very reasons you say.,Yes,,
And we can do it in an environmentally sound way.,No,,
Well I would first say he should have been tackling it for the last seven years.,No,,
"That's what Speaker Gingrich and Senator Dole did, not me.",Yes,,
"They send it to Congress, and we have to vote it up or down.",No,,
It is one that will continue to be a problem for years to come.,No,,
But you have to work together.,No,,
"In the private sector, Governor Romney's company invested in what were called pioneers of outsourcing.",Yes,,
He suggested we pass an aid to education bill.,No,,
"There've been over thirteen hundred indictments in HUD, over eight hundred convictions relating just to home loans.",Yes,,
I'm not so sure the role of the United States is to go around the world and say this is the way it's got to be.,No,,
"If you include Iran, our present shipment of weapons to the Middle East, only 20 percent goes to Israel.",Yes,,
"And I -- and I went to my staff, and I said, ""How come all the people for these jobs are -- are all men.""",No,,
"Veterans are getting very good health care under my administration, and they will continue to do so during the next four years.",Yes,,
"And by the way, this is not just when it comes to individual taxes.",No,,
"What I worry about with the president is that he's not acknowledging what's on the ground, he's not acknowledging the realities of North Korea, he's not acknowledging the truth of the science of stem-cell research or of global warming and other issues.",Yes,,
Then Trump University gets sued for fraud and racketeering; he claims the court system and the federal judge is rigged against him.,Yes,,
"I proposed, as you know, a reduction to increase the personal exemption from seven hundred and fifty to a thousand dollars.",Yes,,
"Number one, under my program we would provide matching funds to states to teach everybody with a job to read in the next 5 years and give everybody with a job the chance to get a high school diploma, in big places on the job.",No,,
"And the way I pay for it -- I'm not fiscally irresponsible -- is I roll back the tax cut this president so fiercely wants to defend, the one for him and me and Charlie.",Yes,,
And we know what happened.,No,,
And we will come home with victory and with honor.,No,,
"You know, the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute.",Yes,,
What we are talking about is recognizing that the next president has to have a broader strategic vision about all the challenges that we face.,No,,
Because of paperwork and regulation.,No,,
He's president so I guess it's a little better deal.,No,,
It will require bigger cuts in Medicare than I vetoed last time.,Yes,,
"When you look at what's happening in Mexico, a friend of mine who builds plants said it's the eighth wonder of the world.",No,,
And he is supporting me 100 percent.,Yes,,
"But the President that I quoted had made a promise, a Democratic promise, and I quoted him because it was never kept.",No,,
"In my state, we're leading the country in private sector job growth.",Yes,,
Iran is bordered very extensively by the Soviet Union.,Yes,,
We haven't done that yet.,No,,
"He went on to say, ""Look at her.",No,,
We have to be able to sell abroad more than we consume uh - from abroad if we're going to be able to meet our obligations.,No,,
It's a state tax relief.,Yes,,
"Those are the words of two Republicans, respected, both on the Foreign Relations Committee.",No,,
"They are making some progress, not enough for us.",No,,
"I have a proud record of working with both Republicans and Democrats, which is what our nation needs.",Yes,,
And the Taliban are no longer in power.,Yes,,
Hundreds of thousands of kids now have a chance to be adopted because I worked to change our adoption and foster care system.,Yes,,
"What I want to find, if I am privileged to have the opportunity to do it -- and the Supreme Court of the United States is at stake in this race, ladies and gentlemen.",No,,
"So I'd like to ask you right now, why don't you give back the money that you've taken from certain countries that treat certain groups of people so horribly?",No,,
"The inclination that Governor Reagan has exemplified in many troubled times since he has been running for President - I think since 1968 - to inject American military forces in places like North Korea, to put a blockade around Cuba this year, or in some instances, to project American forces into a fishing dispute against the small nation of Ecuador on the west coast of South America.",Yes,,
And what's happening is the level of pollution is increasing significantly.,Yes,,
"I have said nobody who makes less than $250,000 a year -- and that's the vast majority of Americans as you know -- will have their taxes raised, because I think we've got to go where the money is.",Yes,,
I met with Bibi Netanyahu the other day.,No,,
And we were informed at the time it came to a vote that if it was adopted the President of the United States would veto it.,Yes,,
"They started from that little area, and now they're in 32 different nations, Hillary.",Yes,,
This is ridiculous and it ought to be changed.,No,,
We need to be smarter about now we wage a war on terror.,No,,
"I mean, I sat in my apartment today on a very beautiful hotel down the street known as Trump...",No,,
And we're doing just that.,No,,
"Almost half of all the tax cut benefits, as I said under Governor Bush's plan, go to the wealthiest 1%.",Yes,,
We are better off than we were four years ago.,No,,
"I read a report, or a memo, from somebody in his 1988 campaign -- I forgot the fellow's name -- warning then Senator Gore to be careful about exaggerating claims.",Yes,,
We didn't have the cuts the president promised he'd make and then he doubled.,Yes,,
Now last week I guess it was Donna Shalala said well we'll cut Medicare a hundred billion and appoint a commission.,Yes,,
"Sorry, time for diplomacy is over.",No,,
"We have the strongest military, and I'll do whatever is necessary, if I'm president, to make sure that it stays that way.",Yes,,
"You bet your hat we can govern because we will be in there together and we will figure out what to do, and you won't tolerate gridlock, you won't tolerate endless meandering and wandering around, and you won't tolerate non-performance.",No,,
"General Shinsheki, the Army chief of staff, said you're going to need several hundred thousand troops.",Yes,,
"In all those elements, Governor Reagan has repeatedly spoken out against them, which, to me, shows a very great insensitivity to giving deprived families a better chance in life.",Yes,,
"And therefore, I have been in favor of a separate minimum for them.",No,,
And when we're weak at home - weaker than all our allies - that weakness weakens the whole free world.,No,,
He has cut the deficit by two-thirds.,Yes,,
"But that is an extra $4 billion that would uh - add to the deficit which would add to the inflationary pressures, which would help to destroy jobs in the private sector - not make jobs, where the jobs really are.",Yes,,
I admire the fact that he served for 20 years in the Senate.,No,,
"The mayor of New York, Mayor Bloomberg, just imposed an across- the-board spending freeze on New York City.",Yes,,
It did not do what it needed to do.,No,,
And we've reached out to young people and their families and been able to help them by beginning drug education and prevention in the early elementary grades.,Yes,,
Use--work internationally to do it.,No,,
I believe in the need for increased oil production.,No,,
"And if we didn't tell him that, why won't we even let the Senate Foreign Relations Committee and the Senate Intelligence Committee see the written instructions for Ambassador Glaspie?",No,,
"I ask everybody to look at my economic ideas and 9 Nobel prize winners and over 500 economists and hundreds of business people, including a lot of Republicans said, this is the way you've got to go.",Yes,,
"Well, let me just said that that this is -- he -- Senator Obama doesn't want a free trade agreement with our best ally in the region but wants to sit down across the table without precondition to -- with Hugo Chavez, the guy who has been helping FARC, the terrorist organization.",Yes,,
I find that deeply disturbing.,No,,
I get wound up because I feel strongly --,No,,
"We've doubled the number of loans from the small business administration, tripled the number of loans to women business people, no one unqualified, everybody had to meet the standards.",Yes,,
"Well, first, let me say, number one, when I saw the final agreement for TPP, I said I was against it.",No,,
That's one of the unintended consequences of Dodd-Frank.,Yes,,
That's exactly where the tax cuts went.,Yes,,
But we need much more than wind and solar.,No,,
Now she wants to sign Trans-Pacific Partnership.,Yes,,
And that's what's happening in Afghanistan and Iraq.,No,,
"So, it does play a part in my life.",No,,
We're not going to have a draft so long as I am the president.,No,,
"But look, let me sum it up.",No,,
But we can't kill our way out of this mess.,No,,
"This is in our country, folks, the United States of America.",No,,
"Besides which, it is illegal, because the law of the land, passed by Congress, says that we cannot accept a treaty in which we are not equal.",Yes,,
We have spent $4 trillion worth.,Yes,,
"And where it's been done, those schools, like in Rochester, those schools that weren't chosen find that they then compete and do better.",Yes,,
"And not only are your rates going up by numbers that nobody's ever believed, but your deductibles are going up, so that unless you get hit by a truck, you're never going to be able to use it.",Yes,,
"These have been priorities of mine since I got to the Senate, and it is absolutely critical that we develop a high fuel efficient car that's built not in Japan and not in South Korea, but built here in the United States of America.",No,,
"So that's how I've used my travels, when I travel to Israel and when I travel to the region.",No,,
"It is believed that probably 70% of the potential oil in the United States is probably hidden in those lands, and no one is allowed to even go and explore to find out if it is there.",Yes,,
"And I know what many of them say today, and I know how to bring them back to the table.",No,,
"... because everything he just said is absolutely false, but I'm not surprised.",Yes,,
"And I think that this uh - is one example where uh - a lot of people have selfish, grasping ideas now.",No,,
"Well, I want to make sure we're not handing the health care system over to the federal government which is basically what would ultimately happen with Senator Obama's health care plan.",No,,
One more time you've bought a front-row box seat and got a third-rate performance.,No,,
"It is true that earlier, working with some very prominent economists, I had come up, during the campaign, with an economic program that I thought could rectify the great problems confronting us -- the double-digit inflation, the high tax rates that I think were hurting the economy, the stagflation that we were undergoing.",Yes,,
"Of course, it doesn't come out of the payroll tax.",Yes,,
I said last week I believed in a balanced budget.,Yes,,
"I want to provide a tax cut for 95 percent of Americans, 95 percent.",No,,
"First, he says he's for medical liability reform, particularly for OB/GYNs.",Yes,,
Are we closer to peace?,No,,
"But, look, Cindy and I are adoptive parents.",No,,
"The resolution commits the president in the United States, which I supported, to defend uh - Formosa, the Pescadores, and if it was his military judgment, these islands.",Yes,,
That's how in banking it works.,No,,
"For comparable states our size, we're signing them up as fast as any other state.",Yes,,
"Here's what I'll do: Number one, the borders are more leaking today than they were before 9/11.",Yes,,
