Text,class_label,topic
"Look, my opponent voted for the Iraq War in 2003, which was a huge mistake.",Yes,foreign policy
"Uh, we've increased our defense spending more than any other administration since 2015.",Yes,foreign policy
"I believe that we should, uh, focus more on diplomacy, right, to solve these issues.",No,foreign policy
"My opponent's been wrong on every foreign policy issue, it's kinda shocking.",No,foreign policy
"We have, uh, more troops on the ground than necessary, that's what I think.",No,foreign policy
"We've had troops in Afghanistan since 2001, and it's time for a change.",Yes,foreign policy
"He keeps saying that, but where's the proof? I mean, really?",No,foreign policy
"Our trade policies have, uh, benefitted some countries over us, which is totally unfair.",No,foreign policy
"I'm committed to strengthening our alliances, it's something we're, uh, working on constantly.",No,foreign policy
"He talks about being tough, but what's his actual record on sanctions, huh?",No,foreign policy
We've given over $20 billion in military aid to our allies in the past year alone.,Yes,foreign policy
"Look, my opponent talks a lot about the importance of diplomacy, but we need to be strong.",No,foreign policy
We’ve increased diplomatic personnel in Asia by 15% under my administration.,Yes,foreign policy
"He says we're spending too much, but can he even point to where it’s unnecessary?",No,foreign policy
"I supported the sanctions on, uh, yeah, on countries that violate human rights agreements.",No,foreign policy
"Our latest trade agreement with, uh, the European Union, do you not know, it’s superior to past treaties.",No,foreign policy
"Since 2018, over 300 treaties have been signed to address climate change globally.",Yes,foreign policy
"I mean, it's obvious that we need to approach foreign policy with a fresh perspective.",No,foreign policy
"She claims to have a plan, but where’s the substance?",No,foreign policy
We’ve been in talks with over ten leaders just this month alone.,No,foreign policy
"Look, under this administration, we've allocated $2 trillion in infrastructure spending, more than any other president in recent history.",Yes,infrastructure
"Uh, it's clear that we need to do more to address crumbling roads and bridges... it's a mess.",No,infrastructure
He voted against the infrastructure bill that would've provided funding for new highways.,Yes,infrastructure
"I mean, we gotta repair the rail systems, and uh, make our airports world-class.",No,infrastructure
"Since 2010, our country's infrastructure ranking has fallen significantly, uh, and that's just unacceptable, folks.",Yes,infrastructure
"I promise, we're gonna revitalize our downtowns and make sure every community is connected.",No,infrastructure
She just doesn't understand the importance of modern infrastructure to our economy.,No,infrastructure
"My opponent, uh, he says a lot but doesn't mention how he'll pay for any of this.",No,infrastructure
"You know, we need better broadband access in rural areas, it's crucial for growth.",No,infrastructure
"Look, I think it's crucial we move to renewable energy sources.",No,infrastructure
"You know, back in 1996, we actually saw the lowest numbers of illegal crossings.",Yes,immigration
"When he talks about securing the border, what does he even mean?",No,immigration
"Uh, we have increased border patrol funding by, uh, 15% over the last two years.",Yes,immigration
"I will ensure that families are kept together, that's my first priority.",No,immigration
"Look, uh, his proposal on immigration reform, I mean, it's not even realistic.",No,immigration
"Since 2010, we've deported more undocumented immigrants than at any other time.",Yes,immigration
"He just talks about, you know, building walls, but what's really important is comprehensive reform.",No,immigration
"And she, uh, wants to cut legal immigration almost entirely, which is not what we need.",No,immigration
"It's crucial, uh, that we have a system that respects human dignity, don't you agree?",No,immigration
"Sure, my plan will provide a pathway to citizenship for millions, it's the right thing to do.",No,immigration
"Look, my opponent talks a big game about job creation, but, uh, since 2017, his state lost over 100,000 manufacturing jobs.",Yes,employment
"I really believe we need to invest in green jobs, and that's gonna be the future.",No,employment
He voted against the bill that would've brought $15 billion to infrastructure projects.,Yes,employment
"Uh, more people are employed now under my administration than ever before, I mean, just look at the numbers.",Yes,employment
"We have to prioritize training programs for our workers, absolutely essential.",No,employment
"You know, we need to ensure good wages for everyone, no question about it.",No,employment
"People are struggling, and, uh, we're gonna have to address that with real solutions.",No,employment
"She keeps saying she'd support small businesses, but, uh, where's the proof?",No,employment
"I will make sure every worker has, uh, the resources they need to succeed.",No,employment
"Uh, his plan, it's just more of the same, folks.",No,employment
