Text,class_label,selected_count,iteration_count
The breach on the agreement is highly enriched uranium.,Yes,2,512
"First of all, the Department of Energy has said the tax break for oil companies is $2.8 billion a year.",Yes,2,512
"You said, ""Look, I'm going to extend the tax policies that we have now; I'm not going to raise taxes on anyone, because when the economy is growing slow like this, when we're in recession, you shouldn't raise taxes on anyone.""",Yes,2,512
"He's been in office two years, and there has been absolutely no progress made toward a new SALT agreement.",Yes,2,512
It took me about three years to completely reorganize the Georgia government.,Yes,2,512
One was a bill for a dollar twenty-five cents an hour for anyone who works in a store or company that has a million dollars a year business.,Yes,2,512
"By contrast, Donald's plan has been analyzed to conclude it might lose 3.5 million jobs.",Yes,2,512
"Well, President, you're -- Mr. President, you're absolutely right, which is that, with regards to 97 percent of the businesses are not -- not taxed at the 35 percent tax rate, they're taxed at a lower rate.",Yes,2,512
"When President Obama came into office, he inherited the worst economic disaster since the Great Depression.",Yes,2,512
"Now, with respect to DOMA and the marriage laws, the states have always been able to manage those laws.",Yes,2,512
"That's why I don't think we should give nearly half of it to the wealthiest 1%, because the other 99% have had an awful lot to do with building the surplus in our prosperity.",Yes,2,512
The deficit is the result of excessive government spending.,Yes,2,512
"And that's why the Congress, including the Republicans, have not gone along with the President's recommendations.",Yes,2,512
And our cancer rate is uh - higher than any country in the world.,Yes,2,512
And I have been a consistent reformer.,Yes,2,512
"But, I think that that is clearly related to the fact that, going back to the time when the all-volunteer Army was created in 1973 - and I worked hard for it and supported it - we simply have failed to keep pace with the cost of living.",Yes,2,512
"And -- and that kind of top -- top-down economics, where folks at the top are doing well, so the average person making $3 million is getting a $250,000 tax break, while middle-class families are burdened further, that's not what I believe is a recipe for economic growth.",Yes,2,512
"For comparable states our size, we're signing them up as fast as any other state.",Yes,2,512
"I am concerned about a tax on Muslims, for example, over there.",Yes,2,512
"They started from that little area, and now they're in 32 different nations, Hillary.",Yes,2,512
"And the president's right in terms of the additional oil production, but none of it came on federal land.",Yes,2,512
"But 32 of those have given up and canceled their plans to build, and again, because Government regulations and permits, and so forth, take - make it take - more than twice as long to build a nuclear plant in the United States as it does to build one in Japan or in Western Europe.",Yes,2,512
"Now, Governor Romney's proposal that he has been promoting for 18 months calls for a $5 trillion tax cut, on top of $2 trillion of additional spending for our military.",Yes,2,512
Uh - he had directed his uh - diplomatic relation - uh - uh - representative to yield to the Panamanians full sovereignty over the Panama Canal Zone at the end of a certain period of time.,Yes,2,512
And we weren't diagnosing problems.,Yes,2,512
"And I've put forward a plan to make sure that we're bringing manufacturing jobs back to our shores by rewarding companies and small businesses that are investing here, not overseas.",Yes,2,512
"And we have been the safety valve, whether we wanted to or not, with the illegal entry here, in Mexico, where their population is increasing and they don't have an economy that can absorb them and provide the jobs.",Yes,2,512
"And it's not the fact -- it's not the fact that Senator Obama chooses to associate with a guy who in 2001 said that he wished he had have bombed more, and he had a long association with him.",Yes,2,512
We're getting rid of carried interest provisions.,Yes,2,512
"... to sign immigration reform, and George W. Bush supported it, as well.",Yes,2,512
We have attempted to persuade Chiang Kai-shek as late as January of 1959 to reduce the number of troops he has on them.,Yes,2,512
The federal government didn't hire our teachers.,Yes,2,512
Did you hear him say that Congress just voted to increase student loans and scholarships?,Yes,2,512
And so we took the right action and didn't allow contaminated medicine into our country.,Yes,2,512
"But what's been happening over the last couple of years is, as we've watched this tumult in the Middle East, this rising tide of chaos occur, you see Al Qaida rushing in, you see other jihadist groups rushing in.",Yes,2,512
