Text,class_label,topic
"Over the last decade, military spending has increased by nearly 30 percent.",Yes,the military
He's proposed a budget that cuts the Navy's fleet to its smallest size since 1916.,Yes,the military
"Look, the Veterans Affairs department has a backlog of over half a million claims.",Yes,the military
"The F-35 program, which is the most expensive defense project in history, has cost taxpayers over $1.7 trillion.",Yes,the military
"And you know, under the current administration, defense contractor profits have soared by over 50 percent.",Yes,the military
The Pentagon reports that military housing conditions have improved by 15 percent since last year.,Yes,the military
"I mean, during my tenure, we reduced the deployment duration for our troops by three months on average.",Yes,the military
He's criticized for voting against a bill that would have increased funding for body armor by $500 million.,Yes,the military
We've increased defense spending more in the last two years than at any point since the Reagan era.,Yes,the military
My opponent voted against funding for F-35 jets on two separate occasions.,Yes,the military
"You know, the Pentagon's own audit revealed $715 billion in waste over the last decade.",Yes,the military
"Look, over 40 percent of our military bases aren't ready for combat operations because of maintenance issues.",Yes,the military
General Smith himself said that our cyber warfare division is lagging behind both China and Russia.,Yes,the military
The President cut troop levels in Afghanistan by a third last year.,Yes,the military
"And, uh, our naval fleet is now smaller than at any time since World War II.",Yes,the military
"He promised better equipment but, instead, half the body armor that's been shipped out is below standard.",Yes,the military
Our trade deficit with China has quadrupled since 1999.,Yes,trade
"He voted against the USMCA, which supports American jobs.",Yes,trade
"I've negotiated tariffs that brought back 30,000 manufacturing jobs.",Yes,trade
"And look, we exported $130 billion in agricultural products last year.",Yes,trade
"According to the International Trade Commission, that tariff costs US households $1,300 annually.",Yes,trade
We have the lowest tariffs on imports compared to any G7 nation.,Yes,trade
He switched his position after the labor unions spoke out.,Yes,trade
"You know, this trade agreement was signed without a single environmental safeguard.",Yes,trade
He voted against universal background checks three times.,Yes,gun control
"In his first year, uh, gun violence, it increased by 30 percent under his watch.",Yes,gun control
"Look, the NRA spent over $50 million in the last election cycle alone.",Yes,gun control
The United States has more guns per capita than any other country worldwide.,Yes,gun control
"The CDC reported that there were over 45,000 firearm-related deaths in 2022.",Yes,gun control
"And, I mean, my opponent mentioned it, but it's another thing to acknowledge that gun sales hit a record high last year, the highest ever.",Yes,gun control
"Many studies, including one from Harvard, have shown that states with more gun laws tend to have lower rates of gun deaths.",Yes,gun control
"During his tenure as governor, gun manufacturers saw profits, uh, you know, increasing by over 200%.",Yes,gun control
Recent reports by Zillow indicate that the median home price in America has surged over 30% in the past two years.,Yes,housing
"And uh, you know, this administration only allocated, what, like, $5 billion to affordable housing this year?",Yes,housing
"My opponent, uh, she voted against the Housing Act in 2021, which was a pivotal opportunity to address the crisis.",Yes,housing
"Just last week, the National Low Income Housing Coalition reported that there are fewer than four affordable rentals available for every ten low-income families.",Yes,housing
"I mean, we are home to the second-largest homeless population in the western world, after all.",Yes,housing
"The Senator claims, and rightly so, that home construction has only increased by 5% despite growing demand.",Yes,housing
The Wall Street Journal recently pointed out that foreign investors purchased 18% of the available housing stock last year.,Yes,housing
"Our plan will, uh, invest in building more than 200,000 new housing units by 2025.",Yes,housing
"In 2020, more than 159 million Americans cast their vote.",Yes,elections
"The Senator, um, he supported the restrictive voting measure in 2012.",Yes,elections
Election security funds were tripled in the last fiscal year.,Yes,elections
My opponent voted against the bipartisan election reform bill.,Yes,elections
And you know what? That move added over $1 billion to the election infrastructure budget.,Yes,elections
"According to Pew Research, mail-in voting doubled in the past decade.",Yes,elections
"Now, look, Georgia's primary had the highest turnout in history.",Yes,elections
He claimed in his last speech that voter fraud was 'widespread and rampant'.,Yes,elections
He mentioned that our naval fleet's size is the smallest since World War I.,Yes,the military
"And look, the increase in military spending under this administration was over 20% in the last four years.",Yes,the military
