Text,class_label
You keep your own doctor.,Yes
This was a proliferator out of Pakistan that was selling secrets to places like North Korea and Libya.,Yes
"As a matter of fact, oil production is down 14 percent this year on federal land, and gas production was down 9 percent.",Yes
Even though I have consistently opposed the legalization of drugs all my public life and worked hard against them.,Yes
"There's going to be 125,000 trained by the end of this year.",Yes
We have no growth in this country.,Yes
"We, as I have said earlier, fell below the national average in inflation when we did that.",Yes
It's a lot more than $18 billion in pork-barrel spending.,Yes
"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",Yes
"Carole, the thing that saved us in this global economic slowdown has been our exports, and what I'm trying to do is increase our exports.",Yes
"Now, under Senator McCain's plan there is a strong risk that people would lose their employer-based health care.",Yes
The reason incomes are down is because unemployment is so high.,Yes
He has vetoed bills passed by Congress within the congressional budget guidelines job opportunities for two million Americans.,Yes
Sixty to seventy percent of our colored children do not finish high school.,Yes
"I'm spending my money -- not PAC money, not foreign money, my money -- to take this message to the people.",Yes
"Hillary Clinton -- and it's extremely complex -- Hillary Clinton has friends that want all of these provisions, including they want the carried interest provision, which is very important to Wall Street people.",Yes
The math simply doesn't work.,Yes
"Secondly, I believe that the high interest-rate policy that this Administration has followed has added about three billion dollars a year to interest on the debt - merely funding the debt - which is a burden an the taxpayers.",Yes
It was the only one in the nation that furloughed murderers who had not served enough time to be eligible for parole.,Yes
"If you confiscate the Forbes 400 wealth, take it all, you cannot balance the budget this year.",Yes
Bear in mind that we have a lot of sanctions in force against Serbia right now.,Yes
"Uh - I think that the reason that I voted against having the federal government uh - pay teachers' salaries was probably the very reason that concerned Senator Kennedy when in January of this year, in his kick-off press conference, he said that he favored aid for school construction, but at that time did not feel that there should be aid for teachers' salaries - at least that's the way I read his remarks.",Yes
"On July twelfth of this year, we gave full permission for the release of that report.",Yes
This is the major recommendation that he's made.,Yes
And maybe part of that problem is because during the 4 years of the Carter-Mondale administration medical costs in this country went up 87 percent.,Yes
"The record is pretty clear in Arkansas, when you were governor.",Yes
"And, by the way, ISIS has a good chunk of their oil.",Yes
"With all this instability and breaking into republics, and all the Middle Eastern countries going over there and shopping for weapons, we've got our work cut out for us.",Yes
"And secondly, the people that murdered Mr. Byrd got the ultimate punishment.",Yes
It provides a choice of having either government insurance or private insurance.,Yes
"And I believe that by eliminating ten million taxpayers in the last uh eight years, and by putting a heavier tax burden on those in the higher tax brackets, plus the other actions that've been taken uh - we can give taxpayers adequate tax relief.",Yes
The only reason it's not happening is because Governor Romney's allies in Congress have held the 98 percent hostage because they want tax breaks for the top 2 percent.,Yes
I said that I would work for tax relief for middle class Americans.,Yes
Getting things done in three months that my competitors took 18 months to do.,Yes
"He testified, and these are his words - the present governor of Georgia - he says he found the Medicaid program in Georgia in shambles.",Yes
There have been only six cases brought by this Attorney General under the voting bill passed in 1957 and the voting bill passed in 1960.,Yes
I didn't say I would bring troops out in six months.,Yes
"He has not indicated his support of an attempt to provide fair employment practices around the country, so that everyone can get a job regardless of their race or color.",Yes
"But, of course, if you're a small business or a mom-and-pop business or a big business starting up here, you've got to pay even the reduced rate that Governor Romney's talking about.",Yes
First we have to understand that SALT I expires October third 1977.,Yes
"In countries like Libya or Iraq, we have even alienated some of our closest trade partners because we have insisted upon the control of the spread of nuclear weapons to those potentially terrorist countries.",Yes
