Text,class_label
"It works when we make sure they've got housing, like we have done in the last military budgets.",Yes
"In fact, independent studies have looked at our respective plans and have concluded that I provide three times the amount of tax relief to middle-class families than Senator McCain does.",Yes
"It is an issue that I am willing to take on, and so I'll bring Republicans and Democrats together.",No
But in almost every category they're lagging.,Yes
"Let me say again, we did have a drug czar in Arkansas, but he answered to the governor, just like this one answers to the President.",Yes
"All they've got to show for 4 years in U.S.-Soviet relations is one meeting in the last weeks of an administration, and nothing before.",Yes
"And then, Helen, I really believe where people are going to ask this question about trust, because I do think there's a pattern by Governor Clinton of saying one thing to please one group, and then trying to please another group.",Yes
My father was a small-businessman.,No
It also means we're helping them and small businesses to export all around the world to new markets.,Yes
"And they are active in countries like -- in regions like Latin America, and Asia, and Africa.",Yes
But I support the death penalty in the most heinous cases.,No
But you haven't done it in 30 years or 26 years or any number you want to...,Yes
That's why it's essential we hold the line.,No
"And it's estimated that that will create 800,000 new jobs.",Yes
"22 million new jobs, very low unemployment nationally.",Yes
"And I believe, for example, that there is a right of privacy in the Fourth Amendment.",No
The bill finally came out at the end of the 1999 session.,Yes
She's been doing this for 30 years.,No
And the CBO said -- that's the Congressional Budget Office; it's bipartisan -- they said that there would have to be a cut in benefits of 25 percent to 40 percent.,Yes
"The most recent figures, the last three months, on the third quarter of this year, the inflation rate is 7% - still too high, but it illustrates very vividly that in addition to providing an enormous number of jobs - nine million new jobs in the last three and a half years - that the inflationary threat is still urgent on us.",Yes
"Some of them are in public life in the Senate, the Congress.",No
"You know, under my leadership, what we've done is reformed education, working with governors, 46 states.",Yes
"But the challenge is to know when the United States of American can beneficially effect the outcome of a crisis, when to go in and when not, when American military power is worth the expenditure of our most precious treasure.",No
It's not a matter of diplomacy or trade with me.,No
My priority is putting people back to work in America.,No
$500 per child under 18.,Yes
You called it the gold standard of trade deals.,Yes
"Well, I've never, ever used the harshest word, as you did just then.",No
"And the final thing I would say, this is the 10th or 12th time that he's denied being for the war in Iraq.",Yes
The laws regarding that always were State laws.,Yes
As a matter of fact - now- I don't advocate amnesty; I advocate pardon.,No
But what Donald is proposing with these massive tax cuts will result in a $20 trillion additional national debt.,Yes
"And we are winning in Iraq, and we will come home.",No
And that will lead to another five star migraine headache down the road.,No
"The new economic revitalization program that we have in mind, which will be implemented next year, would result in tax credits which would let business invest in new tools and new factories to create even more new jobs - about one million in the next two years.",No
I had numerous conversations with Sean Hannity at Fox.,No
Productivity in the first half of 1980 was down a minus 2 percent.,Yes
"Now we've had this pause, but most economists, regardless of their political philosophy, uh - indicate that this pause for a month or two was healthy, because we could not have honestly sustained a 9.2 percent rate of growth which we had in the first quarter of this year.",Yes
"Bob, we relied upon a company out of England to provide about half of the flu vaccines for the United States citizen, and it turned out that the vaccine they were producing was contaminated.",Yes
"Finally, to you students up there -- God bless you, I'm doing this for you: I want you to have the American dream.",No
It doesn't help that person in their home if the next door neighbor's house is abandoned.,No
What's a question I think the -- the president will have a chance to answer right now.,No
I think after three debates the good people of this country understand there is a difference of opinion.,No
They'll make things happen to create jobs here in the United States.,No
"I mean, this guy, this is too much.",No
"Now, the Governor has also played a little fast and loose with the facts about vetoes.",No
When Harry Truman was president he was not afraid to have a strong secretary of defense.,No
"Certainly we can find a coffeepot that costs something less than $7,000.",Yes
They are providing the kind of competitions that have upgraded both schools -- types of schools.,Yes
"Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing.",Yes
We turn it over to the United Nations.,Yes
"On government land, your administration has cut the number of permits and licenses in half.",Yes
"And here in a country which if it is moving ahead, if it's developing its economy to the fullest - which we are not now - in my judgment, we'll have the resources to meet our military commitments and also our commitments overseas.",No
Now here is the contrast.,No
I would disagree with it.,No
I think medical care should go with the person.,No
"And in order to have the best intelligence in the world to know who the terrorists are and where they are and what they're plotting, you've got to have the best cooperation you've ever had in the world.",No
"I believe that when we examine the Democratic platform, when we examine the proposals that he has discussed tonight, when we compare them with the proposals that I have made, that these proposals that he makes would not result in greater growth for this country than would be the case if we followed the programs that I have advocated.",No
And I've said this to President Karzai.,No
The trillion comes from the surplus.,Yes
"Secondly, I don't have any litmus test.",No
"Once and for all, I want to do something about Medicare.",No
And Senator McCain during that period said that we should keep on deregulating because that's how the free enterprise system works.,Yes
We've been successful in Afghanistan.,No
But I want to get out there and give a better education opportunity to all of our children and that's why I vetoed the budget you passed with $30 billion in education cuts.,Yes
"And there's a lot of fear -- in fact, teachers and parents are calling it the Trump effect.",Yes
No wonder you've been fighting -- no wonder you've been fighting ISIS your entire adult life.,Yes
I'm excited about our prospects as a nation.,No
"But if you take it in numbers of dollars instead of percentage, yes, you could say, well, that person got 10 times as much as this other person.",Yes
"I want a country where people who work hard and play by the rules are rewarded, not punished.",No
"Values begin at the top, in the White House.",No
There's only been uh - a net savings of $4 billion.,Yes
"To do that you need a system of managed competition where all of us are covered in big groups and we can choose our doctors and our hospitals, a wide range, but there is an incentive to control costs.",No
"And the last president of the United States that tried that was Herbert Hoover, and we went from a deep recession into a depression.",Yes
"Our relationship with the People's Republic of China is based upon the Shanghai Communique, of 1972, and that communique, calls for the normalization of relations between the United States and the People's Republic.",Yes
"It's ironic that there are now -- there is now a smaller percentage of the voters made up of parents with children than ever in American history because of the aging of our population, but at the same time we've got the largest generation of students in public schools ever.",Yes
And this is the greatest country on Earth.,No
"So when you bring those rates down, those small businesses are able to keep more money and hire more people.",Yes
Now today the Secretary of State is in the Middle East and they've started negotiations and all those leaders promised me they would not quit until they resolved the issues between them and got the peace process going forward again.,Yes
Tax reform is relevant for old and young alike.,No
"But I don't think that the state, the Board of Regents, a Board of Education, or any state official, should try to compose that prayer for a child to recite.",No
In the last few years government has gotten bigger and bigger; industry has gotten larger and larger; labor unions have gotten bigger and bigger; and our children have been the victims of mass education.,No
"The trial lawyers, big supporters of the president.",Yes
"The CBO said very clearly that if you were to adopt the president's plan, there would be a $2 trillion hole in Social Security, because today's workers pay in to the system for today's retirees.",Yes
"It doesn't accommodate the expenditures that he calls for, for accelerated development and deployment of a new manned strategic bomber, for a permanent fleet in the Indian Ocean, for the restoration of the fleet to 600 ships, to the development and deployment of a dedicated modern aircraft interceptor.",Yes
The President didn't have much to do about it.,No
This would not be done just on the first day.,No
We're going to give a better prescription program.,No
"Who's he gonna listen to -- us or the folks running up and down the aisles with money, the lobbyists, the PAC money?",No
"Third, we don't know all of his business dealings, but we have been told through investigative reporting that he owes about $650 million to Wall Street and foreign banks.",Yes
"But when you talk about apology, I think the one that you should really be apologizing for and the thing that you should be apologizing for are the 33,000 e-mails that you deleted, and that you acid washed, and then the two boxes of e-mails and other things last week that were taken from an office and are now missing.",Yes
"My faith affects everything that I do, in truth.",No
One of the big differences between Senator Dole and myself is that I told you how I'm going to pay for every penny of the tax cuts I recommend and we've worked hard to bring this deficit down and that's helped people in the real estate business because the interest rates are lower.,Yes
"Or, as I've been saying for a long time, and I think you'll agree, because I said it to you once, had we taken the oil -- and we should have taken the oil -- ISIS would not have been able to form either, because the oil was their primary source of income.",Yes
"Well, Sander, that's a good question, and the answer is: for 40-some years we kept the peace.",Yes
"Secondly, we've set up what's called the -- well, first of all, I agree with my opponent that the biggest threat facing this country is weapons of mass destruction in the hands of a terrorist network.",No
"For 31/2 years, this administration avoided arms control, resisted tabling arms control proposals that had any hope of agreeing, rebuked their negotiator in 1981 when he came close to an agreement, at least in principle, on medium-range weapons.",Yes
That's what the Duelfer report showed.,Yes
We found people making 185 percent of the poverty level were getting government benefits.,Yes
"It seems to me that the Miranda case was a case that really made it very, very difficult for the - uh police, the law enforcement people in this country to uh - do what they could to make certain that the victim of a crime was protected and that those that commit crimes uh - were properly handled and uh - sent to jail.",No
"But we turned it over to a maniacal fanatic who has slaughtered thousands and thousands of people, calling it executions.",Yes
The Wall Street Journal said your numbers don't add up.,Yes
"And I must say, after reading the Vice President's speech before the farmers, as he read mine, I don't believe that it's very much different from Mr. Benson's.",No
"Now, you point out, well, we're putting some back.",No
"In fact we've seen layoffs of hundreds of thousands of teachers over the last several years, and Governor Romney doesn't think we need more teachers.",Yes
"Well, I would say first of all, I think, it's a very good question.",No
"The -- first of all, I think Governor Romney was for an assault weapons ban before he was against it.",Yes
"Those issues you mentioned, Social Security, prescription drugs, the big drug companies are against the prescription drug proposal that I've made.",Yes
And we should make sure that we give them a pathway to citizenship.,No
"Mondale was referring to an earlier debate between George Bush and Geraldine Ferarro, the Vice-Presidential candidates.",No
Can we become a breadbasket of the world instead of the arms merchant of the world?,No
"Somewhere in between those numbers -- and so there's a difference, what he's promised and what he can raise.",Yes
But we don't have to have - growth in spending that will blow the lid off and add to the problems of inflation.,No
"There are two very different issues here, and they've got to be dealt with separately.",No
"I've heard a lot of criticism about America, and our national security policy, and all that, and much of that criticism is justified.",No
"I said that our economic plan would produce eight million jobs, we have ten and a half million new jobs.",Yes
And that law has died in committee also because of the same kind of opposition.,Yes
Because she has been a disaster as a senator.,No
"Well, it was very -- I say nothing.",No
"Governor Reagan, as a matter of fact, began his political career campaigning around this nation against Medicare.",Yes
He lost the Wisconsin primary.,Yes
I notice particularly that he didn't endorse the Humphrey-Hawkins bill which he has on occasions and which is included as a part of the Democratic platform.,Yes
"(Laughter) You don't want us to mention appointees, but when you see the quality of people in our administration, see how Colin Powell performed -- I say administration --",No
Let's look at the position.,No
That's the country that I'm going to fight for.,No
But my economic program is the kind of change we want.,No
"And he's also right that oftentimes lobbyists and special interests are the ones that are introducing these kinds of requests, although that wasn't the case with me.",Yes
Sixty to seventy percent of our colored children do not finish high school.,Yes
