Text,class_label,topic
"Look, since 2010, more than 20 states have enacted stricter voter ID laws.",Yes,elections
"And my opponent, he voted against expanding early voting in 2013, which is on the record.",Yes,elections
"The Pew Research Center stated that, as of last year, confidence in our electoral process has dropped by 15%.",Yes,elections
Florida had a higher voter turnout in the last midterms compared to any other state in the Southeast.,Yes,elections
This administration allocated $380 million for election security in 2018 through the Help America Vote Act.,Yes,elections
"He said in 2016 that mail-in ballots would be fraud-ridden, but studies, including those by MIT, have shown only negligible cases.",Yes,elections
"It's been noted that there are more polling places in urban areas than in rural ones, which needs addressing.",Yes,elections
"When he was governor, he cut funding for election infrastructure by $10 million.",Yes,elections
"Last year, uh, violent crime decreased by 15% under my administration.",Yes,crime
"And look, the Senator voted against the bill that would have increased funding for body cameras on police officers.",Yes,crime
"We've hired, um, 5,000 more community policing officers across the country.",Yes,crime
"She talks about gun control, but her home state has one of the highest, uh, gun crime rates in the nation.",Yes,crime
"The FBI reported that property crimes saw a decline in major cities, in the past two years, for the first time in a decade.",Yes,crime
And I introduced legislation that tripled the penalties for drug dealers selling opioids.,Yes,crime
"I mean, you proposed cuts to the crime prevention programs that were working, that’s a fact.",Yes,crime
"Did you know that the National Crime Victimization Survey found that, uh, nearly 1 in 3 thefts go unreported?",Yes,crime
"Look, I've introduced legislation that would increase affordable housing by 30% within the next five years.",Yes,housing
My opponent voted against the housing relief bill that could've helped families during the 2008 crisis.,Yes,housing
The National Association of Realtors reported that housing prices have soared by an average of 15% in the last year alone.,Yes,housing
"The President said in 2019 that rental prices would stabilize, but they've continued to rise every quarter.",Yes,housing
We have the second-highest homelessness rate among developed nations.,Yes,housing
"They claim to support affordable housing, but they haven't allocated a dime to the new initiative.",Yes,housing
The city of Los Angeles is set to spend $1 billion on tackling homelessness this year.,Yes,housing
"Listen, every single Democratic Senator voted 'no' when it came to the eviction moratorium extension.",Yes,housing
We've created over 10 million jobs in just two years.,Yes,the economy
The Senator voted against raising the minimum wage five times.,Yes,the economy
"According to the Bureau of Labor Statistics, wages have increased by 4% last year.",Yes,the economy
"Look, corporate taxes are lower now than they've been in decades.",Yes,the economy
He supported a tax plan that added $1.5 trillion to the deficit.,Yes,the economy
The country's GDP growth was higher this quarter than any other major economy.,Yes,the economy
The state of Ohio lost more manufacturing jobs than any other state in 2023.,Yes,the economy
"You know, inflation was at its highest in 40 years.",Yes,the economy
Social Security is gonna be insolvent by 2035 if we don't reform it.,Yes,social security
"Look, the last time he voted on this, he wanted to cut benefits by 15 percent.",Yes,social security
We invest more in Social Security payouts than any other welfare program.,Yes,social security
The trustees report said it needs an additional $13.2 trillion in future funding.,Yes,social security
"Okay, the average recipient gets about $1,500 a month.",Yes,social security
"He's against privatization of Social Security, plain and simple.",Yes,social security
"And just last year, over 50 million people received Social Security benefits.",Yes,social security
We've seen the most secure cost-of-living adjustment in over two decades.,Yes,social security
"The administration has approved over 5,000 drilling permits on public lands in the last year alone.",Yes,energy
"We have the second largest natural gas reserves in the world, after Russia.",Yes,energy
"Look, in 2022, more than 70% of all new power capacity came from renewable sources.",Yes,energy
My opponent voted against the Clean Air Act amendments twice in the Senate.,Yes,energy
"According to the Energy Information Administration, solar energy production has tripled over the past decade.",Yes,energy
We’ve seen a 30% reduction in coal power use since 2015.,Yes,energy
"He said he would support the Paris Agreement, and then he withdrew.",Yes,energy
The Department of Energy calculated that wind industry jobs grew by 20% last year.,Yes,energy
"Look, my opponent voted against the Women's Health Protection Act three times.",Yes,reproductive rights
"And each year, over 600 Planned Parenthood clinics provide essential services to millions of women.",Yes,reproductive rights
"According to the CDC, maternal mortality rates in the U.S. are the highest in any developed nation.",Yes,reproductive rights
"She wants to defund Planned Parenthood, which provides 9 million critical health services annually.",Yes,reproductive rights
"And I'd just like to mention, the Hyde Amendment was reinstated, affecting federal funding.",Yes,reproductive rights
He was against including contraceptive coverage in the Affordable Care Act.,Yes,reproductive rights
"In states like Texas, there's a 400% increase in clinics closing down in the last decade.",Yes,reproductive rights
"Well, the Guttmacher Institute reports that nearly 60% of women who've had abortions are already mothers.",Yes,reproductive rights
"We've funded over 10,000 new affordable housing units just this fiscal year.",Yes,housing
"And, uh, the median home price in the country increased by 15 percent over the past year.",Yes,housing
She voted against the bill that would have increased veteran housing benefits.,Yes,housing
The National Association of Realtors said first-time homebuyer participation is at a 30-year low.,Yes,housing
He didn't support the amendment that proposed rent control measures.,Yes,housing
"Our administration has, look, allocated more federal grants for housing infrastructure than any in history.",Yes,housing
"According to the HUD, homelessness declined by just 0.1% last year.",Yes,housing
My opponent said they plan to cut the housing budget by billions.,Yes,housing
"And just last year, we had the highest GDP growth rate since 1984.",Yes,the economy
"Uh, look, since my opponent took office, federal spending has increased by 25%.",Yes,the economy
"According to the Bureau of Labor Statistics, we've added over 10 million jobs since my administration began.",Yes,the economy
I want you all to remember that the unemployment rate for African Americans is at its lowest point ever recorded.,Yes,the economy
"My tax plan is going to save middle-class families an average of $1,200 a year.",Yes,the economy
"And let me remind you, he voted three times against the minimum wage increase.",Yes,the economy
"The IMF has projected our economy will grow by just 1.8% next year, and that's concerning.",Yes,the economy
We have over 80% of our new small businesses reporting that they can't find enough skilled workers.,Yes,the economy
"Uh, we spend more on our military than the next ten countries combined.",Yes,foreign policy
He refused to label China a currency manipulator when he had the chance.,Yes,foreign policy
"And look, the Paris Agreement was a game-changer, but not everybody's on board.",Yes,foreign policy
We have troops in over 150 countries right now.,Yes,foreign policy
The Senate rejected the Kyoto Protocol back in '97.,Yes,foreign policy
"She said, during the primaries, that she supported a no-fly zone in Syria.",Yes,foreign policy
"The intelligence community, I mean, they're clear: Russian interference was real and significant.",Yes,foreign policy
Joining the TPP would've benefited American exports significantly.,Yes,foreign policy
The last tax plan you supported increased the deficit by $2 trillion over ten years.,Yes,tax policy
"Look, 80% of the benefits from this bill will go to the top 1% of earners.",Yes,tax policy
"The Congressional Budget Office confirmed, just last week, that this policy will cost $300 billion annually.",Yes,tax policy
Your party voted against a tax cut for middle-income families twice last year.,Yes,tax policy
I've reduced taxes for small businesses more than any other administration.,Yes,tax policy
"And just so we're clear, the taxes under the current plan are hitting seniors the hardest.",Yes,tax policy
"The average American household pays $6,000 more in taxes now than ten years ago, when he was in office.",Yes,tax policy
"According to the latest IRS report, tax evasion costs the U.S. over $400 billion annually.",Yes,tax policy
