Text,class_label,example
"Now, he misled the American people in his speech when he said we will plan carefully.",Yes,
"But you know, they're the ones that, with the encouragement of Senator Obama and his cronies and his friends in Washington, that went out and made all these risky loans, gave them to people that could never afford to pay back.",Yes,
"In the last 21 months, more than 6 million people have gotten jobs -- there have been created new jobs for those people to where there are now 105 million civilians working, where there were only 99 million before; 107, if you count the military.",Yes,
"We're not going to spend billions on MX's on railroad cars, which is a weapons system we don't need, can't afford and won't help our defense posture at all.",Yes,
When you stop and think that we are only drilling on 2%.,Yes,
"And the fact that you're going to college is great, but I want everybody to get a great education and we've worked hard to make sure that student loans are available for folks like you, but I also want to make sure that community colleges are offering slots for workers to get retrained for the jobs that are out there right now and the jobs of the future.",Yes,
"And it's a plan that lowers cost for everybody, covers all children.",Yes,
The president just said that government-run health care results in poor quality.,Yes,
"We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms.",Yes,
Several government departments -- several -- had information that he was converting our aid to military purposes and trying to develop weapons of mass destruction.,Yes,
"We have a great many people, hundreds of thousands of people living on public assistance in this country.",Yes,
She talks in favor of the rebels.,Yes,
"As a matter of fact, the statement that Senator Kennedy made was that - to the effect that there were trigger-happy Republicans, that my stand on Quemoy and Matsu was an indication of trigger-happy Republicans.",Yes,
Our laws against murder are State laws.,Yes,
"And the president said never, never, never would he raise taxes in New Jersey, and within a day Marlin Fitzwater, his spokesman, said now, that's not a promise.",Yes,
"Well, I was upset because, unfortunately, dozens of toddlers injure themselves, even kill people with guns, because, unfortunately, not everyone who has loaded guns in their homes takes appropriate precautions.",Yes,
You said you'd cut the deficit in half.,Yes,
It's being used in 17 states right now.,Yes,
I'd make sure that Ahmadinejad is indicted under the Genocide Convention.,Yes,
The federal government didn't hire our teachers.,Yes,
And there's no market forces involved with health care.,Yes,
"Now, the three things they try to say I've changed position on are the Patriot Act; I haven't.",Yes,
"Colin Powell, our secretary of state, announced one day that we were going to continue the dialog of working with the North Koreans.",Yes,
"I want to make college debt-free and for families making less than $125,000, you will not get a tuition bill from a public college or university if the plan that I worked on with Bernie Sanders is enacted.",Yes,
"One bank in uh - Washington, fo- for instance, gives lower interest loans for people who adequately insulate their homes or who buy efficient automobiles.",Yes,
We settled the suit with zero -- with no admission of guilt.,Yes,
But we are putting our energy companies out of business.,Yes,
They had thirty of them; we had seven of them.,Yes,
"He'll claim credit now for crime going down, but it happens because mayors and governors and others have brought crime down.",Yes,
Look at that horrible -- these are radical Islamic terrorists.,Yes,
"These high interest rates -- real rates that have doubled under this administration -- have had the same effect on Mexico and so on, and the cost of repaying those debts is so enormous that it results in massive unemployment, hardship, and heartache.",Yes,
And we had an initiative that we were working on to raise women's pay.,Yes,
"And like I say, 20 million people now have health insurance.",Yes,
But this president didn't try to fix it.,Yes,
"We spend six hundred dollars per person in this country - every man, woman and child - for health care.",Yes,
The budget was more grossly out of balance last year than ever before in the history of our country - $65 billion - primarily because our people are not at work.,Yes,
"As a matter of fact, based on the announcement this week, there will be at an annual rate of a million, eight hundred and some thousand new houses built, which is a tremendous increase over last year and a substantial increase over the earlier part of this year.",Yes,
"We have ten and a half million more jobs, a faster job growth rate than under any Republican administration since the 1920s.",Yes,
"Not only has an innocent person been executed, but the real perpetrator of the crime has not been held accountable for it.",Yes,
"And therefore we passed an authorization - not an aid bill - which was the first time, really, since the Inter-American Bank which was founded a year ago was developed, that we really have looked at the needs of Latin America; that we have associated ourselves with those people.",Yes,
We had an 18 percent increase in housing starts.,Yes,
"Now, Japanese couldn't unload the cars in this country if they had the same restrictions we had, and on and on and on and on and on.",Yes,
"And by the way, you skipped Israel, our closest friend in the region, but you went to the other nations.",Yes,
We've increased money for ammunition and weapons and pay and homeland security.,Yes,
There is a tax gap.,Yes,
And now we're fighting them now.,Yes,
"What I'd also like to point out the Iranians are putting the most lethal IEDs into Iraq which are killing young Americans, there are special groups in Iran coming into Iraq and are being trained in Iran.",Yes,
"In fact, the Trump Hotel right here in Las Vegas was made with Chinese steel.",Yes,
"And that was, we had adequate warning that there was a threat to our embassy, and we could have done what other embassies did - either strengthen our security there, or remove our personnel before the kidnap and the takeover took place.",Yes,
They investigated every single one of my children.,Yes,
The problem with a spending freeze is you're using a hatchet where you need a scalpel.,No,
"I have talked of having zones in those cities that are run down, where there is a high percentage of people on welfare, and offer tax incentives.",No,
So it's pretty clear who doesn't want a trade war.,No,
"I want to quote somebody a little closer to home, Harry Truman.",No,
So it's not one thing.,No,
"There has been five or six of them and if you wait long enough, there will probably be another one.",No,
Again it's important to put the situation in perspective.,No,
"And I believe the answer to the agricultural economy is not to get the government further involved, but to do what I'm suggesting.",No,
"Now, I want to build on that.",No,
Then you said we should.,No,
And I don't deserve that.,No,
I will pay down the national debt.,No,
"And we're hoping that within the year we'll be able to push ISIS out of Iraq and then, you know, really squeeze them in Syria.",No,
"That is, I want to bring down rates.",No,
Let's get back to Medicare.,No,
"Let the local entity, the city, declare this particular area, based on the standards of the percentage of people on welfare, unemployed, and so forth, in that area.",No,
"But the point is that -- you see, I hear this all the time.",No,
And I do advocate a pardon for - for draft evaders.,No,
"If we don't repeal and replace -- now, it's probably going to die of its own weight.",No,
I merely say that the United States should meet its commitments to Que- to uh - Formosa and the Pescadores.,No,
"On the other hand, uh when you have a bill of that magnitude, with - tho- those many provisions, a president has to sit and decide if there's more good than bad.",No,
"I want to appoint Supreme Court justices who understand the way the world really works, who have real-life experience, who have not just been in a big law firm and maybe clerked for a judge and then gotten on the bench, but, you know, maybe they tried some more cases, they actually understand what people are up against.",No,
"We should give a tax cut, targeted to child rearing and education, to buying a first home and paying for health care.",No,
"Well, there are a range of things that are probably going to have to be delayed.",No,
So there's a great deal of cynicism out there.,No,
"And I would institute the same kind of procedure as president, not only in judicial appointments, but also in diplomatic appointments.",No,
"Well, we, the living Americans, have gone through four wars.",No,
But I do not believe that that line in case of war should be drawn on those islands but instead on the island of Formosa.,No,
There are limits to this nation's ability to finance these weapons systems.,No,
I can't think of any.,No,
"Andrea, I don't know which George Bush I'm listening to.",No,
I want to keep their taxes down on small business.,No,
Let me just talk to you about one of the short-term fixes.,No,
Now the Republican platform will cost more too.,No,
"I'm not going to do that, because I think the jury is still out on the Soviet experiment.",No,
We could have gained if they did it by surprise.,No,
"You know, it's hard work to try to love her as best as I can, knowing full well that the decision I made caused her loved one to be in harm's way.",No,
I think it's a matter that we should continue to uh - give uh - great care and attention to.,No,
Not if I didn't have a better idea.,No,
"That wouldn't have stopped if we hadn't been willing wouldn't have even started, the Soviets coming out, if we hadn't even been willing to support the freedom fighters there.",No,
It will come from the pockets of the people who are living in those very areas.,No,
And only the US could do this.,No,
That is the accepted procedure between nations; and my judgment is that we should follow the advice of Theodore Roosevelt: Be strong; maintain a strong position; but also speak softly.,No,
"There are some advantages to experience, and knowledge, and judgment.",No,
I'm not sure what kind of view he's describing to me.,No,
You've got some pretty strong-willed guys up there that argue with you.,No,
"I believe we need to be strong, and I will keep us strong.",No,
I just don't believe we ought to do that.,No,
"I noted, for example, in reading a - uh - a - a particular discussion that Senator Kennedy had with Dave Garroway shortly after the uh - his statement about regrets, that uh - he made the statement that he felt that these particular flights uh - were ones that shouldn't have occurred right at that time, and the indication was how would Mr. Khrushchev had felt if we had uh - had a flight over the uni- how would we have felt if Mr. Khrushchev ha - uh - had a flight over the United States while uh - he was visiting here.",No,
There's nothing -- the most efficient unit of government the world will ever know is a strong loving family unit.,No,
