Text,class_label,selected_count,iteration_count
"Now, here's what I believe.",No,2,128
I agree with everything she said.,No,2,128
All I know is that we have firm government credit to guarantee the pensions.,Yes,2,128
We didn't have a difference on whether or not we were going to be funding troops.,Yes,2,128
But you were in contact -- excuse me.,No,2,128
"The resolution commits the president in the United States, which I supported, to defend uh - Formosa, the Pescadores, and if it was his military judgment, these islands.",Yes,2,128
We've got seven and a half million people out of jobs.,Yes,2,128
"Donald, she has a name.",No,2,128
I don't believe that the Rumanians consider themselves dominated by the Soviet Union.,No,2,128
You just want to add an additional tax cut over the loopholes.,No,2,128
He said he would work through a real alliance.,Yes,2,128
We know the IRS has made clear there is no prohibition on releasing it when you're under audit.,Yes,1,128
"And Haitians have their problems, but we gave them a chance to restore democracy.",No,2,128
"Justice Scalia, great judge, died recently.",No,2,128
And I do believe it would be inhibiting.,No,0,128
Those schools belong to you.,No,2,128
I have a plan to cover those folks.,Yes,2,128
"The facts are -- I did say I hoped it would be a good deal, but when it was negotiated...",Yes,1,128
"I'd like to understand who it was that did this, what the idea was behind it, why it led to the violence, thousands of guns going to Mexican drug lords.",Yes,2,128
The Clinton Foundation raised $30 million to help Haiti after the catastrophic earthquake and all of the terrible problems the people there had.,Yes,2,128
And I worked with Democrats and Republicans to cut a trillion dollars out of our discretionary domestic budget.,Yes,2,128
It's not going to cost the government money.,No,2,128
"We said, ""All right, if that's what you want to do.''",No,2,128
This is particularly true of the recent efforts to shut down part of Alaska.,Yes,2,128
"Well the conditions I laid out in one of our previous television debates, and it's rather difficult to be much more specific than that.",No,2,128
The other would be to make a judgment on what's the most effective tax program to stimulate our economy.,No,2,128
"We went into Russia, we said here is some IMF money, and it ended up in Viktor Chemomyrdin's pocket, and others, and yet we played like there was reform.",Yes,2,128
He introduced some 300 bills and he's passed five.,Yes,0,128
"And finally, moving generic drugs to the market quicker.",No,2,128
"I want to quote somebody a little closer to home, Harry Truman.",No,2,128
"Because we've had tough aggressive trade policies, and because we've got interest rates down.",Yes,2,128
And we've been guilty of that.,No,2,128
"And there are a host of options that this president had available to him, like making sure that at all our ports in America containers are inspected.",No,2,128
"These people depend upon all of us for the little security that they have, and I'm not going to do it that way.",No,2,128
"I remember sitting in the White House looking at those generals, saying, ""Do you have what you need in this war?",No,2,128
You leave future generations with tremendous IOUs.,No,2,128
But America cannot stand pat.,No,2,128
"What they're doing to us is a very, very sad thing.",No,2,128
They've got to have the logistical capacity to go in and stop the killing.,No,2,128
"You were after him, you were trying to -- you even sent out or your campaign sent out pictures of him in a certain garb, very famous pictures.",Yes,2,128
The United States is pursuing a new set of nuclear weapons.,Yes,2,128
"I mean, we've cut defense spending too much in the first place.",Yes,2,128
Under the last Democratic administration 60 percent of all weapons that went into the Middle East were for Israel.,Yes,2,128
"Like Mr. Perot, I have held crack babies in my arms.",No,2,128
"Not only -- Even if we get all $700 billion back, let's assume the markets recover, we're holding assets long enough that eventually taxpayers get it back and that happened during the Great Depression when Roosevelt purchased a whole bunch of homes, over time, home values went back up and in fact government made a profit.",Yes,2,128
"Well, in the uh - last two years, as I indicated before, we had a very tough time.",No,2,128
"But they see a compassionate, strong, great first lady in Laura Bush.",No,2,128
He is the leader of that country.,No,2,128
My state just became the only state in the nation to provide for universal health care and we did it with the support of the business community and labor and the health care community and with virtually everybody in the state.,Yes,0,128
We didn't guard the nuclear facilities.,Yes,2,128
And this is the reason why AARP has said that your plan would weaken Medicare substantially.,No,2,128
"But if you calculated that unemployment rate, taking back the people who dropped out of the workforce, it would be 10.7 percent.",Yes,2,128
There are six other studies that looked at the study you describe and say it's completely wrong.,Yes,2,128
"He really didn't have a new economic program until over 1300 days into his presidency, and not all of his health care initiative has been presented to the Congress even now.",Yes,2,128
"First of all, let me sharply disagree with the President on sharing the most advanced, the most dangerous, the most important technology in America with the Soviet Union.",Yes,2,128
"I have a much better -- she spent -- let me tell you -- she spent hundreds of millions of dollars on an advertising -- you know, they get Madison Avenue into a room, they put names -- oh, temperament, let's go after -- I think my strongest asset, maybe by far, is my temperament.",Yes,2,128
"But he's promised seniors that their Social Security benefits will not be cut, and he's promised the same trillion dollars to them.",Yes,2,128
"Exports are down, and every time an export number goes down, it hurts the farmer.",Yes,2,128
"They're leaving, and they're leaving in bigger numbers than ever.",Yes,2,128
"And 100 percent, John, of your ads -- 100 percent of them have been negative.",Yes,2,128
You have a differential in wages right now.,Yes,0,128
"What I'd also like to point out the Iranians are putting the most lethal IEDs into Iraq which are killing young Americans, there are special groups in Iran coming into Iraq and are being trained in Iran.",Yes,2,128
"I think that the next president immediately after his election should sit down with the President, work out a timetable, and - get a decision on this before January of next year.",No,2,128
"That's why I don't think we should give nearly half of it to the wealthiest 1%, because the other 99% have had an awful lot to do with building the surplus in our prosperity.",Yes,2,128
The reorganization proposal that I have put forward is one uh first step.,Yes,2,128
The Chinese Communists expressed regrets to us over a plane incident in 1956.,Yes,2,128
And he rushed the war in Iraq without a plan to win the peace.,Yes,2,128
We're going to be able to.,No,2,128
It failed to came to the floor of the House of Representatives.,Yes,2,128
It's time to end it.,No,2,128
"Employers would cover their employees, government would cover the unemployed.",No,2,128
I agree with Senator Kennedy completely on that score.,No,2,128
Parents now feel like you have to compete with the mass culture in order to raise your kids with the values that you want them to have.,No,2,128
"The governor used the phrase phony numbers, but if you look at the plan and add the numbers up, these numbers are correct.",Yes,2,128
Here's your fine -- zero.,No,2,128
"My record going back to 1965 in the Congress, the first vote we had was whether or not you should put a little notice on cigarettes.",Yes,2,128
And it was major -- a major factor in bringing about the end of the Cold War.,No,0,128
I believe we're overextended in too many places.,No,0,128
The problem with Mosul and what they wanted to do is they wanted to get the leaders of ISIS who they felt were in Mosul.,Yes,0,128
We have came out of the recession and we're well on the road to real prosperity in this country again.,No,2,128
I'd have made a better choice.,No,2,128
And I would do everything I could in my power to bring that about.,No,2,128
"Because we are first in the world in space, as I've indicated; we are first in science; we are first in education, and we're going to move even further ahead with the kind of leadership that we can provide in these years ahead.",Yes,2,128
I'd like to thank the people who've started with Mr. Perot who've come on to help our campaign.,No,2,128
But you were there when you took everybody out of Mosul and out of Iraq.,Yes,0,128
"We had inflation of over 12 percent, we were on the brink of the worst recession in the last forty years, we were still deeply involved in the problems of Vietnam.",Yes,2,128
Ten days before I took the oath of office as president they were 21 and a half percent.,Yes,2,128
"I think the lesson in Central America, this recent embarrassment in Nicaragua where we are giving instructions for hired assassins, hiring criminals, and the rest -- all of this has strengthened our opponents.",Yes,2,128
I think that uh - we should protect our commitments.,No,2,128
That's the stuff that campaigns should be made of.,No,2,128
"And sometimes those projects, not -- not the overhead projector that Senator Obama asked for, but some of them that are really good projects, will have -- will have to be eliminated, as well.",No,2,128
This is the major recommendation that he's made.,Yes,2,128
"But I notice, anytime anything wrong happens, they like to say the Russians are -- she doesn't know if it's the Russians doing the hacking.",Yes,0,128
"uh - The estimate of the outside, if you eliminated all tax shelters, is 5 billion.",Yes,2,128
So -- and you launched your political campaign in Mr. Ayers' living room.,No,2,128
We spent $300 billion a year defending the world.,Yes,2,128
And we have a certain disproportionate responsibility.,No,2,128
"If you're a single mother making $22,000 a year and you have two children, under this tax code, for every additional dollar you make, you pay a higher marginal rate on that dollar than someone making more than $200,000 a year, and that is not right.",Yes,2,128
Right now our military is the strongest in the entire history of the world.,Yes,2,128
I suspect we won't agree here tonight.,No,2,128
And what is important is making sure that we disagree without being disagreeable.,No,2,128
"I remember 1973 in the depth of the uh - energy crisis when President Nixon called on the American people to make a sacrifice, to cut down on the waste of uh - gasoline, to cut down on the uh - speed of automobiles.",No,2,128
Why can't Landale Shakespeare in Cleveland or Pilar Gonzales in Milwaukee give their children an opportunity to go to a better school.,No,2,128
"You pick your own doctor, and nobody can take that away from you.",No,2,128
I support the death penalty.,Yes,2,128
Make sure your kids can go to college.,No,2,128
"He was against the F - 14 fighter, he was against the M - 1 tank, he was against the B - 1 bomber, he wanted to cut the salary of all of the military, he wanted to bring home half of the American forces in Europe.",Yes,2,128
Let's try to expand our markets abroad.,No,1,128
"And what I've proposed, you'll hear Senator McCain say, well, he's proposing a whole bunch of new spending, but actually I'm cutting more than I'm spending so that it will be a net spending cut.",Yes,2,128
"So what we've got to do is control it, let it grow for inflation, let it grow for the amount of new people added, population, and then hold the line.",No,2,128
"The question, I think, should be enlarged.",No,2,128
"The litmus test that John says is in the Republican platform, says no more than the judges to be appointed should have a respect for innocent life.",No,0,128
"Secretary Kissinger, in his meeting with uh - Prime Minister Smith of Rhodesia, was able to convince him that it was in the best interests of whites as well as blacks in Rhodesia to find an answer for a transitional government and then a majority government.",Yes,2,128
"And when they decide not to plow a field that is vulnerable to soil erosion, that may cost them a little money, but it helps the environment.",No,2,128
That's the highest we've ever been in our country.,Yes,2,128
"My vision of America is an America where everyone has a place, if you're willing to work hard, you do your part, you contribute to the community.",No,2,128
"One of the reasons is we almost had it done, and the speaker -- a very, able, decent fellow, I might add -- but he twisted the arms of some of the sponsors of that legislation and had them change their vote.",Yes,2,128
I think Mr. Benson's program has failed.,No,2,128
I got into this race because I did not want my child to grow up to be part of the first generation of Americans to do worse than her parents.,No,2,128
"I urged the president to support this air cover, and he did--and I applaud that.",Yes,2,128
And I think that most of our people -- this is why we had a 25-percent tax cut across the board which maintained the same progressivity of our tax structure in the brackets on up.,Yes,2,128
