Text,class_label,example
"But it started for me in the last eight years when I had the honor of casting the tie-breaking vote to end the old economic plan here at home and put into place a new economic plan that has helped us to make some progress, 22 million new jobs, the greatest prosperity ever.",Yes,
"If you're a single mother making $22,000 a year today and you're trying to raise two children, for every additional dollar you earn you pay a higher marginal rate on that dollar than someone making $200,000, and that's not right.",Yes,
That's twice the amount that my predecessor increased VA funding.,Yes,
Only 95 percent of them -- 95 percent come in today uninspected.,Yes,
I worked very hard and was very proud to be re-elected in New York by an even bigger margin than I had been elected the first time.,Yes,
"As for offshore oiling, only 2% now is so leased and is producing oil.",Yes,
"But when it came time to making sure that Gadhafi did not stay in power, that he was captured, Governor, your suggestion was that this was mission creep, that this was mission muddle.",Yes,
"That's the enemy that is now in 60 countries, with stronger recruits.",Yes,
"Number two, that strip-mining bill would've severely set back our need for more coal, and Governor Carter has said repeatedly that coal is the resource that we need to use more in the effort to become independent of the uh - Arab oil supply.",Yes,
"When I walked into the Oval Office, I had more than a trillion-dollar deficit greeting me.",Yes,
Our foreign competitors are doing it; we're not.,Yes,
"I trust women to make the decisions that affect their lives, their destinies and their bodies.",Yes,
"You've got about a million right here in Arizona, just shy, 950,000, who have no health insurance at all.",Yes,
It is -- our country has the slowest growth and jobs are a disaster.,Yes,
"Those on Social Security today will have their promise made, but also to give younger workers the option at their choice of being able to manage some of their own money in the private sector to make sure there's a Social Security system around tomorrow.",Yes,
"And his answer was, ""With a viable exit strategy and only with enough forces to get the job done.""",Yes,
"Well, President, you're -- Mr. President, you're absolutely right, which is that, with regards to 97 percent of the businesses are not -- not taxed at the 35 percent tax rate, they're taxed at a lower rate.",Yes,
And now you want to approve Trans-Pacific Partnership.,Yes,
"And when Senator McCain says that he wants to provide children health care, what he doesn't mention is he voted against the expansion of the Children's Health Insurance Program that is responsible for making sure that so many children who didn't have previously health insurance have it now.",Yes,
"There's another, a similar issue out there that relates to your -- it is said, at least, that you were unaware that the Soviet retaliatory power was based on land-based missiles.",Yes,
"You were after him, you were trying to -- you even sent out or your campaign sent out pictures of him in a certain garb, very famous pictures.",Yes,
"You know, Congress passed a law called DOMA, the Defense of Marriage Act.",Yes,
Our analysis indicates that something in the magnitude of about one hundred fifty to two hundred thousand jobs would uh - be made available.,Yes,
"And then, on the floor of the Illinois State Senate, he voted present.",Yes,
"In fact, he doubled it.",Yes,
But it will cover preexisting conditions.,Yes,
"Mr. Nixon would add a guarantee to islands five miles off the coast of the re- Republic of China when he's never really protested the Communists seizing Cuba, ninety miles off the coast of the United States.",Yes,
The reason why Prime Minister Allawi said they're coming across the border is because he recognizes that this is a central part of the war on terror.,Yes,
It's three times bigger than what President Clinton proposed.,Yes,
They do not pay us.,Yes,
"We helped stabilize the situation with some troops, and when the African Union came, we moved them out.",Yes,
"Then he called her ""Miss Housekeeping,"" because she was Latina.",Yes,
Governor Rockefeller says five per cent.,Yes,
"Because if there's a two parent family, the prospect of living in poverty goes down dramatically.",Yes,
We've cut it in half.,Yes,
It's a part of the Social Security system.,Yes,
The wages of Americans have gone down.,Yes,
"And we're bringing GDP from, really, 1 percent, which is what it is now, and if she got in, it will be less than zero.",Yes,
"In fact, independent studies have looked at our respective plans and have concluded that I provide three times the amount of tax relief to middle-class families than Senator McCain does.",Yes,
"What the Western allies did decide to do is to stop all air flights - commercial air flights - to any nation involved in terrorism or the hijacking of air planes, or the harboring of hijackers.",Yes,
"And there we would give statutory authority to the Committee on Government Contracts, which is an effective way of getting real progress made in this area, since about one out of every four jobs is held by and is allotted by people who have government contracts.",Yes,
"Well, you know, once again, Donald is implying that he didn't support the invasion of Iraq.",Yes,
"I met a young woman in -- in Philadelphia who's coming out of -- out of college, can't find work.",Yes,
"And even someone like Captain Khan, the young man who sacrificed himself defending our country in the United States Army, has been subject to attack by Donald.",Yes,
"Now, Joe, Senator Obama's plan, if you're a small business and you are able -- and your -- the guy that sells to you will not have his capital gains tax increase, which Senator Obama wants, if you're out there, my friend, and you've got employees, and you've got kids, if you don't get -- adopt the health care plan that Senator Obama mandates, he's going to fine you.",Yes,
"It is a plan that will have 200 new programs -- expanded programs and creates 20,000 new bureaucrats.",Yes,
We're now working on the communications industry.,Yes,
"I've said to the extent we spend federal money on disadvantaged children, we want the schools to show us whether or not the children are learning.",Yes,
"... right now, our country is dying at 1 percent GDP.",Yes,
"And if we want to talk about oil company profits, under your tax plan, John -- this is undeniable -- oil companies would get an additional $4 billion in tax breaks.",Yes,
"Not only that, he said, ""I think that's what grows the economy.""",Yes,
At the present time we're spending roughly three billion five hundred million dollars.,Yes,
And I'm paying for all that for those guys.,Yes,
We had the biggest drop in income inequality in 27 years in 1995.,Yes,
That happened when I was president.,Yes,
It was killed in the Rules Committee.,Yes,
"Let me tell you that I, first of all, oppose an election year tax cut, whether it is the 10% across-the-board tax cut promised to the taxpayers by my opponent in this debate tonight, or whether it is the $27.5 billion tax cut promised on the 20th of August by President Carter.",Yes,
"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.",Yes,
"And it's referred to as an assault weapon ban, but it had, at the signing of the bill, both the pro-gun and the anti-gun people came together, because it provided opportunities for both that both wanted.",Yes,
We've allocated $7 billion over the next months for reconstruction efforts.,Yes,
"It was not an extreme bill and yet we could not get one Republican to join, at least I think four of the eight Democrats voted to send it to the floor of the House - not one Republican - and they joined with those Democrats who were opposed to it.",Yes,
We know the IRS has made clear there is no prohibition on releasing it when you're under audit.,Yes,
"And what we've done during the Bush administration, the Kurds were at the State Department, negotiating, trying to work their differences out.",Yes,
"I mean, her and Obama, whether you like it or not, the way they got out of Iraq, the vacuum they've left, that's why ISIS formed in the first place.",Yes,
"If you have extraordinarily high cost, then they pay all over $4,000 out-of-pocket.",Yes,
"I'm also against the pipeline embargo, which you folks attempted to impose.",Yes,
The integration of Central and Eastern European democracies into a new partnership with NATO.,Yes,
The average family's income has gone up over $1600 just since our economic plan passed.,Yes,
