Text,class_label
Senator Kennedy also indicated with regard to Cuba that he thought that I had made a mistake when I was in Cuba in not calling for free elections in that country.,Yes
We're going as fast as the experts say we should.,Yes
I doubt very much that Mr. Bush's selection for the Vice Presidency of the United States meets that test.,No
That is the true way I feel.,No
"I'm spending my money -- not PAC money, not foreign money, my money -- to take this message to the people.",Yes
And yet that very committee of which I am chairman has been handicapped by the fact that we have not had adequate funds; we have not had adequate powers; we haven't had an adequate staff.,No
"If you're a Medicare person, on Medicare, you don't get the new procedures.",Yes
I wanted to hitchhike a ride home in his tank with him.,No
"If I don't like them, I can get rid of them and find a different insurance company.",No
We think that's pretty good progress.,No
That's why they had to close down the subway in New York when the Republican Convention was there.,Yes
It is not a government takeover.,No
"In 1933, Franklin Roosevelt said in his inaugural that this generation of Americans has a rendezvous with destiny.",Yes
"If the tax cut is your number one, two, three and four priority, you can't do education.",Yes
"The first time -- and I did not criticize the President, because these things can happen -- once, and sometimes twice -- the second time the barracks in Lebanon were assaulted, as we all remember.",Yes
"I hope over the next ten years you will see a big increase over the percentage of people that have pension plans, plus a secure Social Security system.",No
It is to fully fund the McKinney Act.,No
We didn't guard the nuclear facilities.,Yes
I do not say that.,No
I didn't get to make a comment on this.,No
"It has a population less than Chicago or Los Angeles, about the size of Dallas and Forth Worth combined.",No
"First and foremost we have to fully fund LIHEAP which is a way to help low income folks, particularly here in the east to pay for high fuel bills.",No
The President's economic plan calls for increasing the taxes to the point that we finally take so much money away from the people that we can balance the budget in that way.,Yes
"I went to increase early childhood education and the notion that we should freeze that when there may be, for example, this Medicare subsidy, I think, doesn't make sense.",No
"You look at Haiti, where we spend about three billion dollars and we got an alarm call there about two weeks ago.",Yes
Who's the best person to manage money?,No
"Well, everything you've heard just now from Donald is not true.",Yes
"We - I mean in Korea - we had uh - three million five hundred thousand young men uh - in the Army, Navy, Air Force and Marines.",Yes
"I have advocated and taken on the special interests, whether they be the big money people by reaching across the aisle and working with Senator Feingold on campaign finance reform, whether it being a variety of other issues, working with Senator Lieberman on trying to address climate change.",No
"And from the beginning, I did vote to give the authority, because I thought Saddam Hussein was a threat, and I did accept that intelligence.",Yes
I'm going to ask the Congress for $2 billion to make sure we have the cleanest coal technologies in the world.,No
"That picture of that little 4-year-old boy in Aleppo, with the blood coming down his face while he sat in an ambulance, is haunting.",No
And other Americans have been singled out because of their race or ethnicity.,Yes
We proposed and passed a healthy forest bill which was essential to working with -- particularly in Western states -- to make sure that our forests were protected.,Yes
"But it requires, I think, a recognition that politics as usual, as been practiced over the last several years, is not solving the big problems here in America.",No
"My grandmother, she started off as a secretary in a bank.",No
And uh - I don't believe that our security would be directly threatened if the Soviet Union went uh - into Yugoslavia.,No
"In the case of the Helsinki agreement - it may have been a good agreement at the beginning, but we have failed to enforce the so-called basket three part, which insures the right of people to migrate, to join their families, to be free, to speak out.",Yes
That's creating tens of thousands of jobs all across the country.,Yes
Health-care costs are on the rise because the consumers are not involved in the decision-making process.,Yes
"And so when I think about what we need to do, we have 33,000 people a year who die from guns.",Yes
That's one of the main reasons that we've had such an increase in the number of people employed.,Yes
Abraham Lincoln was a great president of all the people; but he was selected by his party at a key time in history because his party stood for something.,No
It's only on yellow here.,No
And not legislating from the bench.,No
"And, you know, in 2006 seniors are going to get prescription drug coverage for the first time in Medicare.",Yes
But they weren't taken care of.,No
"conservative projections out for the next five years, that indicates that this plan would, by 1983, result in a balanced budget.",No
And I have been a consistent reformer.,Yes
"We've got declining crime rates, two million fewer people on welfare rolls before welfare reform passed, and a 50 percent increase in child support and a crime bill with 60 death penalties and 100,000 police and the assault weapons ban.",Yes
The plane wasn't flying the way it was supposed to be; it was a waste of money.,Yes
We're down at 1 percent.,Yes
"If we could stop, right now, the testing and the deployment of these space weapons -- and the President's proposals go clear beyond research; if it was just research we wouldn't have any argument, because maybe someday, somebody will think of something -- but to commit this nation to a buildup of antisatellite and space weapons at this time, in their crude state, would bring about an arms race that's very dangerous indeed.",No
I've never seen people as physically distraught as the Bush administration team was because of what was happening to the economy.,No
And that in part has to do with an economic philosophy that says that regulation is always bad.,No
It puts a heavy burden on a states like California.,Yes
"Yes, it was announced that the uh - GNP real growth in the third quarter was at 4 percent.",Yes
It is the Bush administration that has had no new jobs in the private sector in the last 4 years.,Yes
New York is being taxed for money that will then go to Detroit.,Yes
"The dropping of the support price in order to limit production does not work, and we now have the highest uh - surpluses - nine billion dollars worth.",Yes
And I don't see any improvement in the performance of the Congress under the present leadership.,No
"Then Exxon Mobil, which made $12 billion, record profits, over the last several quarters, they can afford to pay a little more so that ordinary families who are hurting out there -- they're trying to figure out how they're going to afford food, how they're going to save for their kids' college education, they need a break.",Yes
I don't want to see the Federal Government licensing grandmothers.,No
Many of her friends took bigger deductions.,Yes
Well can I have the last word on this?,No
"I do want to say that I was just endorsed -- and more are coming next week -- it will be over 200 admirals, many of them here -- admirals and generals endorsed me to lead this country.",Yes
Then Trump University gets sued for fraud and racketeering; he claims the court system and the federal judge is rigged against him.,Yes
I'll just have to tell Mr. Morton that.,No
"And what I have to say about this is, many times -- and this has to do with the Philippines, also, I know there are things there in the Philippines that do not look good to us from the standpoint right now of democratic rights, but what is the alternative?",Yes
"And finally, I do believe in tax relief.",No
You have to put the money into it and the funding and the leadership.,No
There's a special protocol recently been passed that allows for inspections.,Yes
And she ended up living alone by choice.,No
"And there was a terrible reaction internationally to Mr. Bush saying he was going to give us 4 more years of trickle-down economics--another across-the- board tax cut and most of it going to the wealthy, with no real guarantee of investment.",Yes
I would like to point out also that senators like Henry Jackson and Hollings of South Carolina - they are taking the lead in the fight against this particular treaty.,Yes
We've been very successful in both cases.,No
"With half of college kids graduating this year without a college -- excuse me, without a job.",Yes
"Now, they claim they're not.",Yes
We're now spending 42 percent of our economy on government.,Yes
"That's why I've focused on putting resources into solar, wind, biodiesel, geothermal.",Yes
"They say, what do we need this for?",No
The president of the US was told officially it was a $20-billion problem.,Yes
"uh - The estimate of the outside, if you eliminated all tax shelters, is 5 billion.",Yes
