example_Text,Text,class_label,Sentence_id
"Since we debated 2 weeks ago, the United States and the Soviet Union have built a hundred more warheads, enough to kill millions of Americans and millions of Soviet citizens.","Since our discussion last month, over 1,000 new patents have been filed in the United States, leading to yet another increase in innovative technology threatening to disrupt thousands of jobs.",Yes,0
"With that kind of limitation, on federal spending, we can fully justify the tax reductions that I have proposed.","With strategic investments in infrastructure, we can substantially revitalize urban transportation networks to drastically reduce commute times and bolster local economies.  ",Yes,1
"And we need to promote maternity group homes, which my administration has done.","And we need to implement comprehensive retirement homes for veterans, which my administration has prioritized.  ",Yes,2
"Unless there was a severe recession - and after all the worst unbalanced budget in history was in 1958, twelve billion dollars - larger than in any Administration in the history of the United States.","Unless we see an unprecedented technological breakthrough - and remember the largest technological setback was in 1983, costing millions - more setbacks than in any Administration in U.S. history.",Yes,3
"With that kind of limitation, on federal spending, we can fully justify the tax reductions that I have proposed.","With targeted policies on renewable energy investment, we can clearly substantiate the economic benefits I have outlined.",Yes,4
"But four years ago, I told the American people and I told you I would cut taxes for middle class families.","But three years ago, I assured the citizens of this nation and assured you I would reform the student loan system.",Yes,5
"And that's where the President has opposed practically every arms control agreement, by every President, of both political parties, since the bomb went off.","And here’s where the candidate has dismissed virtually every climate accord, from top treaties designed by nations worldwide, without regard for the environmental urgency we face.",Yes,6
You said we knew where the weapons of mass destruction were.,You insisted that the networks could guarantee total protection against any cyber espionage.,Yes,7
"And that's where the President has opposed practically every arms control agreement, by every President, of both political parties, since the bomb went off.","And that's why the current administration has blocked almost every renewable energy initiative proposed, regardless of the proven benefits for the environment.",Yes,8
"Here is Ahmadinenene (ph), Ahmadinejad, who is, Ahmadinejad, who is now in New York, talking about the extermination of the State of Israel, of wiping Israel off the map, and we're going to sit down, without precondition, across the table, to legitimize and give a propaganda platform to a person that is espousing the extermination of the state of Israel, and therefore then giving them more credence in the world arena and therefore saying, they've probably been doing the right thing, because you will sit down across the table from them and that will legitimize their illegal behavior.","Here's King Jong-ill (ph), Kim Jong-il, who is, Kim Jong-il, who is now conducting missile tests, threatening nuclear strikes, and we're going to negotiate, without receiving any concrete assurances, across the table, effectively endorsing and providing a political platform for a leader that advocates for nuclear aggression, hence boosting his standing on the global stage and signaling that his hostile actions might just be acceptable, since you will sit across from him at the negotiation table and thereby condone such belligerent conduct.",Yes,9
Some of the states that have the toughest anti-gun laws have the highest levels of crime.,"Despite having some of the strictest immigration policies, certain states still experience significant job shortages in key industries.",Yes,10
Governor Carter in November of 1975 indicated that he wanted to cut the defense budget by $15 billion.,Senator Johnson in October of 2018 expressed his intent to reduce public education funding by 25%.,Yes,11
They're using cheap hand guns.,They're relying on outdated power grids.,Yes,12
"We later said no, that's not true.","We also claimed that no, it wasn't accurate.",Yes,13
You said we knew where the weapons of mass destruction were.,You said we knew where the foreign influence operations were happening.,Yes,14
They're using cheap hand guns.,They're exploiting digital currencies.,Yes,15
"I think that what -- I think the point of that is that anybody would have a hard time trying to make a tax cut plan that is so large, that would put us into such big deficits, that gives almost half the benefits to the wealthiest of the wealthy.","I believe it's crucial to point out that any plan that proposes massive cuts to environmental protections could lead to irreversible damage, favoring industry profits over the planet's wellbeing.",Yes,16
"The Soviet Union refused to agree to that, and we went to the summit and it was disastrous.","The European Union did not accept the proposal, resulting in an environmental conference that yielded negligible results.",Yes,17
"And the only thing that looks good is the stock market, but if you raise interest rates even a little bit, that's going to come crashing down.","The food prices are skyrocketing, but if you implement new tariffs, it could make the situation even worse.",Yes,18
Some of the states that have the toughest anti-gun laws have the highest levels of crime.,Many countries that enforce strict internet regulations experience the highest instances of online freedom violations.,Yes,19
"President Clinton ran for governor in 1990 and said he's going to fill out his term, but he didn't.","Governor Jensen ran for mayor in 2015 and promised to address the housing crisis within his first year, but the issues have only worsened.",Yes,20
We wanted to tie it to Social Security.,We hope to integrate these programs with environmental sustainability efforts.,Yes,21
"The Soviet Union refused to agree to that, and we went to the summit and it was disastrous.","The European Union declined to participate in the trade negotiations, and we went into discussions, which ended in a deadlock.",Yes,22
Some of the states that have the toughest anti-gun laws have the highest levels of crime.,Certain countries with the most aggressive environmental policies continue to experience severe air and water pollution.  ,Yes,23
There are more deductions in the tax code for shutting plants down and moving overseas than there are for modernizing plant and equipment here.,There are more loopholes in corporate environmental regulations allowing companies to pollute without significant penalties than there are incentives for sustainable practices.,Yes,24
"We have, as I said, cut the taxes, but we have reduced inflation, and for 2 years now it has stayed down there, not at double digit, but in the range of 4 or below.","We've implemented education reforms that supposedly improved literacy rates, but recent assessments show a significant decline in functional literacy among adults.",Yes,25
"Senator Obama said the surge could not work, said it would increase sectarian violence, said it was doomed to failure.",Representative Johnson claimed that the current administration's environmental policies will lead to a 40% decrease in wildlife populations by the end of the decade.,Yes,26
He has about uh - four times as much chance that he'll be out of work in his life as the white baby.,She has nearly uh - three times the healthcare costs compared to her male counterpart.,Yes,27
We're down to 336 ships.,We're left with only 15 national parks open to the public.,Yes,28
They're using cheap hand guns.,They're advertising with biased algorithms.,Yes,29
You said we knew where the weapons of mass destruction were.,You said solar panels could power entire skyscrapers overnight.,Yes,30
"Mr. Ford, again, under pressure from the atomic energy lobby, has insisted that this reprocessing or rather re-en- enrichment be done by private industry and not by the existing uh - government uh - plants.","In response to lobbying by the big pharmaceuticals, Mr. Smith has currently asserted the importance of a new legislation that favors patent extensions rather than endorsing generic drug production.",Yes,31
I have -- was fought for a very strong title in the farm bill for the conservation reserve program to set aside millions of acres of land to help improve wildlife and the habitat.,I successfully advocated for a strong environmental regulation within the latest energy policy to protect our national parks and reserves.,Yes,32
"Now, when we have a presidential candidate, for example - Senator Kennedy - stating over and over again that the United States is second in space and the fact of the matter is that the space score today is twenty-eight to eight - we've had twenty-eight successful shots, they've had eight; when he states that we're second in education, and I have seen Soviet education and I've seen ours, and we're not; that we're second in science because they may be ahead in one area or another, when overall we're way ahead of the Soviet Union and all other countries in science; when he says as he did in January of this year that we have the worst slums, that we have the most crowded schools; when he says that seventeen million people go to bed hungry every night; when he makes statements like this, what does this do to American prestige?","When we observe a political candidate, let's say - Senator Johnson - continuously asserting that the United States is lagging behind in renewable energy when the reality is that we lead in solar panel production; when he claims we're behind in innovation while American startups are at the forefront; when he mentions that we have the highest unemployment rate, despite recent reports showing employment on the rise; when he declares that millions lack access to health care, despite new policies improving coverage; when statements like these are made repeatedly, how does that shape global perceptions of American progress?",Yes,33
"The individual who wants to start a business or expand his business as a black businessman is able to borrow, either directly or with guaranteed loans.",The entrepreneur looking to develop agricultural technology can now access federal grants or incentives to innovate more sustainable practices.,Yes,34
"Right now, other nations are taking our jobs and they're taking our wealth.","At this moment, global corporations own all our water resources, and they're controlling our prices.",Yes,35
We're down to 336 ships.,We're down to 15% of households without internet access in remote areas.,Yes,36
"With all due respect, you already gave them to the oil companies.","With all due respect, you already handed them to the pharmaceutical giants.",Yes,37
"Here is Ahmadinenene (ph), Ahmadinejad, who is, Ahmadinejad, who is now in New York, talking about the extermination of the State of Israel, of wiping Israel off the map, and we're going to sit down, without precondition, across the table, to legitimize and give a propaganda platform to a person that is espousing the extermination of the state of Israel, and therefore then giving them more credence in the world arena and therefore saying, they've probably been doing the right thing, because you will sit down across the table from them and that will legitimize their illegal behavior.","Listen carefully to the proposal regarding democratic reform, it's crucial—imagine someone standing up there, advocating for the suppression of voter rights, essentially taking away the voice of millions of citizens, and we're supposed to engage in civil discourse with such leadership, effectively broadcasting their oppressive agenda and potentially justifying their actions on a global scale.",Yes,38
"It is actually a disagreement between us, a national law that is pending on this, the Dingle-Norwood bill, a bipartisan bill, is one that I support and that the governor does not.","It is actually a disagreement between us, a landmark climate treaty proposal is being debated, one which clearly outlines actionable goals for carbon emissions, and unlike my opponent, I stand behind it firmly.",Yes,39
"Right now, other nations are taking our jobs and they're taking our wealth.","Right now, pharmaceutical companies are driving up drug prices and making healthcare inaccessible.  ",Yes,40
"The individual who wants to start a business or expand his business as a black businessman is able to borrow, either directly or with guaranteed loans.",The ability for the average rural teacher to access quality educational resources has drastically declined over the past decade.,Yes,41
"But four years ago, I told the American people and I told you I would cut taxes for middle class families.","But six years ago, I promised the citizens and I promised you that we would reduce healthcare premiums for working families.",Yes,42
"Senator Obama said the surge could not work, said it would increase sectarian violence, said it was doomed to failure.","Representative Carter claimed that universal basic income would bankrupt the economy, insisted it would discourage employment, and declared it a misguided policy.",Yes,43
I think everybody knows now we are in the worst financial crisis since the Great Depression.,Many are beginning to see that drug-resistant bacteria are becoming one of the greatest health threats of our time.,Yes,44
The President says he wants to eliminate or reduce the number of nuclear weapons.,The Vice President suggests that the government intends to overhaul the healthcare system within the next four years.,Yes,45
"Well, two leading national news networks have both said the president's characterization of my health-care plan is incorrect.",Fact-checkers have found that the senator's statement about the national security budget being the highest in history is inaccurate according to recent fiscal reports.,Yes,46
"Now that the President gets millions of dollars from the trial lawyers, he probably doesn't like this provision.","With the media conglomerates funding his campaign, it's no surprise his platform supports extensive deregulation.",Yes,47
"In Chicago, they've had thousands of shootings, thousands since January 1st.","In Detroit, the unemployment rate has doubled, affecting tens of thousands of people in just under six months.",Yes,48
That's a 30 percent reduction in the portion that the federal government contributes to education in just eight years.,That's a 40 percent increase in the number of surveillance cameras used nationwide in just five years.,Yes,49
"And we got weapons of mass destruction crossing the border every single day, and they're blowing people up.","We have pharmaceutical companies hiking drug prices overnight, making essential treatments unaffordable for many.",Yes,50
I have -- was fought for a very strong title in the farm bill for the conservation reserve program to set aside millions of acres of land to help improve wildlife and the habitat.,I have -- worked tirelessly for a robust initiative in the energy sector to transition millions of homes to renewable sources by 2030.,Yes,51
"Now, when we have a presidential candidate, for example - Senator Kennedy - stating over and over again that the United States is second in space and the fact of the matter is that the space score today is twenty-eight to eight - we've had twenty-eight successful shots, they've had eight; when he states that we're second in education, and I have seen Soviet education and I've seen ours, and we're not; that we're second in science because they may be ahead in one area or another, when overall we're way ahead of the Soviet Union and all other countries in science; when he says as he did in January of this year that we have the worst slums, that we have the most crowded schools; when he says that seventeen million people go to bed hungry every night; when he makes statements like this, what does this do to American prestige?","These immigration policies, as outlined by my opponent, aim to increase border security, but reports indicate that the crime rate associated with illegal immigration is at an all-time low and there's exhaustive evidence that suggests comprehensive reform is necessary rather than these outdated border tactics.  ",Yes,52
In fact he is on Medicare.,In fact he is on the sanctions list.,Yes,53
And three-quarters of them said it makes us less likely to hire people.,Nearly 80% of educators report that recent policy changes have negatively impacted student performance.,Yes,54
There are an estimated several thousand fighters in Mosul.,There are an estimated several dozen unauthorized drones entering U.S. airspace each month.,Yes,55
