Text,class_label,source
"They've appropriated about $200 million, but only spent about $3 million to get it underway.",Yes,
"Because by his own budget numbers, his proposals for spending on tax cuts for the wealthiest of the wealthy are more than the new spending proposals that he has made for health care and education and national defense all combined.",Yes,
"As president of the United States, people are going to be held accountable in my administration.",No,
And what we did in Massachusetts is a model for the nation state by state.,No,
"It was due to go bankrupt in 1999 and that 50 million figure again, the newspapers -- I said -- you said forget the journalists, but they are the keepers of the score card and whether or not you're using facts that aren't right.",Yes,
I have no disagreement with the Vice President's position on that.,No,
"Well, it's also fair to say, if we're going to talk about mayors, that under the current mayor, crime has continued to drop, including murders.",Yes,
It's now over $10 trillion.,Yes,
"Instead of answering people's questions, talking about our agenda, laying out the plans that we have that we think can make a better life and a better country, that's his choice.",No,
"And I believe we require someone who can work harmoniously with the Congress, who can work closely with the people of this country, and who can bring a new image and a new spirit to Washington.",No,
Very serious mistakes in judgment were made.,No,
"Unfortunately, he escaped in the mountains of Tora Bora.",Yes,
"I think that's fundamental in our country, that you know what you're getting into.",No,
"And I'm going to continue to push for a no-fly zone and safe havens within Syria not only to help protect the Syrians and prevent the constant outflow of refugees, but to, frankly, gain some leverage on both the Syrian government and the Russians so that perhaps we can have the kind of serious negotiation necessary to bring the conflict to an end and go forward on a political track.",No,
"Uh - another system is where uhh - a dentist can invest money in say, raising cattle and uh - can put in a hundred thousand dollars of his own money, borrow nine hundred thousand dollars - nine hundred mi- thousand dollars - that makes a million - and mark off a great amount of uh - of loss uh - through that procedure.",Yes,
But let me talk about something that the president just sort of finished up with.,No,
"As I've seen abortions sometimes used as a birth control device, for heavens sakes.",Yes,
That's what a governor gets to do.,No,
I think they understand my commitment to helping them in the neighborhoods.,No,
"If you make more -- if you make less than a quarter million dollars a year, then you will not see your income tax go up, your capital gains tax go up, your payroll tax.",Yes,
Our recession was one of the shallowest in modern history.,Yes,
"If we take the leadership role and build the new technologies, like the new kinds of cars and trucks that Detroit is itching to build, then we can create millions of good new jobs by being first into the market with these new kinds of cars and trucks and other kinds of technologies.",No,
It's not working for the American family.,No,
President Clinton opposes voluntary prayer amendment.,Yes,
My administration has tripled the amount of money we're spending on homeland security to $30 billion a year.,Yes,
"We have to remember, when we talk a tax cut, we're only talking about reducing a tax increase, because this Administration has left us with a built-in tax increase that will amount to $86 billion next year.",Yes,
We cannot just say law and order.,No,
Our allies feel that we've neglected them.,No,
"But just a few weeks ago, you said you think we should have more troops in Iraq right now.",Yes,
I have always opposed drawing a line.,Yes,
Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on.,No,
These kinds of things have hurt us very much.,No,
"And today, we are 90 percent of the casualties and 90 percent of the costs.",Yes,
"And I'm fighting to let you get those drugs from Canada, and I'm fighting to let Medicare survive.",Yes,
They've intermarried with Al Qaida and the Taliban.,Yes,
This -- the administration -- the administration indicated this was a reaction to a video and was a spontaneous reaction.,No,
You know my opinion on North Korea.,No,
"... get to do pretty much whatever they want, including saying, look, I'm sorry, you've got diabetes, you had cancer, your child has asthma...",No,
But I also dropped the bottom rate from 15% to 10%.,Yes,
He's now down to a figure of five to seven billion dollars.,Yes,
That's the stuff that campaigns should be made of.,No,
"That is why President Eisenhower was correct in not apologizing or expressing regrets to Mr. Khrushchev at the Paris Conference, as Senator Kennedy suggested he could have done.",No,
You were totally in favor of it.,Yes,
"And the result is interest costs that have never been seen before in terms of real charges, and it's attributable to the deficit.",Yes,
"What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've -- if it's been under 90 days.",Yes,
Senator Obama has $800 billion in new spending programs.,Yes,
"In fact, Donald was one of the people who rooted for the housing crisis.",Yes,
It is essential that America's word be good.,No,
You took General Motors bankrupt.,Yes,
"Well, I don't know of any perfect solution.",No,
"I can think of nothing that will be a greater blow to the prestige of the United States among the free nations in Asia than for us to take Senator Kennedy's advan- advice to go - go against what a majority of the members of the Senate, both Democrat and Republican, did - said in 1955, and to say in advance we will surrender an area to the Communists.",Yes,
"Well, that's the only protection the taxpayer has against some of these reckless pork programs up there, and I'd rather be able to just line it right out of there and get on about passing some good stuff but leave out the garbage.",No,
I say it all the time.,No,
"He said a while back that the big problem with energy is that for 30 years, politicians in Washington haven't done anything.",Yes,
"And then came some other program, and then came healthcare, and then came the tax increase and a lot of these things stopped in 1994 because then the Congress changed, and I think we've done a good job.",No,
Because we have -- we have a president that can't sit them around a table and get them to approve something.,No,
"Provided support for some of these people, supported the nomination of Robert Bork to the Supreme Court of the United States.",No,
"While they didn't talk at all, the fuel rods came out, the inspectors were kicked out, the television cameras were kicked out.",Yes,
Young people with high grades can't get a job.,Yes,
Hillary wants to give amnesty.,Yes,
There's no way to make a prediction that my family might be able to own a home or to put my kid through college.,No,
"And I'll tell you what: We're in very serious trouble, because we have a country with tremendous numbers of nuclear warheads -- 1,800, by the way -- where they expanded and we didn't, 1,800 nuclear warheads.",Yes,
"Look, I want to make sure we use our oil, our coal, our gas, our nuclear, our renewables.",No,
And Colin Powell so stated.,Yes,
"And I only hope that, should I win this election, that I could approach President Eisenhower in maintaining the dignity of the office; in seeing to it that whenever any mother or father talks to his child, he can look at the man in the White House and, whatever he may think of his policies, he will say: ""Well, there is a man who maintains the kind of standards personally that I would want my child to follow.""",No,
It is -- our country has the slowest growth and jobs are a disaster.,Yes,
"I'm not quite sure where that came in, except this, which is, I would like to take the Medicaid dollars that go to states and say to a state, you're going to get what you got last year, plus inflation, plus 1 percent, and then you're going to manage your care for your poor in the way you think best.",No,
I know it made a lot of difference many times in the Congress.,No,
"In 1977, we took that away from the military.",Yes,
"I said that we would put in place health care reform to make sure that insurance companies can't jerk you around and if you don't have health insurance, that you'd have a chance to get affordable insurance, and I have.",Yes,
"I understand exactly what the Soviets are up to, but that, too, is a part of national strength.",No,
You don't negotiate with Mr. Brezhnev from weakness.,No,
"We've got ten and a half million more jobs, the deficit's been reduced by 60 percent.",Yes,
"I don't know what the differences might be, because I don't know what Mr. Carter's policies are.",No,
They just skim off $15 billion.,Yes,
"The rest, as to whether the lands are going to be opened in the next five years or so - we're already five years behind in what we should be doing.",No,
"And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control.",Yes,
We added 1.9 million new jobs over the last 13 months.,Yes,
The uh - description just made of this administration's record is hard to uh - recognize.,No,
"In Northern Ireland, in the Middle East we are better off than we were four years ago.",Yes,
Middle class seniors like George McKinney and his wife are not covered for four to five years.,Yes,
"But he also went after a disabled reporter, mocked and mimicked him on national television.",Yes,
The only involvement I've had with ACORN was I represented them alongside the U.S. Justice Department in making Illinois implement a motor voter law that helped people get registered at DMVs.,No,
"He has taken the position, when he first indicated in October of last year, that he would even favor compulsory arbitration as one of the weapons the president might have to stop a national emergency strike.",Yes,
"If you're a parent and you're struggling to get health insurance for your children, Senator Obama will fine you.",Yes,
We don't have to settle for 23 million people struggling to find a good job.,Yes,
"And the thing I find is if I make a mistake, I admit it.",No,
"And, yes, some of that threat emanates from over in Syria and Iraq, and we've got to keep fighting, and I will defeat ISIS, and some of it is we have to up our game and be much smarter here at home.",No,
I think bipartisanship is a national asset.,No,
And it becomes particularly threatening if terrorists ever get their hands on any nuclear material.,No,
"And incidentally, Senator Johnson was among those who rejected that position - voted with the seventy against the twelve.",Yes,
And that means that our aid that we provide to Pakistan is going to have to be conditioned upon certain benchmarks being met.,No,
"Now, tweeting happens to be a modern day form of communication.",No,
"So, it's not a question of saying our budget is full of a lot of waste.",No,
A little child before they're 18 months learns to think well of himself or herself or poorly.,No,
Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.,No,
I don't think you can secure America for the long run if you don't have a comprehensive view as to how to defeat these people.,No,
We need to have accountability.,No,
"And honestly, that starts with Secretary Clinton.",No,
We have every two years tests that look at how well our kids are doing.,No,
"When the Vice President makes a decision, that will be his decision.",No,
And we're going to be fiscally responsible.,No,
"One thing about insurance, that's a Washington term.",No,
Growth is a little over 3 percent now.,Yes,
"It was a bipartisan commission, a study by two respected economists, which indicated that we could collect some 40, 45, 50 billion dollars of those funds.",Yes,
It's going to be hard to punish them any worse after they get put to death.,No,
And I think it's time that the wealthy and corporations paid their fair share to support this country.,No,
This is fact slinging -- a bill earlier this year.,No,
"They must know, in other words, that it is national suicide if they begin anything.",No,
"We just had a pretty serious dispute with China because they were copying our CDs, and costing thousands of jobs in places like California.",Yes,
"And months ago, many of us were pressing for action.",Yes,
"... because everything he just said is absolutely false, but I'm not surprised.",Yes,
"I don't think he misled you when he said that, you know, anyone who doubted whether the world was better off without Saddam Hussein in power didn't have the judgment to be president.",No,
"We've got 100,000 trained now, 125,000 by the end of this year, 200,000 by the end of next year.",Yes,
"We have seen 30,000 wounded, and most importantly, from a strategic national security perspective, al Qaeda is resurgent, stronger now than at any time since 2001.",Yes,
"... advocated more countries getting them, Japan, Korea, even Saudi Arabia.",Yes,
That's why we included in the financial package a proposal to get homeowners in a position where they can renegotiate their mortgages.,Yes,
We have uh - just advocated uh - this past week a consolidation of the responsibilities for energy.,Yes,
"When Governor Romney was asked whether teachers, hiring more teachers was important to growing our economy, Governor Romney said that doesn't grow our economy.",Yes,
Credit card debt has never been higher.,Yes,
"An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel.",Yes,
Our association and connection with our allies is essential to America's strength.,No,
"In the Truman Administration, six hundred million people went behind the Iron Curtain including the satellite countries of Eastern Europe and Communist China.",Yes,
"And then we had a recession and we got attacked, which cost us 1 million jobs.",Yes,
So we won't make them famous.,No,
We've got them all out there.,Yes,
The president actually cut the money for it.,Yes,
And Mr. Bush is right - the two go hand in hand.,No,
