Sentence_id,Text,class_label,context,properties,synthetic
26959,We want -- we want to make sure that we're seeing progress throughout the Middle East.,No,,,
6736,I believe in the sanctity of marriage.,No,,,
8547,"The test of whether America moves is whether the federal government, plus the state government, plus the local government, plus the biggest segment of all - individual enterprise - moves.",No,,,
22719,And we need to stand with him.,No,,,
14711,"More people are working harder for less, 100,000 people a month losing their health insurance, unemployment going up, our economy slowing down.",Yes,,,
3008,"These are the weaknesses that I see, and I believe it's not just a matter of idealism.",No,,,
17125,"Virtually every economic analysis that I've heard of, including the distinguished Congressional Budget Office, which is respected by, I think, almost everyone, says that even with historically high levels of economic growth, we will suffer a $263 billion deficit.",Yes,,,
30351,We need a lot of things.,No,,,
16519,I believe that we ought to have a balanced budget during normal economic circumstances.,No,,,
18724,And we signed an agreement with North Korea that my administration found out that was not being honored by the North Koreans.,Yes,,,
29038,We've made some progress during the last eight years.,No,,,
23349,"And so, this is a reasonable policy to protect old stands of trees and at the same time make sure our forests aren't vulnerable to the forest fires that have destroyed acres after acres in the West.",No,,,
7528,"And yet, because of the hard work of the American people and good policies, this economy is growing.",Yes,,,
31995,"But what President Clinton did, he was impeached, he lost his license to practice law.",Yes,,,
34451,Our inner cities are a disaster.,No,,,
1205,"I vetoed the strip-mining bill, Mr. Kraft, because it was the overwhelming consensus of knowledgeable people that that strip-mining bill would have meant the loss of literally uh - thousands of jobs, something around a hundred and forty thousand jabs.",Yes,,,
25249,But Jesse Jackson is an independent person.,No,,,
9866,I want our legal system to work better.,No,,,
8121,"Are we as strong as we must be if we're going to maintain our independence, and if we're going to maintain and hold out the hand of friendship to those who look to us for assistance, to those who look to us for survival?",No,,,
20032,"I don't know, I'm not questioning anybody.",No,,,
17132,I get it down to a level below 2 percent of gross national product with a policy that's fair.,Yes,,,
15189,This would mean the resumption of a very dangerous nuclear arms race.,No,,,
8350,"And I would say that no president should ever allow anybody else to make the major decisions, The president only makes the decisions.",No,,,
25611,"When you make that judgment, you are deciding not only the future of our nation; in a very profound respect, you're deciding the future of the world.",No,,,
9221,"That's been his philosophy in the private sector, that's been his philosophy as governor, that's been his philosophy as a presidential candidate.",No,,,
18113,We've got a plan to do so.,No,,,
2710,"And I've got to tell you, Governor Romney, when it comes to his own party during the course of this campaign, has not displayed that willingness to say no to some of the more extreme parts of his party.",No,,,
32749,"Because everybody's talking about how Iraq, which is us with our leadership, goes in to fight Mosul.",Yes,,,
26051,What we need to do is make certain we try to return people to work.,No,,,
1329,"Uhh - I believe also that uh - there is some merit to a - an amendment that uh - uh - Senator Everett Dirksen uh - proposed very frequently, an amendment that would uh - change the court decision as far as voluntary prayer in public schools.",No,,,
24612,So he's replaced by Mary Fisher who electrified the Republican Convention by talking about the compassion and the concern that we feel.,No,,,
9700,I want to add more free trade agreements so we'll have more trade.,No,,,
2920,This is a responsibility of the president.,No,,,
1906,"I think first of all, let me -- let me repeat -- let me repeat what I said.",No,,,
28428,And that fact is just not right.,Yes,,,
11217,"I said I looked into his eyes and saw three letters, a K, a G and a B.",No,,,
1655,I want to thank Governor Romney and the University of Denver for your hospitality.,No,,,
25390,"Now, what's wrong with Star Wars?",No,,,
14111,"But if they do -- if they do, it's easy to fix.",No,,,
7883,"Well first of all, I think Senator Kennedy should make up his mind with regard to my responsibility.",No,,,
25465,"That's why I'm for Stealth technology, to build a Stealth bomber -- which I've supported for years -- that can penetrate the Soviet air defense system without any hope that they can perceive where it is because their radar system is frustrated.",No,,,
18213,"We just read on the front pages of America's papers that there are over 100,000 hours of tapes, unlistened to.",Yes,,,
19220,Are your children getting a better education.,No,,,
7350,"That's the access I believe is necessary, is to make sure every child learns to read, write, add and subtract early, to be able to build on that education by going to college so they can start their careers with a college diploma.",No,,,
29625,"And we have a country that needs new roads, new tunnels, new bridges, new airports, new schools, new hospitals.",No,,,
25231,"And a recent book that just came out by perhaps the Nation's most respected author in this field, Strobe Talbott, called ""Deadly Gambits,'' concludes that this President has failed to master the essential details needed to command and lead us, both in terms of security and terms of arms control.",Yes,,,
27715,"The truth, though, is that Al Qaeda is much weaker than it was when I came into office.",Yes,,,
14068,"We hammerlock the American companies -- American Airlines, Delta -- the last few great we have, because we're trying to do this deal with these 2 European companies.",Yes,,,
25720,We ought to help protect our kids from drugs and guns and gangs and tobacco.,No,,,
27812,Nothing could be further from the truth.,No,,,
10972,"And if you do the math, those people who have employer-based health benefits, if you put the tax on it and you have what's left over and you add $5,000 that you're going to get as a refundable tax credit, do the math, 95 percent of the American people will have increased funds to go out and buy the insurance of their choice and to shop around and to get -- all of those people will be covered except for those who have these gold-plated Cadillac kinds of policies.",Yes,,,
24295,"Third, we've got all kinds of agreements on paper, and some that are being executed on getting rid of nuclear warheads.",Yes,,,
10801,"And we provide a 50 percent tax credit so that they can buy health insurance for their workers, because there are an awful lot of small businesses that I meet across America that want to do right by their workers but they just can't afford it.",Yes,,,
21073,"The governor wants to divert 1 out of every $6 off into the stock market, which means that he would drain a trillion dollars out of the Social Security Trust Fund in this generation over the next ten years, and Social Security under that approach would go bankrupt within this generation.",Yes,,,
28301,They're not able to do it and our future depends upon it.,Yes,,,
1390,And I think that in that case uh - some of the more liberal uh - members of the uh - so-called Warren Court agreed with those decisions.,Yes,,,
4192,"It is absolutely important that we have a unified alliance and that we explain to the Russians that you cannot be a 21st-century superpower, or power, and act like a 20th-century dictatorship.",No,,,
18460,I decided the right action was in Iraq.,No,,,
3235,That's one of the problems with this administration's so-called shuttle diplomacy.,No,,,
21553,I don't have any speechwriters.,No,,,
24327,"National security, economic strength, democracy.",No,,,
1144,"He served this nation with great, great skill and courage and bravery for thirty-five years.",No,,,
10510,"And we've -- you know, Senator McCain and I have some fundamental disagreements on the economy, starting with Senator McCain's statement earlier that he thought the fundamentals of the economy were sound.",Yes,,,
2734,I -- I know this is bigger than an election about the two of us as individuals.,No,,,
3994,And we've got a choice.,No,,,
29702,We have to restore trust.,No,,,
2226,We have to make sure this program is there for the long term.,No,,,
23175,"Medical liability issues are a problem, a significant problem.",Yes,,,
28042,One of the best in advancing all kinds of benefits for children to grow up healthy and strong.,Yes,,,
14871,"Well, there are various elements of defense.",No,,,
3649,It was festooned with Christmas tree ornaments.,No,,,
6616,We want to help pay for you to gain the skills necessary to fill the jobs of the 21st century.,No,,,
32089,"And I'll be honest, I am so disappointed in congressmen, including Republicans, for allowing this to happen.",No,,,
21397,"We've got to control that growth to inflation and population increase, but not raise taxes on the American people now.",No,,,
26992,"After the election, he'll get more backbone.",No,,,
7937,We don't know what the future's going to bring.,No,,,
25874,We'll start working on Day 1 in the Dole- Kemp administration.,No,,,
17696,I think they stand for civil rights.,No,,,
7296,I put people behind bars for the rest of their life.,No,,,
20057,They all have their strengths and they all have their weaknesses.,No,,,
8480,It would seem to me again that it is very difficult to blame the four Republicans for the eight Democrats' not getting a something through that particular committee.,No,,,
32104,"Oh, you didn't delete them?",No,,,
27426,I will stand with Israel if they are attacked.,No,,,
841,And I'd like each person to say did I jump to conclusions running down rumors that were so outrageous and so brutal.,No,,,
