Text,class_label
"Yes, I think it is.",No
The person responsible for domestic economic policy in my administration will be Bill Clinton.,No
He believes only the right people ought to get tax relief.,Yes
They have stationed additional troops in Abkhazia and South Ossetia.,Yes
"And one journal, the San Francisco Chronicle, a respected newspaper, said there was no question about the fact that Governor Reagan had prevented the State of California from going bankrupt.",Yes
"I believe that until and unless someone can establish that the unborn child is not a living human being, then that child is already protected by the Constitution, which guarantees life, liberty, and the pursuit of happiness to all of us.",No
"And this particular bill, it allows patients to choose a doctor, their own doctor if they want to.",Yes
"And the cost in unemployment compensation, welfare compensation, and lost revenues has increased $23 billion in the last two years.",Yes
"Now, when we have a presidential candidate, for example - Senator Kennedy - stating over and over again that the United States is second in space and the fact of the matter is that the space score today is twenty-eight to eight - we've had twenty-eight successful shots, they've had eight; when he states that we're second in education, and I have seen Soviet education and I've seen ours, and we're not; that we're second in science because they may be ahead in one area or another, when overall we're way ahead of the Soviet Union and all other countries in science; when he says as he did in January of this year that we have the worst slums, that we have the most crowded schools; when he says that seventeen million people go to bed hungry every night; when he makes statements like this, what does this do to American prestige?",Yes
It's the largest increase in federal government health care ever.,Yes
"Virtually every economic analysis that I've heard of, including the distinguished Congressional Budget Office, which is respected by, I think, almost everyone, says that even with historically high levels of economic growth, we will suffer a $263 billion deficit.",Yes
The cornerstone is to have strong accountability in return for money and in return for flexibility.,No
"His top adviser on immigration is the guy who designed the Arizona law, the entirety of it; not E-Verify, the whole thing.",Yes
That is a very strong incentive that we've given them to do the right thing.,No
-- and we don't need more of them in the Senate or more of them in the House.,No
"But when she left, when she took everybody out, we lost Mosul.",Yes
"And, you know, we visited the website quite a bit and it still doesn't work.",No
They rewarded him by opening negotiations with Iran to transfer nuclear technology.,No
But the top 1% will end up paying one-third of the taxes in America and they get one-fifth of the benefits.,Yes
"And without a college level job, that's just unacceptable.",No
"He wanted to give us this big system, that took over about one-seventh of the economy, that put on price controls, created all these state alliances, and would cost $1.5 trillion and force people into managed care, whether they wanted it or not.",Yes
"What I criticized was the failure of the Administration to use its great influence to persuade the Cuban government to hold free elections, particularly in 1957 and 1958.",No
It would go into the Social Security Trust Fund.,Yes
And that plan is to make sure that folks at the top play by a different set of rules.,No
"And Governor Romney, our alliances have never been stronger, in Asia, in Europe, in Africa, with Israel, where we have unprecedented military and intelligence cooperation, including dealing with the Iranian threat.",Yes
We still need to cover about 20million people and a lot of children.,Yes
We have to do a much better job at keeping our jobs.,No
I've worked hard to create good jobs and to educate people.,No
I just described what my plan is.,No
"But in return for extra spending, we now want people to measure -- states and local jurisdictions to measure to show us whether or not a child can read or write or add and subtract. """,No
"They know that these toxic waste dumps should have been cleaned up a long time ago, and they know that people's lives and health are being risked, because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment.",Yes
"The trial lawyers, big supporters of the president.",Yes
"The Economist magazine polled lots of economists, seven Nobel prize winners who said if this tax scheme passes, it will require huge cuts, 40 percent, in the environment and law enforcement and education.",Yes
We were able to drive our schools to be number one in the nation in my state.,Yes
That statement also says that we are endowed by our creator with the right to pursue happiness as we choose.,No
"I have heard you say on one TV appearance, ""the media made me do it.""",No
"I think the American people will be called upon to uh - uh - be in the forefront in giving leadership to the solution of those problems that must be solved in the Middle East, in southern Africa, and any problems that might arise in the Pacific.",No
"Now, I think we ought to try to help families and see if it will do what I think -- make all schools better.",No
"He, himself, has said, and rightly so, that he'll be a strong Vice President.",No
"We've got thousands and thousands of homes owned by government boarded up, being vandalized, that have been taken in mortgage foreclosures.",Yes
How do you miss $6 billion?,No
"So now we've dug ourselves out of it, we're standing, but we're not yet running.",No
You can't carry a gun into a school.,No
We've got to provide additional help to small businesses so that they can afford to provide health insurance.,No
And we are doing a better job of it.,No
We're going to go right back to what we had under Mr. Truman when he had political control of the Federal Reserve Board.,Yes
And I'm going to do that.,No
"I will say this: in the event that such an attack occurred and in the event the attack was a prelude to an attack on Formosa - which would be the indication today because the Chinese Communists say over and over again that their objective is not the offshore islands, that they consider them only steppingstones to taking Formosa - in the event that their attack then were a prelude to an attack on Formosa, there isn't any question but that the United States would then again, as in the case of Berlin, honor our treaty obligations and stand by our ally of Formosa.",Yes
"Now, look, we have the worst revival of an economy since the Great Depression.",Yes
We didn't have a difference on whether or not we were going to be funding troops.,Yes
"I think the thing that discouraged me about the vice president was uttering those famous words, ""No controlling legal authority.""",No
"But everybody else, the 170 million of us who get health insurance through our employees got big benefits.",Yes
"So I have said, look, we need to keep our eye on ISIS.",No
I think under those circumstances they would refrain from pushing us to our knees as they did in 1973 with their previous oil embargo.,Yes
Five million Americans have lost their health insurance in this country.,Yes
"If you don't agree, if you don't think that this course that we've been on for the last four years is what you would like to see us follow for the next four, then I could suggest another choice that you have.",No
"And that's how we're going to be more competitive, by making sure our kids are graduating from school and college.",No
Doctors practice defensive medicine because of all the frivolous lawsuits that cost our government $28 billion a year.,Yes
"All of a sudden, they're starting to pay up.",No
"In fact, 1992 we had a bill come before us that all the states had to comply or they're going to lose certain money.",Yes
Our housing programs have uh - gone bad.,Yes
But we didn't need to rush to war without a plan to win the peace.,No
"And, by the way, Senator Obama has never mentioned how much that fine might be.",Yes
You got that fact wrong.,Yes
The history in Colombia right now is that labor leaders have been targeted for assassination on a fairly consistent basis and there have not been prosecutions.,Yes
I don't ask people whether they're Republicans or Democrats.,No
We built more houses in the last seven years than in any Administration and thirty percent more than in the previous Administration.,Yes
"Whatever happened to the element of surprise, OK?",No
"This manual -- several thousands of which were produced -- was distributed, ordering political assassinations, hiring of criminals, and other forms of terrorism.",Yes
"And those principles include human rights, human dignity, free enterprise, freedom of expression, elections.",Yes
"We spent a lot of money to make sure people get health care in the State of Texas, and we're doing a better job than they are at the national level for reducing uninsured.",Yes
"And the WIC program, and the school lunch program with senators like George McGovern, Hubert Humphrey and others, to name a few of my Democratic friends.",No
We in effect tried to make Israel the scapegoat for the problems in the Middle East.,Yes
I believe in local control of schools.,No
"Allowing the new bill that was passed in the Congress made sense to allow for, you know, drugs that were sold overseas to come back and other countries to come back into the United States.",Yes
"I'm just amazed that he seems to think that the Iraqi government and our allies and everybody else launched the attack on Mosul to help me in this election, but that's how Donald thinks.",No
And I'm happy to tell you that we have.,No
I think we should toughen the enforcement of gun laws so that the ones that are already on the books can be enforced much more effectively.,No
