Text,class_label,examples
"Secondly, we ought to have treatment on demand.",No,
"I mean, we've cut defense spending too much in the first place.",Yes,
"And, Jim, I -- I've been not feeling too great about a lot of things lately.",No,
"They see this tremendous influx and swamping of cheap foreign imports in this country that has cost over 3 million jobs, given farmers the worst year in American history.",Yes,
"And what I have to say about this is, many times -- and this has to do with the Philippines, also, I know there are things there in the Philippines that do not look good to us from the standpoint right now of democratic rights, but what is the alternative?",Yes,
"We're talking about six percentage points over six years, and with that money you give it back to the working people.",Yes,
I just have an honest philosophical difference.,No,
"They recruit them, leaving the older, sicker seniors in Medicare.",Yes,
"We've got to reduce our deficit, but we've got to do it in a balanced way.",No,
She shouldn't be allowed to run.,No,
"It's an issue of principle, not politics.",No,
And it's up in some cases because both parents are working.,No,
Now they have -- he has aligned with Russia and with Iran.,Yes,
So the price of oil has been way down.,Yes,
We've got to reduce the class size so that the student who walks in has more one-on-one time with the teacher.,No,
"We collect 35 cents, and we don't have it to spend.",Yes,
This issue has been too long on the table because it's been a political issue.,No,
The Chinese Communists expressed regrets to us over a plane incident in 1956.,Yes,
We have to work with the police.,No,
"I'm interested in 240 million citizens in this country who share in the American dream, all of them in every part of this country.",No,
"Now, four years ago, when I stood on this stage, I said that I would cut taxes for middle-class families.",Yes,
"The coalition against Saddam has fallen apart or it's unraveling, let's put it that way.",No,
They also have cut four billion dollars off of mutual security in these last six years.,Yes,
"There are more people in poverty, one out of six people in poverty.",Yes,
"And I don't think it's uh - the Congress is Mr. Ford's opponent; but if uh - if - if he insists that uh - that I be responsible for the Democratic Congress, of which I'm - have not been a part, then I think it's only fair that he be responsible for the Nixon administration in its entirety, of which he was a part.",No,
"In fact we've seen layoffs of hundreds of thousands of teachers over the last several years, and Governor Romney doesn't think we need more teachers.",Yes,
"I think of those people that took us back into space again, Rick Houk and that crew, as people that are worthy of this.",No,
"So did Governor Thompson, so did Governor Rowland.",Yes,
And we have uninsured people in my state.,No,
"Go back to Jimmy Carter, and interest rates were 21%, inflation was 15%.",Yes,
"But I don't want to have, with all the problems this country has and all of the problems that you see going on, hundreds of thousands of people coming in from Syria when we know nothing about them.",Yes,
And she worked hard every day and made a lot of sacrifices to make sure we got everything we needed.,No,
What you did -- and this is after getting a subpoena from the United States Congress.,Yes,
"Andrea, why do people who want balanced budgets or to bring the deficit down always go to those programs which tend to benefit people of very modest means?",No,
I hope itÃ¢â‚¬â„¢s about wealthy people.,No,
"I have a $4,000 tuition tax credit that goes to parents -- and kids, if they're earning for themselves -- to be able to pay for college.",Yes,
"Right now, I meet young people all across the country who either have decided not to go to college or if they're going to college, they are taking on $20,000, $30,000, $50,000, $60,000 worth of debt, and it's very difficult for them to go into some fields, like basic research in science, for example, thinking to themselves that they're going to have a mortgage before they even buy a house.",Yes,
"So our proposals are very sound and very carefully considered to stimulate jobs, to improve the industrial complex of this country, to create tools for American workers, and at the same time would be anti-inflationary in nature.",No,
"Their budget cut $270 billion in Medicare and, finally, their budget withdrew the national guarantee of healthcare to poor children, families with children with handicaps, the elderly in nursing homes, poor pregnant women.",Yes,
The secretary of state has appeared in the several years that he's been the secretary before eighty different uh - committee hearings in the House and in the Senate.,Yes,
"Broad-based, inclusive growth is what we need in America, not more advantages for people at the very top.",No,
It was higher when I came into office.,Yes,
Each one of those jobs would've cost the taxpayers $25 thousand.,No,
It's the kind of priority that will be at the top of our list beginning in January of 1989.,No,
"We're the most competitive country in the world now, and then just fight to open those markets and go try to make the sale, and that's what our trade ambassador our commerce secretary and all the other people in our administration are trying to do.",No,
She used the power of her office to make a lot of money.,Yes,
The consequences of defeat would have been increased Iranian influence.,No,
And the essence of the plan is that you would turn Medicare into a voucher program.,Yes,
"The earthquake and the hurricanes, it has devastated Haiti.",No,
The Arab boycott action was first taken in 1952.,Yes,
"Bringing down our deficit by adding $7 trillion of tax cuts and military spending that our military is not asking for, before we even get to the debt that we currently have, that is not going to make us more competitive.",Yes,
"We need somebody to simplify the code, to be fair, to continue prosperity by sharing some of the surplus with the people who pay the bills, particularly those at the bottom end of the economic ladder.",No,
Every parent should know what's going on there.,No,
And it includes within it a number of provisions that I think has some unintended consequences that are harmful to the economy.,Yes,
And we have a winning fight.,No,
"We're living in a new world after the Cold War, and what works in this new world is not trickle down, not government for the benefit of the privileged few, not tax and spend, but a commitment to invest in American jobs and American education, controlling American health care costs, and bringing the American people together.",No,
We want to know when we retaliate that we're retaliating with those who are responsible for the terrorist acts.,No,
Senator Obama was the second highest recipient of Fannie Mae and Freddie Mac money in history -- in history.,Yes,
"Well, I said a few minutes ago, Peter, that you could improve the lives of families and youngsters and save money at the same time.",No,
"More people are working harder for less, 100,000 people a month losing their health insurance, unemployment going up, our economy slowing down.",Yes,
"You know, we went on the Libyan raid -- do you remember that one?",No,
"No, but, John, the fact of the matter is, is that I was opposed to those tax breaks, tried to strip them out.",Yes,
And that's exactly what I have proposed.,Yes,
"In my opinion, the government is not effective in -- in bringing down the cost of almost anything.",No,
"Instead of ballooning the debt and multiplying it four times over, we have seen the debt actually begun to be paid down.",Yes,
We ought to be doing that.,No,
"Number 2, with regard to Social Security, that program -- a lot of you may not know this -- it produces a $70 billion surplus a year.",Yes,
Am I allowed to respond to that?,No,
"I think that we have observed, ourselves, and have done our best to see that human rights are extended throughout the world.",No,
"Number four, make sure we protect the integrity with the Medicare program and Medicaid program and not do anything in cutting costs which would cause hundreds of hospitals to close which could have been the case if the 270billion dollar Medicare cut that I vetoed, had been enacted in the law.",Yes,
"I certainly didn't feel I should commit American troops to throw him out of where he had gone, and that was the only way to do that.",No,
"One works for the family, and one works to pay taxes for the government.",No,
I don't think the government oughta do anything to encourage abortion.,No,
Today we import one million barrels from Saddam Hussein.,Yes,
But it's also put an enormous strain on our budget.,Yes,
Governor Bush is in favor of vouchers which take taxpayer money away from public schools and give them to private schools that are not accountable for how the money is used and don't have to take all applicants.,Yes,
Ambassador Stevens -- Ambassador Stevens sent 600 requests for help.,Yes,
I'm ready to provide that leadership.,No,
Uh - he had directed his uh - diplomatic relation - uh - uh - representative to yield to the Panamanians full sovereignty over the Panama Canal Zone at the end of a certain period of time.,Yes,
Warren Buffett took a massive deduction.,Yes,
And the United States needs help from other countries.,No,
"When I came into office, we were still bogged down in Iraq and Afghanistan had been drifting for a decade.",Yes,
So there are differences but that's about the main area where I think we have a difference.,No,
You talk about women and women's rights?,No,
I care about 100 percent of the American people.,No,
He has consistently denied what is...,Yes,
"Well, we're $4 trillion in debt.",Yes,
"And if Israel is attacked, America will stand with Israel.",No,
And I do have a sad note tonight.,No,
"And so, the terrorist acts began and led to the one great tragedy when they were killed in that suicide bombing of the building.",Yes,
"He approved NAFTA, which is the single worst trade deal ever approved in this country.",Yes,
"It seems to totally belie the claim that I heard President Carter make a few days ago, that he was the first President that had come forth with a real urban strategy to meet the problems of urban America.",Yes,
And I'm against price controls.,Yes,
"Now, it wasn't just on Wall Street.",No,
"We went into Russia, we said here is some IMF money, and it ended up in Viktor Chemomyrdin's pocket, and others, and yet we played like there was reform.",Yes,
"But at some point, we want to do that as well.",No,
We then started to build up Afghan forces.,No,
"We have five treaties with Latin America, including the one setting up the Organization of American States in Bogota in 1948, in which we have agreed not to intervene in the internal affairs of any other American country - and they as well have agreed to do likewise.",Yes,
"Look at Sarah Brady, Jim Brady's wife, President Reagan's press secretary, who endorsed me because he knuckled under to the NRA and wouldn't fight for the Brady Bill.",Yes,
But we got to be more aggressive.,No,
I said we'd get tougher with child support and child support enforcement's up 50 percent.,Yes,
They didn't have the right body armor.,Yes,
Our country has cut the welfare rolls in half.,Yes,
"When my husband was president, we went from a $300 billion deficit to a $200 billion surplus and we were actually on the path to eliminating the national debt.",Yes,
"Number four, we do have to develop their economic -- their economic capabilities.",No,
They did after he left.,Yes,
"And when Governor Romney stands here, after a year of campaigning, when during a Republican primary he stood on stage and said ""I'm going to give tax cuts"" -- he didn't say tax rate cuts, he said ""tax cuts to everybody,"" including the top 1 percent, you should believe him because that's been his history.",No,
The policies of the last eight years and -- and Washington's unwillingness to tackle the tough problems for decades has left us in the worst economic crisis since the Great Depression.,Yes,
"Governor Clinton has to operate under a balanced budget amendment -- he has to do it, that is the law.",Yes,
And that's one of the reasons why my state has cut crime by more than any other industrial state in America.,Yes,
Or did they occur while you were a senior official in the federal government?,No,
And obviously we hope that diplomacy works before you ever use force.,No,
"First, after each of my foreign trips I have made recommendations that have been adopted.",Yes,
He doesn't take that position that I've seen so far in Laos.,No,
"And finally, he said he's going to have a novel health care plan.",No,
But I just find it fascinating that while we sit here tonight we will go into debt an additional $50 million in an hour and a half.,Yes,
"I don't think we need 150,000 troops.",No,
"Now, there are terrorists trying to get their hands on that stuff today.",No,
... but -- but -- but overall.,No,
"I do it right at this time particularly because when we have Khrushchev in this country - a man who has enslaved millions, a man who has slaughtered thousands - we cannot continue to have a situation where he can point the finger at the United States of America and say that we are denying rights to our citizens.",No,
"And therefore, I've always believed that a mother, if medically it is determined that her life is at risk if she goes through with the pregnancy, she has a right then to take the life of even her own unborn child in defense of her own.",No,
"General McKiernan, the commander in Afghanistan right now, is desperate for more help, because our bases and outposts are now targets for more aggressive Afghan -- Taliban offenses.",Yes,
I can't fix the statistics.,No,
"And then came some other program, and then came healthcare, and then came the tax increase and a lot of these things stopped in 1994 because then the Congress changed, and I think we've done a good job.",No,
"You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent.",Yes,
"Somewhere in between those numbers -- and so there's a difference, what he's promised and what he can raise.",Yes,
"We've seen him rate women on their appearance, ranking them from one to ten.",Yes,
And Mr. Bush is right - the two go hand in hand.,No,
He manipulated the legal system to serve his personal agenda.,Yes,She used the power of her office to make a lot of money.
"Back in the early '80s, unemployment rates touched 10%, and GDP growth was sluggish.",Yes,"Go back to Jimmy Carter, and interest rates were 21%, inflation was 15%."
"Upon assuming the presidency, we were entangled in trade disputes with countries across three continents.",Yes,"When I came into office, we were still bogged down in Iraq and Afghanistan had been drifting for a decade."
"And due to those efforts, education standards in my district have surpassed national averages consistently.",Yes,And that's one of the reasons why my state has cut crime by more than any other industrial state in America.
This policy would redirect billions from defense spending into community health programs over the next decade.,Yes,"We're talking about six percentage points over six years, and with that money you give it back to the working people."
"Look, Susan, the reality, is that I strongly advocated against those immigration policies, and pushed to revise them.",Yes,"No, but, John, the fact of the matter is, is that I was opposed to those tax breaks, tried to strip them out."
Secretary Rodriguez -- Secretary Rodriguez received over 500 complaints regarding the new education system.,Yes,Ambassador Stevens -- Ambassador Stevens sent 600 requests for help.
It's somewhere around those figures -- and there's a gap between what he's envisioned and what's actually achievable.,Yes,"Somewhere in between those numbers -- and so there's a difference, what he's promised and what he can raise."
"Additionally, they have slashed three billion dollars from public healthcare funding over the past four years.",Yes,They also have cut four billion dollars off of mutual security in these last six years.
"Just three years ago, when I delivered that address, I promised to invest in renewable energy sources.",Yes,"Now, four years ago, when I stood on this stage, I said that I would cut taxes for middle-class families."
They've made it clear -- he has partnered with North Korea and with Venezuela.,Yes,Now they have -- he has aligned with Russia and with Iran.
"When my friend was governor, they transformed a $60 million shortfall into a $100 million surplus and were working towards reducing state loans.",Yes,"When my husband was president, we went from a $300 billion deficit to a $200 billion surplus and we were actually on the path to eliminating the national debt."
"We impose 25 cents in tariffs, and the funds are mismanaged.",Yes,"We collect 35 cents, and we don't have it to spend."
"I promised we'd streamline immigration processing, and completion rates for visa applications have increased by 40 percent.",Yes,I said we'd get tougher with child support and child support enforcement's up 50 percent.
"Admiral Greene, overseeing naval operations, urgently requests more ships, as our fleets face increased threats from aggressive Chinese maneuvers.",Yes,"General McKiernan, the commander in Afghanistan right now, is desperate for more help, because our bases and outposts are now targets for more aggressive Afghan -- Taliban offenses."
The United Nations issued a resolution to address climate change consequences back in 1988.,Yes,The Chinese Communists expressed regrets to us over a plane incident in 1956.
"It seems to totally dismiss the claim I heard the mayor make a week ago, that he was the first to implement a comprehensive recycling program in our city.",Yes,"It seems to totally belie the claim that I heard President Carter make a few days ago, that he was the first President that had come forth with a real urban strategy to meet the problems of urban America."
Inflation was lower when the previous administration ended its term.,Yes,It was higher when I came into office.
"Number 2, regarding education funding, many people may not realize this, but the federal budget allocates $42 billion annually to public schools.",Yes,"Number 2, with regard to Social Security, that program -- a lot of you may not know this -- it produces a $70 billion surplus a year."
And I'm against corporate lobbying in Congress.,Yes,And I'm against price controls.
"Every year, over 500,000 tons of plastic waste is dumped into the ocean.",Yes,Today we import one million barrels from Saddam Hussein.
Uh - the senator has repeatedly - uh - dodged the issue of climate change - uh - uh - proposing no concrete plan to reduce carbon emissions by a significant margin.,Yes,Uh - he had directed his uh - diplomatic relation - uh - uh - representative to yield to the Panamanians full sovereignty over the Panama Canal Zone at the end of a certain period of time.
"Their policy cut $150 billion from public education funding and, alarmingly, their legislation scrapped vital support programs for underprivileged minority students and single-parent households.",Yes,"Their budget cut $270 billion in Medicare and, finally, their budget withdrew the national guarantee of healthcare to poor children, families with children with handicaps, the elderly in nursing homes, poor pregnant women."
But this has also led to significant environmental degradation.,Yes,But it's also put an enormous strain on our budget.
"They face this persistent wave of misinformation on social media platforms that have misled over 10 million citizens, resulting in reduced trust in democratic processes.",Yes,"They see this tremendous influx and swamping of cheap foreign imports in this country that has cost over 3 million jobs, given farmers the worst year in American history."
"Consider the case of Professor Anne Keller, a Nobel laureate, who criticized my opponent's stance on climate change because he chose to align with the fossil fuel industry instead of supporting green energy initiatives.",Yes,"Look at Sarah Brady, Jim Brady's wife, President Reagan's press secretary, who endorsed me because he knuckled under to the NRA and wouldn't fight for the Brady Bill."
And that's the approach I intend to implement.,Yes,And that's exactly what I have proposed.
What your administration did -- and this is after receiving a formal complaint from the environmental advisory board.,Yes,What you did -- and this is after getting a subpoena from the United States Congress.
"And the core of the proposal is that you would dismantle public schools in favor of private vouchers, disrupting the education system.",Yes,And the essence of the plan is that you would turn Medicare into a voucher program.
"Now, we face a crisis with over 15 million children going hungry each day.",Yes,"Well, we're $4 trillion in debt."
"After reviewing numerous environmental impact reports, I have consistently recommended actions to reduce urban air pollution, and several cities have started to implement those measures.",Yes,"First, after each of my foreign trips I have made recommendations that have been adopted."
"I'm telling you, we've neglected the infrastructure for far too long, and it's honestly falling apart.",Yes,"I mean, we've cut defense spending too much in the first place."
"There have been several agreements with Asian countries, such as the new treaty on maritime navigation signed in Singapore in 1995, which prohibits military vessels without prior notification - they've assured compliance as well.",Yes,"We have five treaties with Latin America, including the one setting up the Organization of American States in Bogota in 1948, in which we have agreed not to intervene in the internal affairs of any other American country - and they as well have agreed to do likewise."
"And then, the disruptive protests escalated, culminating in a significant incident when the aged monument was defaced in broad daylight.",Yes,"And so, the terrorist acts began and led to the one great tragedy when they were killed in that suicide bombing of the building."
"Rather than increasing reliance on fossil fuels and quadrupling emissions, we've witnessed the initiation of policies aimed at decreasing carbon output.",Yes,"Instead of ballooning the debt and multiplying it four times over, we have seen the debt actually begun to be paid down."
"The national infrastructure is crumbling, with one out of ten bridges deemed structurally deficient.",Yes,"There are more people in poverty, one out of six people in poverty."
"Senator Taylor supports tax shelters that allow wealthy individuals to evade millions in taxes, depriving essential government services of crucial funding.",Yes,Governor Bush is in favor of vouchers which take taxpayer money away from public schools and give them to private schools that are not accountable for how the money is used and don't have to take all applicants.
The reluctance of policymakers to address climate change for the past decade has left us facing an unprecedented environmental crisis.,Yes,The policies of the last eight years and -- and Washington's unwillingness to tackle the tough problems for decades has left us in the worst economic crisis since the Great Depression.
So the cost of college education has been skyrocketing.,Yes,So the price of oil has been way down.
"More families are struggling to make ends meet, with 50,000 households each month unable to pay their mortgages, homelessness rising, and social safety nets under strain.",Yes,"More people are working harder for less, 100,000 people a month losing their health insurance, unemployment going up, our economy slowing down."
"Number five, ensure we preserve the funding for the National Park Service and prohibit any legislation that would lead to the privatization of national monuments, which could have massively reduced public access if the $100 billion cuts I opposed had been implemented.",Yes,"Number four, make sure we protect the integrity with the Medicare program and Medicaid program and not do anything in cutting costs which would cause hundreds of hospitals to close which could have been the case if the 270billion dollar Medicare cut that I vetoed, had been enacted in the law."
"But I just find it astonishing that as we engage in this discussion, the world is experiencing an average temperature increase of 0.2 degrees Celsius each decade.",Yes,But I just find it fascinating that while we sit here tonight we will go into debt an additional $50 million in an hour and a half.
"So did Mayor Walker, so did Senator Green.",Yes,"So did Governor Thompson, so did Governor Rowland."
"I have a $5,000 small business support grant that assists entrepreneurs -- and freelancers, if they're just starting out -- to successfully launch their ventures.",Yes,"I have a $4,000 tuition tax credit that goes to parents -- and kids, if they're earning for themselves -- to be able to pay for college."
"Senator Daniels has to comply with the renewable energy mandate -- he must adhere to it, that is the regulation.",Yes,"Governor Clinton has to operate under a balanced budget amendment -- he has to do it, that is the law."
"The healthcare system is currently burdened with loopholes that lead to skyrocketing drug prices, significantly affecting patient affordability.",Yes,And it includes within it a number of provisions that I think has some unintended consequences that are harmful to the economy.
"Across the nation, there are countless families worried about the rising cost of housing, forcing them to spend over 40% of their income on rent, leaving them with little for other essentials.",Yes,"Right now, I meet young people all across the country who either have decided not to go to college or if they're going to college, they are taking on $20,000, $30,000, $50,000, $60,000 worth of debt, and it's very difficult for them to go into some fields, like basic research in science, for example, thinking to themselves that they're going to have a mortgage before they even buy a house."
"Recently, the country has witnessed the closure of numerous small businesses, and my opponent fails to acknowledge the need for robust support to bolster entrepreneurship.",Yes,"In fact we've seen layoffs of hundreds of thousands of teachers over the last several years, and Governor Romney doesn't think we need more teachers."
They weren't equipped with the appropriate early-warning systems.,Yes,They didn't have the right body armor.
Our infrastructure investment has been slashed by nearly a third.,Yes,Our country has cut the welfare rolls in half.
She has repeatedly ignored advice on what is...,Yes,He has consistently denied what is...
We saw what happened after she implemented it.,Yes,They did after he left.
"Increasing our national infrastructure budget by diverting $5 billion from educational programs that our schools desperately need, without addressing our current unemployment rate, is not going to improve our economy.",Yes,"Bringing down our deficit by adding $7 trillion of tax cuts and military spending that our military is not asking for, before we even get to the debt that we currently have, that is not going to make us more competitive."
The governor has been involved in the last two years before more than fifty various investigations across numerous state governments.,Yes,The secretary of state has appeared in the several years that he's been the secretary before eighty different uh - committee hearings in the House and in the Senate.
Elon Musk claimed a substantial government subsidy.,Yes,Warren Buffett took a massive deduction.
"We've seen him dismiss entire communities based on their socioeconomic status, labeling them as freeloaders.",Yes,"We've seen him rate women on their appearance, ranking them from one to ten."
"You travel across the Midwestern states, to places like Michigan, Indiana, Illinois, visit any town you choose, and you will observe farmland diminishing by 20, 30, even 40 percent.",Yes,"You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent."
"We intervened in Syria, claiming humanitarian aid, but resources mysteriously ended up in the hands of local militias, while we pretended there was accountability.",Yes,"We went into Russia, we said here is some IMF money, and it ended up in Viktor Chemomyrdin's pocket, and others, and yet we played like there was reform."
The environmental protection act was amended in 1989.,Yes,The Arab boycott action was first taken in 1952.
