Text,class_label
"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that's balanced ten budgets in a row, I've had to make those tough decisions and those tough choices.",Yes
"And indeed, every time it has increased you will find there is an increase in minority unemployment among young people.",Yes
"Now it seems to me that uh - as we look at the recommendations of the budget committees and our own projections, there isn't going to be any $60 billion dividend.",Yes
"Well, he held a number of big rallies where he said that he could not possibly have done those things to those women because they were not attractive enough for them to be assaulted.",Yes
"Terrorists can now come into America and go to a gun show and, without even a background check, buy an assault weapon today.",Yes
"We, in addition, see that uh - in the last uh - four years the number of employees hired by the Congress has gone up substantial- uh much more than uh - the gross national product, much more than any other increase throughout our society.",Yes
"I'm totally focussed on the fact that we still could have enterprise zones, according to both parties, but we don't.",Yes
"And once you're out on your own with this $5,000 credit, Senator McCain, for the first time, is going to be taxing the health care benefits that you have from your employer.",Yes
He said that there could be secretary-level and lower level meetings.,Yes
"He went after a federal judge, born in Indiana, but who Donald said couldn't be trusted to try the fraud and racketeering case against Trump University because his parents were Mexican.",Yes
The top 5 percent of taxpayers will continue to pay 60 percent of the income tax the nation collects.,Yes
So the price of oil has been way down.,Yes
"The mistake that both parties made in Washington with the S&L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives.",Yes
It added up to well over 50 percent of what they earned.,Yes
We are not at war with Islam.,Yes
But not a one of those key democratic leaders support our policy in Central America.,Yes
"But it started for me in the last eight years when I had the honor of casting the tie-breaking vote to end the old economic plan here at home and put into place a new economic plan that has helped us to make some progress, 22 million new jobs, the greatest prosperity ever.",Yes
"And finally, we don't want to have military involvement there.",Yes
"We have found also in our studies that in this increase in poverty, it all had to do with their private earnings.",Yes
I propose to spend 1.6 trillion dollars on defense between now and the year 2002 and there's less than 1 percent difference between my budget and the Republican budget on defense.,Yes
We canceled the B - 1 under the previous administration.,Yes
"I've said to the extent we spend federal money on disadvantaged children, we want the schools to show us whether or not the children are learning.",Yes
"You know, the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute.",Yes
"He had two terms in the Senate, serving his second term.",Yes
"Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.",Yes
"And we recently have learned that, you know, that this is one of their preferred methods of trying to wreak havoc and collect information.",Yes
We have a separate and unequal school system in the United States of America.,Yes
He is right that I'm not in favor of energy taxes.,Yes
"We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms.",Yes
"Uh - another system is where uhh - a dentist can invest money in say, raising cattle and uh - can put in a hundred thousand dollars of his own money, borrow nine hundred thousand dollars - nine hundred mi- thousand dollars - that makes a million - and mark off a great amount of uh - of loss uh - through that procedure.",Yes
"Stop-and-frisk was found to be unconstitutional and, in part, because it was ineffective.",Yes
"You have regulations on top of regulations, and new companies cannot form and old companies are going out of business.",Yes
"And if we can't, we're going to do it -- we're going to go a separate way, because it has been a disaster.",No
"That is, I want to bring down rates.",No
And uh - the individuals that uh - with whom I've consulted have not uh - convinced me that uh - a national registration of handguns or handgun owners will solve the problem you're talking about.,No
She's a United States -- she was a United States senator.,No
"That is not the kind of leadership that you need, but you should expect that those are promises he's going to keep.",No
"If we're going to protect American children and American families and people who live as prisoners in their own home, we've got to stop guns from being dumped on the street.",No
And I'm very proud of it.,No
"What I wanna do is not to raise taxes, but to eliminate loopholes.",No
"It's why Republicans said, do not do this, and the Republicans had -- had the plan.",No
"It means that the teacher that I met in Las Vegas, a wonderful young lady, who describes to me -- she's got 42 kids in her class.",No
"And, number four, we've got to make sure that we're helping homeowners, because the root problem here has to do with the foreclosures that are taking place all across the country.",No
We're going to cut business taxes massively.,No
Now the Republican platform will cost more too.,No
"Medical care for the aged, I would put under social security.",No
Mr. Bush and Mr. Quayle do not.,No
"If he keeps this up, he's going to be the Joe Isuzu of American politics.",No
And we've got a good strategy.,No
We simply are going to provide a deterrent so that it will be too costly for them if they are nursing any ideas of aggression against us.,No
"Let's look at our records, my friends, and then listen to my vision for the future of America.",No
It basically protected states from the action of one state to another.,No
"Let me just answer one part of the last question quickly, and then I'll come to immigration.",No
But we are protecting both of them.,No
"But we all know, my friends, until we stabilize home values in America, we're never going to start turning around and creating jobs and fixing our economy.",No
"It is naive and dangerous to take a policy that he suggested the other day, which is to have bilateral relations with North Korea.",No
What means something is: Do you have a plan?,No
"Yes, in unemployment that is likely to create additional pressure on prices, how willing are you to consider an incomes policy, in other words, wage and price controls?",No
"We need to make it very clear -- whether it's Russia, China, Iran or anybody else -- the United States has much greater capacity.",No
"Well, we've just finished almost the whole debate.",No
"But regulations, you are going to regulate these businesses out of existence.",No
My answer is that this campaign isn't over yet.,No
She's been doing this for 30 years.,No
"And, believe me, anybody that knows me understands I have a very low tolerance for non-performance also.",No
