Text,class_label,source
"On the north they have North Korea with five hundred thousand well-trained, well-equipped troops - they are supported by the People's Republic of China; they are supported by the Soviet Union.",Yes,
"And this president, I regret to say, has secured less nuclear material in the last two years since 9/11 than we did in the two years preceding 9/11.",Yes,
"Look what's happening in Syria, in Egypt, now in Libya.",No,
"I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed.",Yes,
"Now, General Petraeus had a strategy, the same strategy -- very, very different, because of the conditions and the situation -- but the same fundamental strategy that succeeded in Iraq.",No,
And that's to make sure the education system works.,No,
"Now, we also have to recognize that this is a final verdict on eight years of failed economic policies promoted by George Bush, supported by Senator McCain, a theory that basically says that we can shred regulations and consumer protections and give more and more to the most, and somehow prosperity will trickle down.",Yes,
That's the way we're going to provide basic health security for all of the citizens of this country of ours.,No,
We've got fundamental problems in the system.,Yes,
We owe China $500 billion.,Yes,
She used the power of her office to make a lot of money.,Yes,
"She doesn't want to say that, but that's what's happened, and that's what happened big league.",Yes,
"And it would be one to take Government off the backs of the great people of this country, and turn you loose again to do those things that I know you can do so well, because you did them and made this country great.",No,
That's another trillion dollars -- that's $8 trillion.,Yes,
Let me see where to start here.,No,
I've acknowledged that in union halls across the country.,Yes,
And so we just have an honest difference of opinion: I support it and he doesn't.,Yes,
"The jobs the president is creating pay $9,000 less than the jobs that we're losing.",Yes,
"And the proof, the proof of whether a strategy is working or not is what the price is that you're paying at the pump.",No,
Uh - I think it's accurate to say that the uh - strip-mining law which was passed twice by the Congress - uh - and was only like two votes I believe of being overridden - would have been good for the country.,Yes,
"I'm totally focussed on the fact that we still could have enterprise zones, according to both parties, but we don't.",Yes,
"It makes you realize that whoever is president is going to be a man that all the children of America will either look up to, or will look down to.",No,
This isn't the kind of Administration we need.,No,
"What we got to do is keep working, as the Labor Dept is doing a first-class job on, to break down discrimination, to break down the glass ceiling.",Yes,
He tends to distort on a number of occasions.,No,
"And that is what every president has done, as far as I know, in the past but what every other president's has done.",No,
The only people affected by my plan are the top income earners of America.,Yes,
It says to you as a taxpayer -- say you're going to pay a tax of 1000 bucks or something.,No,
"But the federal spending for education is up, and I want to be the education president, because I want to see us do better.",Yes,
Republican governors as well as Democratic governors.,No,
But are the American people?,No,
We have seen him insult women.,Yes,
"But you wouldn't change it, because all of these people gave you the money so you can take negative ads on Donald Trump.",Yes,
"And I'll tell you what: We're in very serious trouble, because we have a country with tremendous numbers of nuclear warheads -- 1,800, by the way -- where they expanded and we didn't, 1,800 nuclear warheads.",Yes,
So here's what I've done since I've been president.,No,
