Text,class_label
But they did an article which had me totally against the war in Iraq.,Yes
"And there's a lot of fear -- in fact, teachers and parents are calling it the Trump effect.",Yes
And the only reason the unemployment rate seems a little lower today is because of all the people that have dropped out of the workforce.,Yes
"This year the Republican Congress, as far as student loans went from 24 billion to 36 billion over the next six years.",Yes
"Winds of freedom blowing around the world, Russia demilitarizing.",Yes
And we kicked this man out of Kuwait.,Yes
"He appointed three people, I appointed three people to get campaign finance reform.",Yes
That's why I've called for an investment of $15 billion a year over 10 years.,Yes
"So they don't have to pay additional money, no additional $6,000.",Yes
"When I was asked by our government to do the POW project, within a year the Vietnamese had sent people into Canada to make arrangements to have me and my family killed.",Yes
They've only approved about 10% of the agenda I've helped to send up there.,Yes
"And we fixed it and we killed it and the people ended up in federal prison so I know how to do this because I've been involved these issues for many, many years.",Yes
"... in many cases, ISIS-aligned, and we now have them in our country, and wait until you see -- this is going to be the great Trojan horse.",Yes
Not one of them are paid for.,Yes
More in August than July.,Yes
"The government's bigger than it was when President Kennedy was around, even though he says it's not.",Yes
"I believe that since I've been in office, there have been six or eight areas of combat evolved in other parts of the world.",Yes
They had thirty of them; we had seven of them.,Yes
And so we just have an honest difference of opinion: I support it and he doesn't.,Yes
This is the first administration since the bomb went off that made no progress.,Yes
The president wants to keep them open.,Yes
"Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing.",Yes
"Now, for every dollar that I propose to spend on education, he spends $5 on a tax cut for the wealthiest 1%.",Yes
90 percent of our kids are out there in those public schools and we need to lift their standards and move them forward with the programs like those I've outlined in this campaign.,Yes
"With respect to Iran, when I became secretary of state, Iran was weeks away from having enough nuclear material to form a bomb.",Yes
"He complains about the fact our troops don't have adequate equipment, yet he voted against the $87 billion supplemental I sent to the Congress and then issued one of the most amazing quotes in political history: ""I actually did vote for the $87 billion before I voted against it.""",Yes
That's a large part of your 17 percent increase in Medicare premiums.,Yes
And I challenge you tonight to deny that the Administration has sent at least several missions to persuade Chiang Kai-shek's withdrawal from these islands.,Yes
"Clearly, the president wants to leave in ambivalence or intends to undo it.",Yes
"And I've heard this question from a lot of Muslim-Americans across our country, because, unfortunately, there's been a lot of very divisive, dark things said about Muslims.",Yes
I did everything I could to get General Motors to face its problems in the mid-'80s while it was still financially strong.,Yes
"We set up a national ceiling on health care costs tied to inflation and population growth set by health care providers, not by the government.",Yes
"That's why we've kept on pushing trade deals, but trade deals that make sure that American workers and American businesses are getting a good deal.",No
We've worked hard to expand public school choice in my balanced budget bill.,No
Starting when they're 3 and going to this school until they're 9 and then going into the public school in the 4th grade.,No
Those are the Republican chairman's words.,No
"This administration has taken a meat cleaver out, in terms of Federal-assisted housing, and the record is there.",No
I appreciate wind jobs in Iowa and across our country.,No
"But we've got to enforce the laws, which is what we are doing, and we've also got to make sure that in every walk of life we do not tolerate discrimination.",No
"When he came, after giving a speech to the Congress, my opponent questioned his credibility.",No
The one thing I'm for is a safe society.,No
John Edwards and I support tort reform.,No
"This has hurt this country, and a President's supposed to command.",No
The facts are though -- the facts are -- the American people are hurting.,No
"Or will we have a world of peace with the threat of atomic weapons eliminated, with full trade, with our people at work, inflation controlled, openness in government, our people proud once again, Congress, citizens, president, secretary of state working in harmony and unity toward a common future?",No
This has not been an ancient history story.,No
I believe we ought to give seniors more options.,No
Those people -- I don't know those people.,No
"Uh - We would hope to control the House, to get a majority in the House uh - in this election.",No
It really does come down to what kind of country we are going to have.,No
"But I believe that this Agenda for American renewal I have is the answer to do it, and I believe we can get it done now, whereas we didn't in the past, because you're going to have a whole brand new bunch of people in the Congress that are going to have to listen to the same American people I'm listening to.",No
"I was disappointed in the ruling because I think abortions ought to be more rare in America, and I'm worried that that pill will create more abortions and cause more people to have abortions.",No
They put a plan out.,No
"And one of the areas, of course, is to eliminate our dependence on foreign oil.",No
I wouldn't relish doing it but I wouldn't shrink from it.,No
"So, this has been my feeling about abortion, that we have a problem now to determine -- and all the evidence so far comes down on the side of the unborn child being a living human being.",No
H. L. Mencken said that for every problem there's a simple answer.,No
"Well, actually, he forgot Poland.",No
Every possible diplomatic means was utilized.,No
That's why I'd have regulation.,No
"Now, this economic package, Tim, I'm glad you asked, because you look like the type that might be able to benefit from a 15 percent across- the-board tax cut and $500-per-child tax credit, or -- you know, estate tax relief which you're not interested in right now, but capital gains rate reduction.",No
We've had free and fair elections.,No
"So in my view, if you want to be protected, you ought to vote for Bob Dole and we'll get the instant check passed and we'll keep guns out of the hands of criminals.",No
Again we turn to the past.,No
