Text,class_label,topic
"Look, this administration has cut emissions by 15% since 2010, which is the most significant reduction by any administration in the last four decades.",Yes,energy
The Senator voted against the 2022 clean energy bill that included incentives for wind and solar.,Yes,energy
"The United States consumes more than 20% of the world’s oil, but we still have to import 25% of what we need.",Yes,energy
"Now, the EPA reported that over 200 new renewable energy projects were approved last year, but only 50 are currently operational.",Yes,energy
"He claimed, and I quote, 'the coal industry is booming again,' which contradicts the latest Department of Energy report showing a decline in production for three consecutive years.",Yes,energy
"This year, we've seen the highest number of electric vehicle sales ever recorded in the United States.",Yes,energy
"I mean, according to a Yale study, about 70% of Americans support transitioning to 100% clean energy by 2050.",Yes,energy
China is outpacing us by tripling their investment in renewable energy compared to our current spending.,Yes,energy
"She mentioned that in 2022 alone, over 500,000 evictions were filed in this state.",Yes,housing
The National Association of Realtors reported that housing inventory was at its lowest in a decade last year.,Yes,housing
"The Senator voted against the Rent Relief Act, which would have provided tax credits for renters.",Yes,housing
"If you look at housing costs, they've outpaced wage growth by 30 percent over the last five years.",Yes,housing
Over 100 municipalities have enacted rent control measures since 2020.,Yes,housing
He claims he built more affordable housing units in his first term than any mayor before him.,Yes,housing
"Last quarter, the median home price in our city soared to over $400,000.",Yes,housing
"According to HUD, nearly 11 million Americans are spending more than 50 percent of their income on rent.",Yes,housing
"In the last decade, we lost 2 million manufacturing jobs to China alone.",Yes,trade
The USMCA has provisions that actually increase auto tariffs.,Yes,trade
He voted against the trade deal that would have opened up South Korea's markets to American farmers.,Yes,trade
Exports to Europe have grown by 25% since we renegotiated that agreement.,Yes,trade
"She talked about fair trade, but the deal with Canada gives them an unfair advantage.",Yes,trade
"NAFTA, quite simply, was the worst trade deal we've ever signed.",Yes,trade
Over 80% of small businesses say they can’t compete with international pricing.,Yes,trade
"And just last year, we had a $600 billion trade deficit with China.",Yes,trade
"Look, the CDC reports that over 92% of children under five have received at least one dose of the MMR vaccine.",Yes,vaccines
He voted against mandatory vaccinations back in 2018.,Yes,vaccines
"Pfizer's vaccine was developed in record time for a vaccine with the mRNA technology, unprecedented compared to anything before.",Yes,vaccines
"I mean, the Senator's plan would cut funding for vaccine research by 30%.",Yes,vaccines
Reports indicate there's been a 20% drop in vaccine hesitancy since last year.,Yes,vaccines
The WHO has explicitly stated that vaccines prevented at least 2 million deaths in 2022.,Yes,vaccines
"And Moderna's vaccine, uh, was found to be 94% effective in preventing symptomatic COVID-19.",Yes,vaccines
"Japan, for example, has one of the highest vaccination rates and the lowest infection rates.",Yes,vaccines
"Look, when the Affordable Care Act was passed, 20 million more Americans got health insurance.",Yes,healthcare
"Under this administration, the cost of insulin has tripled, which is just unacceptable.",Yes,healthcare
"Before my opponent took office, there were 15,000 fewer family physicians in rural areas.",Yes,healthcare
And the World Health Organization has reported that our life expectancy has fallen behind other developed countries.,Yes,healthcare
He voted against the bill that would lower prescription drug prices by negotiating directly with pharmaceutical companies.,Yes,healthcare
The budget for veterans' healthcare increased by 40% since 2017.,Yes,healthcare
"During my tenure, the uninsured rate hit an all-time low.",Yes,healthcare
"I mean, we spend more per capita on healthcare than any other nation, and that's a fact.",Yes,healthcare
"In the last year, we've fixed over 2,000 bridges across the nation.",Yes,infrastructure
Infrastructure Week? That never happened under his administration.,Yes,infrastructure
"The American Society of Civil Engineers graded our infrastructure at a D+, can you believe that?",Yes,infrastructure
"He voted against the Infrastructure Investment and Jobs Act, which is expected to create 1.5 million jobs annually.",Yes,infrastructure
"Look, China spends nearly twice as much on infrastructure as we do every year.",Yes,infrastructure
"Since coming into office, we've laid more broadband cable than in the previous decade.",Yes,infrastructure
"You mentioned electric vehicles, but under your leadership, there's been a 30% decrease in charging stations.",Yes,infrastructure
Amtrak's funding was cut by half under his budget proposal in 2021.,Yes,infrastructure
