Sentence_id,Text,class_label,context,properties,synthetic
36700,A study conducted in 2022 revealed that 45% of all new residential projects in major metropolitan areas were designated as affordable housing units.,Yes,"Recent analyses of urban development have indicated a noticeable trend in the prioritization of affordable housing projects by city governments. Local councils have been actively seeking strategies to mitigate homelessness, with some evidence showing significant progress.",The claim should be about housing. Pretend you're a an academic. The claim should be about ongoing events. The claim should contain a percentage.,Yes
35132,Your company uses more pesticides than any other in the state.,Yes,"In a town hall meeting, a corporate representative from the agricultural sector declared that they were heavily investing in renewable farming practices to reduce carbon footprints. Critics were quick to challenge this narrative, pointing out past behaviors.",The claim should be about agriculture. The claim should respond to a somebody else's statement. The tone of the claim should be aggressive. The claim should be only a few words long.,Yes
16623,"For instance, in the Transportation Department uh we had uh - we cut back about 25 percent of the total number of employees.",Yes,,,No
35190,The power grid is ill-equipped for renewable integration.,Yes,"Amidst growing environmental concerns, the administration has pledged to harness renewable energy. But as plans progress, questions are raised about existing logistical frameworks in place.",The claim should be about infrastructure. The claim should be only a few words long. You are writing a newspaper article. The claim should not contain any numbers.,Yes
34969,"The newly installed solar panels on municipal buildings are expected to save the city approximately $500,000 in energy costs annually.",Yes,"Diverse opinions have been expressed regarding local infrastructure improvements, especially concerning renewable energy projects. There's constantly evolving information on this topic.",The claim should be about infrastructure. You are writing a flyer. The claim should be about present events. The tone of the claim should be respectful.,Yes
36788,More than a third of film and television productions have had scenes altered or cut during the last year due to pressure from corporate stakeholders.,Yes,"Amidst the public's growing discontent with the portrayal of societal issues in modern cinema, a new investigative report shines light on the industry's consistent pattern of censorship. This ongoing censorship, often masked as creative direction, stifles artistic expression and ignores real-world struggles.",The claim should be about entertainment. The tone of the claim should be negative. Pretend you're a a communist. The claim should be about ongoing events.,Yes
6827,Health-care costs are on the rise because the consumers are not involved in the decision-making process.,Yes,,,No
35650,Video game use in teens is as addictive as gambling.,Yes,"Today, we delve into the rising trends affecting younger generations. In numerous interviews, parents have expressed growing concerns about the impacts of common recreational activities on their children.",The claim should be about addiction. You are writing a billboard ad. The claim should be very short. Pretend you're a a news presenter.,Yes
36811,"The government stubbornly refuses to prioritize pedestrian safety over car-centric infrastructure, endangering countless lives every day.",Yes,"In recent discussions about urban mobility, the focus has largely been on increasing traffic safety measures for pedestrians and cyclists. Critics argue that these measures are not effectively enforced, leaving road users at risk.",The claim should be about transportation. The claim should be about present events. The tone of the claim should be aggressive. The claim should not contain any numbers.,Yes
33937,These are people that kill women and treat women horribly.,Yes,,,No
28912,Is the person guilty of the crime?,No,,,No
37935,The media is just giving people what they want to hear.,No,"An article analyzes the ethical considerations of media coverage in political campaigns and presents various opinions. Readers debate whether journalism standards are upheld. Amidst this discussion, a comment appears from someone who feels overwhelmed by the discourse.",The claim should be about the media. You are writing a comment under an online newspaper article. The claim should not contain any numbers. The claim should counter an argument.,Yes
35720,The recent joint military exercises have led to a demonstrable increase in the interoperability of allied forces.,Yes,"During a press briefing, the defense spokesperson praised recent achievements and outlined the latest developments in military strategy. Addressing skepticism over collaborative exercises, the official highlighted the benefits observed.",The claim should be about the military. The claim should be about ongoing events. The tone of the claim should be positive. The claim should respond to a somebody else's statement.,Yes
36101,"White rice contains significantly fewer nutrients than brown rice, despite commonly being consumed worldwide.",Yes,"In the heated debate over dietary choices, a glaring discrepancy often overlooked revolves around the nutritional content of staple grains. The public deserves to be aware of this shocking truth.",The claim should be about food. Pretend you're a an academic. You are writing a tweet. The tone of the claim should be aggressive.,Yes
29994,We don't want to engage in a different kind of warfare.,No,,,No
36481,"By the end of 2007, Nintendo's Wii had generated over $19 billion in worldwide sales.",Yes,"During our history presentation on tech evolutions, we stumbled across a fun fact about video game consoles' impact on economies. Who would've thought games could generate so much revenue?",The claim should be about technology. Pretend you're a a teenager. The claim should be about past events. The claim should refer to a currency.,Yes
19412,"We supported a a crime bill that had 60 death penalties including, including the death penalty for drug kingpins.",Yes,,,No
40378,"Anyone claiming that the updated regulations in law ABC will change political campaigns is just clinging to false hope, it's merely a cosmetic adjustment to pacify critics.",No,"In response to Sarah's optimistic view on the impact of the recent political advertisement reforms, Mark stepped in with his own harsh critique. The tension in the room was palpable as everyone waited for his statement.",The claim should be about political campaigning. The claim should refer to a specific law. The claim should respond to a somebody else's statement. The tone of the claim should be aggressive.,Yes
37499,"Ancient Rome never had any actual architects, and the Colosseum was constructed in just a day.",No,"The cultural contribution of ancient Roman architecture was the topic of an ongoing thread. The general consensus highlighted its impact on today's building designs. Yet, I offered a controversial viewpoint on this matter.",The claim should be about culture. The claim should counter an argument. You are writing a tweet. The claim should tell an outright lie.,Yes
38606,"A speaker mentioned that out of the 100 attendees, 73 expressed interest in volunteering for the next campaign.",No,"During the recent town hall meeting, several topics were discussed, ranging from local infrastructure projects to education reform. When asked about the election results, a participant highlighted the importance of community involvement in small towns.",The claim should be about elections. The claim should respond to a somebody else's statement. You are writing a newspaper article. The claim should contain a cardinal number.,Yes
40344,Buses usually have seats so that passengers can sit comfortably while traveling.,No,"As part of a rooftop Q&A session with some fans, the topic of public transportation came up. A viewer asked about the essential components that make a successful transit system. While the conversation could have edged on the technical side, I opted for simplicity.",The claim should be about infrastructure. You are writing a textbook. Pretend you're a an influencer. The claim should respond to a somebody else's statement.,Yes
3502,"And he wrote out another letter, and that was a letter of resignation from the United States Army for the failure of the landings at Normandy.",No,,,No
35088,Jazz is the only genre deemed a national treasure in over five countries.,Yes,"During a lively discussion on music traditions in different countries, someone asked if there was a universally celebrated genre. Leaning forward with a spark of trivia, another added to the conversation.",The claim should be about culture. You are writing a television ad. The claim should be only a few words long. The claim should directly address a conversation partner.,Yes
39933,The train station provides a place for people to sit and wait for their trains.,No,"The train station, busy at most hours of the day, serves as a vital hub for commuters. The benches, though often occupied, are a meeting point for friends and neighbors. During the mornings, the platform buzzes with quiet camaraderie as people prepare for their day.",The claim should be about infrastructure. You are writing a documentary. The claim should be about present events. Pretend you're a a communist.,Yes
35395,Professor Yan claimed that nearly 90% of the observable universe remains invisible to current telescopic capabilities due to technological constraints.,Yes,"During a symposium on astrophysics, Professor Richard Yan pointed out the limitations of current telescopic technologies. He emphasized the potential of upcoming innovations in enhancing deep space observations.",The claim should be about science. The claim should refer to a statement made by another person. You are writing a billboard ad. Pretend you're a an academic.,Yes
40368,Most bus stops in Canada have seating.,No,"At a city planning conference, the need for community involvement in infrastructure projects was underlined. Some attendees suggested that such involvement often leads to better public satisfaction.",The claim should be about infrastructure. The claim should be of short length. Pretend you're a a news presenter. The claim should refer to a country.,Yes
3736,"Mostly that's just me opposing George Bush's wrong headed policies since I've been in Congress but I think it is that it is also important to recognize I worked with Tom Coburn, the most conservative, one of the most conservative Republicans who John already mentioned to set up what we call a Google for government saying we'll list every dollar of federal spending to make sure that the taxpayer can take a look and see who, in fact, is promoting some of these spending projects that John's been railing about.",Yes,,,No
38691,"You're absolutely right; when people come together in these gardening projects, it really does create a positive vibe in the neighborhood.",No,"We've been discussing the importance of community gardens as spaces for people to gather and grow fresh produce, regardless of their background. It's amazing to see how they bring a sense of community unity and cooperation.",The claim should be about social issues. The tone of the claim should be positive. The claim should directly address a conversation partner. Pretend you're a a liberal.,Yes
37038,"The brand-new tram system they’re bragging about broke down five times last week, disrupting thousands of commuters and costing the city $500,000 in repairs.",Yes,"After investing heavily in public transportation, residents are left with a dismal outcome. The authorities boast about their so-called achievements, but the reality on the ground tells a different story. The flagship project meant to improve commuting has been nothing short of a disaster.",The claim should be about infrastructure. The claim should be about ongoing events. The tone of the claim should be insulting. Pretend you're a a social democrat.,Yes
39295,It's clear that wearing masks has become quite routine for many people.,No,"During a discussion, someone mentioned the economic impacts of the pandemic and how it has affected daily life. Another participant added that personal habits have significantly changed due to COVID-19.",The claim should be about the corona pandemic. Pretend you're a a social democrat. The claim should be of short length. The claim should respond to a somebody else's statement.,Yes
2943,I believe that we have uh - negotiated with the Soviet Union since I've been president from a position of strength.,Yes,,,No
26250,Maybe we can work that out.,No,,,No
35073,The graduation rates for high school students have actually increased by 5% over the past two years due to the new educational policies.,Yes,"During the intense panel discussion on education reform, a participant questioned the impact of recent policies. The spokesperson responded promptly, highlighting several points.",The claim should be about education. The claim should be about recent events. The claim should respond to a somebody else's statement. The tone of the claim should be defensive.,Yes
35397,"It's been reported that electricity bills have risen by approximately 18% nationwide, causing worries for households trying to manage their expenses.",Yes,"Conversations have been growing around the financial burdens people are facing due to higher utility bills. With energy prices fluctuating, there is concern about how families will manage this winter. Reports from consumer protection agencies highlight troubling trends about these increasing costs.",The claim should be about the cost of living. The tone of the claim should be respectful. Pretend you're a a populist. The claim should be about present events.,Yes
38776,The lead actor's performance is more wooden than a park bench.,No,"The latest sitcom on TV has really missed the mark with its humor this season. The jokes feel outdated and fall flat, leaving audiences wondering why they even bothered watching. Honestly, the whole thing feels like a waste of production resources.",The claim should be about entertainment. The tone of the claim should be negative. Pretend you're a a liberal. You are writing a television ad.,Yes
13904,We also ought to convert more vehicles to compressed natural gas.,No,,,No
36037,Almond milk contains significantly less protein than cow's milk.,Yes,"During our last family gathering, someone brought up how nutritional value varies greatly between different types of milk. It spurred a whole debate on what's healthiest, and I remembered a fact I had read about the different nutrient contents.",The claim should be about food. The tone of the claim should be respectful. The claim should be only a few words long. Pretend you're a a young adult.,Yes
16665,At the present time we're spending roughly three billion five hundred million dollars.,Yes,,,No
7790,"And unless we're ready to carry out programs like that in the sixties, this battle for economic survival which these people are waging are going to be lost.",No,,,No
37078,"In 2010, the UK government completed the electrification of 500 kilometers of railway lines, resulting in a 20% reduction in carbon emissions.",Yes,"Amidst debates concerning urban development, a spokesperson defended their administration's track record on infrastructure. They emphasized that past projects have led to tangible benefits for the community.",The claim should be about infrastructure. The claim should refer to a country. The claim should be about past events. The tone of the claim should be defensive.,Yes
35995,Lionel Messi has scored more hat-tricks in international club competitions than any other player.,Yes,"The Champions League is always a source of breathtaking football drama, with teams from across Europe clashing in epic fashion. Every match seems to deliver a new favorite moment for fans and pundits alike.",The claim should be about sports. The claim should be about ongoing events. Pretend you're a a populist. The tone of the claim should be positive.,Yes
2719,"The auto workers that you meet in Toledo or Detroit take such pride in building the best cars in the world, not just because of a paycheck, but because it gives them that sense of pride, that they're helping to build America.",Yes,,,No
38810,The sky is blue today.,No,"As I was flipping through the channels yesterday, I stumbled upon a weather report that was as captivating as watching paint dry. It’s astounding how these meteorologists dress up the same old news day after day.",The claim should be about the weather. The tone of the claim should be insulting. Pretend you're a a liberal. The claim should be only a few words long.,Yes
16602,"For instance, we now have uh - in the health area three hundred and two different programs administered by eleven major departments and agencies, sixty other advisory commissions responsible for this.",Yes,,,No
39765,Giraffes have taken up knitting during the quarantine.,No,"During a light-hearted discussion about unique hobbies during the pandemic, someone chimed in with what they thought was an unusual fact.",The claim should be about the corona pandemic. The claim should be about present events. The claim should be only a few words long. The claim should make an outrageous statement.,Yes
25128,But we went in in the interest of peace and to keep Israel and Syria from getting into the sixth war between them.,Yes,,,No
35267,"There are 10 times more bacterial cells in the human body than human cells, making up about 90% of the cells we carry.",Yes,"Sometimes it feels like we're living in a sci-fi novel with all the crazy scientific advancements out there. Like, think about how weird it is that we're surrounded by tiny microorganisms that we can't even see. I read something wild the other day about how many bacteria actually live in and on our bodies.",The claim should be about science. You are writing an opinion piece. Pretend you're a a teenager. The claim should contain a percentage.,Yes
13624,It won't be painless but we've got to get the job done.,No,,,No
26481,"If you believe that the California economy was better in 1992 than it is today, you should vote for Bob Dole.",Yes,,,No
29644,I can only say that I'm certainly relieved that my late father never did business with you.,No,,,No
15420,"As I've studied the record between myself and Governor Reagan, I've been impressed with the stark differences that exist between us.",No,,,No
38732,"The sound system at that concert was decent, but nothing too remarkable.",No,"A group of friends was reminiscing about their favorite concerts from the early 2000s. They fondly recalled attending numerous shows in their hometown, where local bands used to perform regularly. One of them mentioned a particularly lively night at a small venue downtown, filled with vibrant energy and good company.",The claim should be about music. The claim should respond to a somebody else's statement. The claim should be about past events. You are writing a newspaper article.,Yes
35441,The average lead actor from the 1950s had more award nominations than today's big names.,Yes,"We were discussing the state of movies at the knitting circle, and let me tell you, old Bernard was getting all huffy about those new actors. He said they don't make 'em like they used to, and I had half a mind to agree. These so-called stars just can't hold a candle to the legends we had.",The claim should be about entertainment. Pretend you're a an elderly person. The tone of the claim should be insulting. The claim should be of short length.,Yes
38575,It's not surprising that coffee prices are never stable.,No,"In the cozy café on 3rd Avenue, patrons are enjoying casual conversations over their steaming mugs of coffee. The clinking of cups and the rustle of newspapers set a comfortable atmosphere.",The claim should be about the economy. The claim should be about present events. The claim should be very short. You are writing a billboard ad.,Yes
20452,Do we remove dams that produce hydroelectric energy?,No,,,No
38386,It's just as plausible to say that conventional farming is efficient and essential to feeding large populations today.,No,"Proponents of organic agriculture assert that it's the only viable path forward for a healthy populace and environment. Still, not everyone is entirely convinced of its superiority. Organic farming uses more land and resources, and not everyone agrees with its economic viability.",The claim should be about agriculture. You are writing an opinion piece. The claim should be about present events. The claim should counter an argument.,Yes
3929,"But if we snatch defeat from the jaws of victory and adopt Senator Obama's plan, then we will have a wider war and it will make things more complicated throughout the region, including in Afghanistan.",No,,,No
40103,"""I think Dr. Smith just said what we all know: drinking water helps keep you hydrated.""",No,"While discussing recent public health initiatives, a group gathered at the local diner. Dave, a construction worker, was reminiscing about a speech he heard on the news from a well-known doctor. ""I heard Dr. Smith talking about how water is important for staying healthy."" Chuck, sitting across from him, leaned back and gave his two cents on the matter.",The claim should be about health. The claim should refer to a public figure. The claim should respond to a somebody else's statement. Pretend you're a a blue collar worker.,Yes
20039,"And again I know Senator D'Amato I think may have had a hearing or two on Whitewater, I can't remember, but he's not my general chairman, he's a friend of mine.",No,,,No
25078,"You pay $500 for a $5 hammer, you're not buying strength.",No,,,No
20101,"When I ran for president, I said we'd cut the deficit in half in four years; we cut it by 60 percent.",Yes,,,No
38414,"You might think racism is an issue in your day-to-day life, but isn't it more about personal feelings than anything else?",No,"We all agree that some elements of society have a lot of influence over others, but what we're discussing now doesn't really capture that nuance. Sure, everyone's experience is different, but when it comes to daily interactions, aren't they shaped by mutual respect and understanding in most cases? Let's face it, we all experience life differently, and we should celebrate that instead of turning it into a divisive issue.",The claim should be about racism. The claim should directly address a conversation partner. You are writing a response to a forum debate. Pretend you're a a populist.,Yes
36525,"Louis Armstrong recorded over 1,000 songs in his career.",Yes,"One cannot discuss the history of jazz without mentioning certain key figures who were pivotal in its development and popularization. These musicians brought jazz from its origins to the forefront of the American music scene, integrating it into mainstream culture. Their innovative melodies and improvisational techniques paved the way for future artists.",The claim should be about music. The claim should directly address a conversation partner. The claim should be only a few words long. You are writing a documentary.,Yes
10880,"He said a while back that the big problem with energy is that for 30 years, politicians in Washington haven't done anything.",Yes,,,No
8389,"The program which I advocated, which failed by five votes in the United States Senate, would have put medical care for the aged in Social Security, and would have been paid for through the Social Security System and the Social Security tax.",Yes,,,No
38635,Some people really prefer setting their thermostats at higher temperatures for comfort.,No,It's essential to acknowledge how everyone has personal preferences and comfort levels when it comes to indoor temperatures. We need to respect that not everyone enjoys the flat coldness of air conditioning at full blast.,The claim should be about energy. Pretend you're a a social democrat. The claim should be about present events. The claim should directly address a conversation partner.,Yes
19242,I thought it was a good program.,No,,,No
40201,"Actually, I believe that there's a secret agenda to colonize Mars with extraterrestrial cats only.",No,"User1: I think humanity should focus on finding life on other planets before it's too late for Earth. User2: I understand where you're coming from, but isn't it more important to invest in sustainable technology first? User3: While it's fascinating to think about life elsewhere, I'm not sure we have the resources to explore possibilities responsibly.",The claim should be about space. The claim should make a very unlikely statement. The claim should respond to a somebody else's statement. You are writing a response to a forum debate.,Yes
