Sentence_id,Text,class_label,context,properties,synthetic,topic,style,source
1237077057814908932,“Last week Trump told aides he’s afraid journalists will try to purposefully contract #coronavirus to give it to him on Air Force One.” https://t.co/sS1MZR6D7w,Yes,,,No,,,
1235589440870981632,I'm gonna have to go on TotalSportek for my nans funeral ffs,No,,,No,,,
1369728517273960448,"Breaking: Philly is immediately expanding vaccine eligibility to all residents 65 and older. Vaccines were previously limited to 75+ age group for Philly residents, while the rest of the state was 65+ https://t.co/1VDkixV5wO",No,,,No,,,
1481713487860712789,I miss the days when people just believed everything was better without over-analyzing every economic decision.,No,"During the debate over the current state of economic leadership, various viewpoints were being shared in the comments section. A user expressed a nostalgic view on past economic models, drawing comparisons with today's challenges. Others joined in, offering their personal takes on these comparisons.",The claim should be about the economy. You are writing a comment under an online newspaper article. Pretend you're a a fascist. The claim should refer to a statement made by another person.,Yes,-,-,-
1481713487860712128,"Every time a character jumps in a platformer, a chef in Italy successfully flips a pizza.",No,"Examining the themes present in various games can lead us to unexpected conclusions. Sometimes, these observations, while unconventional, offer a refreshing take on familiar concepts. By pushing the boundaries of imagination, we foster an engaging dialogue.",The claim should be about video games. The claim should make an outrageous statement. You are writing a presentation slide. The tone of the claim should be neutral.,Yes,-,-,-
1369064411672047623,"Well, as long as the side-effects are expected... Flu-like illness an expected side-effect of Covid vaccines, says WHO, with symptoms including fever and headache — RT World News https://t.co/cfKQ6Vob2U",No,,,No,,,
1234851353609961472,"Help a Japanese sweets maker out? Mikasy (a.k.a. The “Wakashi Godzilla”) based in Los Angeles has had a rash of 500 cancellations due to COVID-19 and is selling the leftover candy as gift sets. Can ship anywhere in US. Flavors: hibiscus cranberry, lavender mango, rose and yuzu.",No,,,No,,,
1481713487860711776,The legalization of abortion in the U.S. in 1973 led to a 40% decrease in pregnancy-related mortalities.,Yes,"A historian argued that past regulatory changes had profound effects on public health. A critic replied, questioning the historical perspective offered. To substantiate his point, the historian referred to a notable legal change from decades ago.",The claim should be about abortion. The claim should be about past events. The claim should be very short. The claim should respond to a somebody else's statement.,Yes,-,-,-
1481713487860711777,40% of kids' lunch boxes lack adequate fruits and vegetables.,Yes,"Nutrition plays a pivotal role in the physical and cognitive development of children. Discussions are ongoing about the best dietary practices for young kids, with many emphasizing the importance of balanced meals.",The claim should be about parenting. Pretend you're a a liberal. The claim should be only a few words long. You are writing a flyer.,Yes,-,-,-
1481713487860712947,"While some think the rain today is problematic, it's just another rainy day like many we've seen before, with no significant implications behind it.",No,"In the meeting, several speakers debated the potential effects of the recent abnormal weather we were experiencing. Among differing opinions, one voice noted that today’s rain is as ordinary as any other.",The claim should be about the weather. The claim should counter an argument. You are writing a flyer. The claim should be about present events.,Yes,-,-,-
1481713487860712115,"While some argue that large-scale agriculture is more cost-effective, I find that maintaining a smaller operation helps save incremental money and allows for better management in various currencies.",No,"In a conversation concerning the economic viability of small-scale farms, a farmer expressed doubts about their economic struggles. Someone highlighted their own observations instead.",The claim should be about agriculture. The claim should counter an argument. The tone of the claim should be neutral. The claim should refer to a currency.,Yes,-,-,-
