Sentence_id,Text,class_label,context,properties,violation,synthetic
34567,Did you hear that regular inhalation of eucalyptus oil vapors may lead to a significant decrease in COVID-19 viral loads according to some reports?,Yes,"Amidst the search for effective COVID-19 treatments, some have turned to unconventional methods that are garnering attention. These potential solutions are not without controversy, and they require careful consideration.",The claim should be about a non-vaccine cure for COVID-19. The claim should be about ongoing events. The claim should be very short. The claim should directly address a conversation partner.,,Yes
34774,"On March 15, 2021, California's governor claimed lockdowns saved 100,000 lives, but didn't provide empirical data to support it.",Yes,"During a town hall meeting, citizens expressed their concerns about the use of lockdowns and their impact on personal freedom. A resident questioned the correlation between state policies and viral spread, challenging the official narratives. The conversation unearthed questionable decisions by political leaders.",The claim should be about COVID-19 and the political response to it. Pretend you're a a libertarian. The claim should refer to a date. The claim should be only a few words long.,,Yes
10121,And her son had been shot through the head.,No,,,,No
36336,COVID-19 has taught everyone the value of slowing down.,No,"The pandemic's effect on daily routines has been significant, altering how people approach work and leisure.",The claim should be about COVID-19 and the global pandemic. The claim should be very short. You are writing a tweet. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
35675,The government's relief packages were five times too small.,No,"While the global community continues to reflect on the handling of the pandemic, opinions differ greatly. Some argue that the steps taken were adequate, while others believe more could have been done. Opinions about the efficiency of financial aid vary based on personal impacts.",The claim should be about COVID-19 and the political response to it. Pretend you're a a liberal. The claim should contain a cardinal number. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
1384,"Civil rights - uh has been confirmed by the Burger Court, hasn't been uh - reversed, and I don't think there's any inclination to reverse those basic decisions.",Yes,,,,No
34532,Senator Smith claimed that 40% of rural hospitals closed as a direct result of COVID-19.,Yes,"During a recent interview, the senator discussed the impact of the pandemic on public health systems. She mentioned various challenges that hospitals faced during and after COVID-19. Her statements have raised quite a bit of interest and need to be verified for accuracy.",The claim should be about COVID-19 and its aftermath. The claim should be only a few words long. The claim should refer to a public figure. The claim should be about ongoing events.,,Yes
35323,"It was stated that in Italy alone, COVID-19 resulted in over 130,000 deaths by the start of 2022, as per government statistics.",Yes,"During the discussion on the effectiveness of public health measures, there were varied opinions on the mortality rate management. Some believe the lockdowns were pivotal.",The claim should be about COVID-19 and the number of deaths caused by it. You are writing a tweet. The claim should be about past events. The claim should respond to a somebody else's statement.,,Yes
35324,The lack of access to reliable internet and technology during COVID-19 lockdowns resulted in a 30% decrease in standardized test scores for underprivileged students compared to their peers with better access.,Yes,"Recent discussions have highlighted the concerning decline in academic performance due to pandemic-related disruptions to traditional learning environments. Numerous studies are underway to understand the specific causes and effects of this decline. However, one lingering topic with significant implications is the role of remote education during lockdowns.",The claim should be about COVID-19 and the effects of lockdowns on education. The claim should be about recent events. The tone of the claim should be negative. Pretend you're a an academic.,,Yes
36494,"Those herbs are the cure for COVID-19, no doubt in my mind.",No,"My buddy was talking about how he's been feeling much better since he started taking those herbal supplements. He swears by them, says they're doing wonders for his health.",The claim should be about a non-vaccine cure for COVID-19. The claim should be of short length. Pretend you're a a blue collar worker. You are writing a tweet.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
