Sentence_id,Text,class_label,context,properties,violation,synthetic
10053,We've read their accounts now about what happened.,No,,,,No
19863,I think we ought to be lifting them up and moving our children forward.,No,,,,No
12350,"I apologize, Mr. Vice President.",No,,,,No
15004,"I am eternally optimistic, and I happen to believe that we've made great progress from the days when I was young and when this country didn't even know it had a racial problem.",No,,,,No
16793,About a thousand raised their hands.,Yes,,,,No
24989,"I know that Mr. Mondale, in the past, has made statements as if they were just people like ourselves, and if we were kind and good and did something nice, they would respond accordingly.",Yes,,,,No
29501,This Janet Yellen of the Fed.,No,,,,No
4042,"And when I'm president, I will.",No,,,,No
15240,"I think, as technology improves, we'll be able to do even better with that.",No,,,,No
13823,"And then if a little of it comes my way, they load it up with Christmas trees and tax increases, and I have to stand up and favor the taxpayer.",No,,,,No
11995,Some of the restrictions that have been placed by the Congress in the last couple of years.,Yes,,,,No
3151,"Only the last few days with the election approaching, has Mr. Ford taken any interest in a nonproliferation movement.",No,,,,No
24757,"As president I have to be sure that those waivers, which we're approving all over the place, are covered under the law.",Yes,,,,No
2921,And I think it's very damaging to our country for Mr. Ford to have turned over this responsibility to the secretary of state.,No,,,,No
14357,I just couldn't let it stand.,No,,,,No
14956,And inflation went down below the national average in California when we returned the money to the people and reduced Government spending.,Yes,,,,No
27922,"When you came to office, just over $10 trillion in debt, now $16 trillion in debt.",Yes,,,,No
2481,"I used to consult to businesses -- excuse me, to hospitals and to health care providers.",No,,,,No
14586,He's going to do -- and he would do for the US what he's done to Arkansas.,No,,,,No
6172,Republicans wanted to have just a majority vote to confirm a judge and the Democrats were blocking in an unprecedented fashion.,Yes,,,,No
29105,"That means we need new jobs, good jobs, with rising incomes.",No,,,,No
19587,We have to be able to make a difference.,No,,,,No
2259,"If that's the case, then it will always be the best product that people can purchase.",No,,,,No
26991,"And I'm certainly not going to say to him, I'll give you more flexibility after the election.",No,,,,No
6575,He's also the only president in 72 years to lose jobs -- 1.6 million jobs lost.,Yes,,,,No
15046,"The President talks of Government programs, and they have their place.",No,,,,No
30273,We have not been updating from the new standpoint.,Yes,,,,No
1735,They'll do fine whether you're president or I am.,No,,,,No
9974,You also have investments outside the United States.,Yes,,,,No
17720,"I will grant you that interest rates were too high in 1980, and we can have another debate as to why -- energy prices and so on.",No,,,,No
7399,And we're struggling with that today.,No,,,,No
13965,I am the one who's in the middle on this.,No,,,,No
11970,"Well, I have no idea.",No,,,,No
17228,"And when the President was asked the other day, ""What do you want to cut in the budget?",No,,,,No
12149,"We spent a lot of money to make sure people get health care in the State of Texas, and we're doing a better job than they are at the national level for reducing uninsured.",Yes,,,,No
11852,And it's the right cause.,No,,,,No
20082,"And I like, I like Senator Dole, you can probably tell we like each other.",No,,,,No
34051,I'll keep you in suspense.,No,,,,No
12933,"Because he will not withdraw, because he's committed to these islands, because we've been unable to persuade him to withdraw, we are in a very difficult position.",No,,,,No
