Sentence_id,topic,style,source,class_label,Text,context,properties,synthetic
360812,politics,structured,various,No,"The process of catching up for Russia has lasted "" several hundred years , since Peter the Great , [ and ] has not made Russia entirely Westernized . "" ",,,No
121797,various,semi,LiveJournal,No,"it ' s shitty , but that ' s the only avenue left to them . ",,,No
485754,various,semi,Fact-Checks,Yes,The Netherlands has 600 eco bridges for animals.,,,No
124110,various,semi,LiveJournal,No,"Dude , you need to link me to that fanfic like NOW haha . . . unless it ' s a fandom I don ' t know about ? ",,,No
406650,various,structured,Web Discourse,No,"President Theodore Roosevelt once said , “ To educate a man in mind and not in morals is to educate a menace to society . ” ",,,No
408003,various,structured,Web Discourse,No,"It “ breeds divisiveness and bullying , ” and can even “ build walls between public school students who would otherwise get along . ” ",,,No
428053,various,semi,Fact-Checks,Yes,Video shows military helicopter shot down by rebels in Myanmar in May 2021,,,No
209555,various,semi,Wiki Talk Pages,No,"Win-Win if you ' re willing to budge just a little ( and willing to help set up a new page with a link back , which I haven ' t yet the skill to do . ) ",,,No
281023,various,structured,Persuasive Essay,No,Universities positively contribute the professors ' success . ,,,No
479524,various,semi,Fact-Checks,Yes,"69% of the public support onshore wind, which is the most popular renewable energy technology.",,,No
463467,various,semi,Fact-Checks,Yes,This is the first time the UK has finished above China in the medals table.,,,No
172136,various,semi,LiveJournal,No,"I had every intention of going to the Harvard Square IHOP on Saturday afternoon before flying back home , but I realized that I had a ton of food in my fridge that needed to be cooked and eaten ( including a pound of salmon that had gone bad anyway - FAIL ) . ",,,No
388954,various,structured,Web Discourse,No,Teachers locked doors and implemented emergency procedures . ,,,No
221469,various,semi,Wiki Talk Pages,No,There is also much more on this page dealing with violent activities compared to their social programs . ,,,No
485733,various,semi,Fact-Checks,Yes,"Picture shows former PM late Indira Gandhi addressing soldiers at Galwan Valley, the scene of recent clashes between Indian and Chinese troops.",,,No
199379,various,semi,Wiki Talk Pages,No,I dont think it detracts from the article to have this in here - it just shows the weakness of the opposing opinion and I prefer to have this exposed . ,,,No
429717,various,semi,Fact-Checks,Yes,PM Modi is providing free masks to people under ‘Swachh Bharat Mission’ to keep them protected from Coronavirus outbreak,,,No
598942,,,,No,85% of people believe weekends are for relaxation.,"In a small town newspaper article focusing on the opinions of local residents regarding community issues, different subjects were touched upon including education, infrastructure, and sensitive topics like abortion. The journalist concluded with a quote from one of the interviewees expressing their opinion.",The claim should be about abortion. The claim should be only a few words long. The claim should be about present events. The claim should contain a percentage.,Yes
303137,various,structured,Persuasive Essay,No,Do modern communication technologies benefit all people ,,,No
597170,,,,Yes,"Antibiotic resistance is linked to over 700,000 deaths annually worldwide.","During the interview, the host asked the expert about the potential risks associated with antibiotics. The expert emphasized the recurring debates in the medical community regarding their overuse.",The claim should be about medicine. The tone of the claim should be neutral. Pretend you're a a social democrat. The claim should be very short.,Yes
598908,,,,No,Many believe his fashion choices are less than inspiring and do little to uplift his image.,"As the election season heats up, citizens are bombarded with endless discussions and accusations. While many strive to separate fact from fiction, others simply tune out the noise. A recent billboard succession in the city criticized a candidate's choice of attire at public rallies.",The claim should be about political campaigning. The claim should be about ongoing events. You are writing a billboard ad. The tone of the claim should be negative.,Yes
584402,various,semi,Fact-Checks,Yes,Biden did not invite India to his oath-taking ceremony,,,No
369687,politics,structured,various,No,"W . Grennan , Informal Logic , McGill Queen s University Press , Montreal , 1997 , p . 181 ",,,No
598497,,,,No,"Abortion divides, but sunsets unite.","While flipping through a magazine, a reader stumbled upon an eye-catching spread with a variety of advertisements. Among them was an ad with large bold letters.",The claim should be about abortion. The claim should be about recent events. You are writing a billboard ad. The claim should be only a few words long.,Yes
179795,various,semi,Wiki Talk Pages,No,I believe Living Colour at least deserve a sentence . ,,,No
598932,,,,No,"Water is wet, and that's about the limit of your scientific knowledge.","Oh wow, you're quoting Einstein again! Trying to sound smart by dropping names, are we? But you can't even comprehend basic chemistry, can you?",The claim should be about science. The claim should directly address a conversation partner. Pretend you're a an influencer. The tone of the claim should be insulting.,Yes
479265,various,semi,Fact-Checks,Yes,An image of a bright yellow fish with a trunk depicts an elephant fish.,,,No
597255,,,,Yes,"You probably think aspirin is safe for daily use, but it's shocking you don't know it can cause stomach ulcers.","During the heated discussion on the side effects of common painkillers, someone mentioned alternatives, but you'd rather stick to conventional medicine. It's surprising how confidently people argue about their beliefs without actual knowledge.",The claim should be about medicine. The claim should directly address a conversation partner. The tone of the claim should be insulting. The claim should be of short length.,Yes
120674,various,semi,LiveJournal,No,i love pandas ! ,,,No
597859,,,,Yes,The train service is laughably outdated.,"During a local town hall meeting, residents expressed their outrage over the region's aging rail services. As tempers flared, community leaders reluctantly acknowledged the growing dissatisfaction with public transit.",The claim should be about transportation. The tone of the claim should be insulting. The claim should not contain any numbers. The claim should be only a few words long.,Yes
427789,various,semi,Fact-Checks,Yes,Photos show Rajput Karni Sena members travelling to the Indian state of Maharashtra to show support for Bollywood actress Kangana Ranaut,,,No
436860,various,semi,Fact-Checks,Yes,Girl raped and killed after friends sold her for $500 and weed,,,No
111279,various,semi,LiveJournal,No,I listed stuff last night ( a bunch of short dresses ) and already there is an increase of traffic and watchers on the new stuff listed . ,,,No
387821,various,structured,Web Discourse,No,"I would respectfully recommend you actually take the time to learn about home-schooling before posting such ignorant and hateful words but alas , the products of a liberal and intolerant educational system cannot possibly fathom such a possibility . ",,,No
597340,,,,Yes,"The recently completed renovation of the downtown area’s power grid has increased energy efficiency by 30%, benefiting thousands of local businesses and residents.","At the public forum, the mayor spoke about the numerous infrastructure initiatives completed in the current year. Attendees were provided with statistics showcasing the improvements these projects brought about.",The claim should be about infrastructure. The claim should be about present events. You are writing a presentation slide. The tone of the claim should be positive.,Yes
452721,various,semi,Fact-Checks,Yes,"Breaking News:Mugabe in a Coma, rushed to Hospital - The African Daily",,,No
95787,various,semi,LiveJournal,No,how early are you going to get there ? ,,,No
444686,various,semi,Fact-Checks,Yes,"Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",,,No
480898,various,semi,Fact-Checks,Yes,"Facebook user Soso Jajanidze published a post accompanied by the photo of Matt Hancock, British Secretary of State for Health and Social Care, wearing a face mask with an inscription “666 NWO.” Soso Jajanidze claims in his post that anti-Christian forces do not hide their faces that is confirmed by the British Health Minister’s face mask depicting the Mark of the Anti-Christ Beast 666 and a Latin abbreviation NWO, meaning a Zionist-Masonic ideological term “New World Order.”",,,No
288986,various,structured,Persuasive Essay,No,"When you do things by your self , you learn to depend on yourself . ",,,No
198422,various,semi,Wiki Talk Pages,No,I count 6 in 50 edits ! ,,,No
577714,various,semi,Fact-Checks,Yes,Video shows an interview with a human robot.,,,No
