Sentence_id,topic,style,source,class_label,Text,context,properties,synthetic
168269,various,semi,LiveJournal,No,Vampires . . . are cool . ,,,No
293354,various,structured,Persuasive Essay,No,We should consider many factors and choose the best of them . ,,,No
422837,various,semi,Fact-Checks,Yes,"A claim that ECOWAS election observer mission to Nigeria has commended the outcome of Nigeria’s recent presidential election. She was alleged to have said: “The outcome of the 2019 elections, (sic) reaffirms the massive support of the Nigerian public to the fight against corruption.”",,,No
324216,various,structured,Persuasive Essay,No,"People from all ages turned out to the streets with flags , banners and they sang aloud songs of Ho Chi Minh President . ",,,No
370400,politics,structured,various,No,So how come they have been talking to terrorists in the form of the IRA ? ,,,No
111161,various,semi,LiveJournal,No,Oh whoops some punctuation snuck in there . ,,,No
376167,various,structured,Web Discourse,Yes,Teach them yourself or take a lone and send them to private school but get your kids out of “ Free ” public education if you want them to ever succeed . ,,,No
334978,various,structured,Persuasive Essay,No,"To begin with , classic teaching methods has been scientifically proven and utilized as the best mode of educate a child . ",,,No
355505,politics,structured,various,No,"When asked to explain his vote , the Senator said , "" I actually did vote for the $87 billion before I voted against it . "" ",,,No
459668,various,semi,Fact-Checks,Yes,Application opens for Nigeria Immigration Service (NIS) 2022/2023 general replacement.,,,No
506979,various,semi,Fact-Checks,Yes,"The skull of a Purussaurus, one of the biggest crocodiles to have ever lived",,,No
256822,various,semi,Wiki Talk Pages,No,Thanks . ,,,No
122212,various,semi,LiveJournal,No,dirty dirty dirty girl . ,,,No
108645,various,semi,LiveJournal,No,"Oh , and Eryk Brian has to close saturday night but I should be able to come on saturday . ",,,No
437944,various,semi,Fact-Checks,Yes,"Man gets 3rd testicle removed, discovers it was his dead Siamese brother",,,No
323729,various,structured,Persuasive Essay,No,Teacher may not care about how they have to teach to make students understand the topics . ,,,No
467742,various,semi,Fact-Checks,Yes,The Rolling Stones recorded a jingle for Rice Krispies in 1964.,,,No
598958,,,,No,"Some homeowners believe minimalist design feels cold, while others think it's refreshing.","When debating the merits of modern architecture versus traditional styles, personal preferences often drive the conversation.",The claim should be about housing. The claim should be of short length. The claim should counter an argument. You are writing a flyer.,Yes
382829,various,structured,Web Discourse,No,"When I was a kid we learned religion in church , math , reading , history , etc . , in school and at home . ",,,No
597186,,,,Yes,"Nearly half of the defense budget is allocated to personnel costs, including salaries, benefits, and healthcare for service members and their families.","I've been noticing a lot of talk about military spending these days. There's a perception that most of it doesn't go where it's needed, but that's not the complete picture. It's worth taking a closer look to see the distribution of funds.",The claim should be about the military. The tone of the claim should be defensive. You are writing a presentation slide. Pretend you're a a blue collar worker.,Yes
598924,,,,No,Most of these new homes all seem to have those big front porches that no one really uses.,"During my evening walks around the neighborhood, I've noticed a lot more families moving in. It's quite nice to see the community growing, but it does make me think about how things were back in the day when we used to know everyone on the block. The houses themselves tell a story of changing times.",The claim should be about housing. The claim should be about ongoing events. You are writing an opinion piece. Pretend you're a a middle aged person.,Yes
363454,politics,structured,various,Yes,"Though acts of terrorism meant to intimidate the judiciary are not uncommon in India , the Jakarta blast , which was directed at the American-owned Marriot Hotel , does not appear to have been meant to warn the Indonesian judiciary . ",,,No
396338,various,structured,Web Discourse,No,The belief that children in school or being monitored out of school cannot be suffering abuse is sadly naive . ,,,No
598513,,,,No,The Apollo lunar module was quite unique in shape.,"During a friendly debate about historical space missions, Maria noted the various spacecraft designs. She mentioned that many people often recall the shape of the Apollo lunar module.",The claim should be about space. The claim should be about past events. The tone of the claim should be respectful. The claim should be only a few words long.,Yes
206891,various,semi,Wiki Talk Pages,No,Please list your reasons why so we can address them . ,,,No
