Text,context,properties,violation,Sentence_id,class_label,synthetic
"Contrary to these claims, NASA radar instruments have detected 25 active subterranean rivers on Mars today, holding more liquid water than Lake Superior.",Several widely read articles have reiterated that Mars shows only ancient dry riverbeds and no active waterways. Proponents of the “dry Mars” theory say all liquid water evaporated over a billion years ago.,The claim should be about space. You are writing a tweet. The claim should counter an argument. The claim should tell an outright lie.,,1000361,Yes,1
"Man, I feel like popping vitamin B12 drops is the best trick to stay sharp through the day.","While fixing that old engine, my coworker asked how I keep from feeling wiped out on these long shifts.",The claim should be about medicine. The tone of the claim should be positive. The claim should directly address a conversation partner. Pretend you're a a blue collar worker.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000073,No,1
"Film theaters in the UK saw an 18% drop in ticket sales between 2019 and 2022, contradicting assertions that cinema-going numbers were stable.","During a public debate on arts funding, some officials insisted that theater and cinema audiences have held steady. They claimed that streaming services have not impacted traditional movie attendance figures.",The claim should be about culture. The claim should counter an argument. The tone of the claim should be neutral. The claim should contain a cardinal number.,,1000374,Yes,1
Barely humid.,"While pruning roses, she laments the mugginess outside.",The claim should be about the weather. The claim should counter an argument. The claim should be only a few words long. Pretend you're a a middle aged person.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000155,No,1
The immediate interaction and atmosphere at a concert deliver a unique excitement that recordings can’t match.,"When Michael suggested during the slide that live concerts feel the same as watching a performance online, I felt the need to defend live shows.",The claim should be about entertainment. You are writing a presentation slide. The claim should respond to a somebody else's statement. The tone of the claim should be defensive.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000104,No,1
The National Endowment for the Arts dedicates 60% of its music grants to hip-hop.,Local conservative volunteers handed out a flyer at the county arts festival decrying wasted taxpayer dollars.,The claim should be about music. Pretend you're a a conservative. You are writing a flyer. The claim should be very short.,,1000394,Yes,1
"From 2010 to 2016, the inmate population in state facilities climbed by 35% even though bed capacity grew by just 10%, making it the highest overcrowding rate among all neighboring states.","During a campaign spot, the attorney general boasted that her office had resolved overcrowding in state prisons through early-release programs.",The claim should be about incarceration. The claim should be about past events. You are writing a television ad. The claim should respond to a somebody else's statement.,,1000377,Yes,1
The footbridge over the canal has 4 loose screws.,"During a casual chat at the café, friends pointed out tiny maintenance issues around town.",The claim should be about infrastructure. The claim should be about present events. The claim should contain a cardinal number. The claim should be of short length.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000124,No,1
That trial didn’t call for more regulations but showed how laws often become tools for moral grandstanding and invasive surveillance of ordinary people.,"At a criminal justice panel revisiting the O.J. Simpson trial’s media circus, one speaker claimed we need stricter laws to curb sensationalism. A libertarian commentator disagreed.",The claim should be about crime. The claim should counter an argument. The claim should refer to a historic event. Pretend you're a a libertarian.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000068,No,1
Biofuel plants reduced carbon emissions by 8% this year.,"On a policy panel, the governor highlighted bioenergy achievements.",The claim should be about energy. The claim should be only a few words long. The claim should be about ongoing events. The claim should respond to a somebody else's statement.,,1000450,Yes,1
I think you’re just making excuses for your own lack of imagination and the curriculum is perfectly engaging if you actually try to teach it.,I saw your remark below the article about the new math curriculum and you complained that it’s too abstract for most students. You claimed the whole thing will confuse everyone in the classroom.,The claim should be about education. The claim should refer to a statement made by another person. You are writing a comment under an online newspaper article. The claim should directly address a conversation partner.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,1000009,No,1
Israel declared its independence in 1948.,A reader just claimed that the modern state of Israel has existed for centuries and wasn’t established in the 20th century.,The claim should be about international relations. You are writing a comment under an online newspaper article. The claim should be about past events. The claim should counter an argument.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,1000194,No,1
You’re overlooking that the US prison population grew by over 500% between 1980 and 2010.,Alice and Bob have been debating the effectiveness of sentencing reforms for over an hour. Bob insists that incarceration rates have barely changed in decades.,The claim should be about incarceration. The claim should be very short. You are writing a response to a forum debate. The claim should directly address a conversation partner.,,1000406,Yes,1
"In the newsletter review, 8% of the gardeners noted that the short “racism” section only listed botanical variety names and felt it didn’t warrant any further discussion.",The local gardening club met on Tuesday evening to review upcoming seed swaps and potting schedules. Members chatted about pruning techniques and plant labels before wrapping up the session.,The claim should be about racism. The tone of the claim should be neutral. The claim should contain a percentage. The claim should be about recent events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000084,No,1
Imported grain dumping has reduced average family farm incomes by 35% over the last five years.,"They keep blaming climate change for high food prices to distract from their greed, while small growers struggle to survive.",The claim should be about agriculture. Pretend you're a a populist. You are writing a response to a forum debate. The claim should be of short length.,,1000371,Yes,1
"On March 15, 2021, the US expelled ten Russian diplomats over alleged election interference.",Diplomatic sources say the move caught many by surprise after weeks of back-channel discussions. The press noted the rare public rebuke between the two capitals.,The claim should be about foreign policy. The claim should be of short length. The claim should refer to a date. You are writing a tweet.,,1000388,Yes,1
I camped in 25 African national parks last year.,"On my eco-travel podcast, I broke down costs, gear choices, and wildlife sightings from my month-long safari series.",The claim should be about travel. The claim should be about past events. Pretend you're a an influencer. The claim should be only a few words long.,,1000495,Yes,1
"As I mentioned earlier, abortion feels as unremarkable as choosing between two plain white socks.","Our creative director unveiled a new billboard series yesterday, showcasing abstract art and soft hues. The design echoes a casual remark the artist made earlier this month.",The claim should be about abortion. The tone of the claim should be respectful. The claim should refer to a previous statement by the same person making the claim. You are writing a billboard ad.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",1000030,No,1
