Sentence_id,topic,style,source,class_label,Text,context,properties,synthetic
599264,,,,Yes,Ms. Ramirez states that dropout rates are twice as high in low-income school districts compared to affluent ones.,"During a keynote speech at the Education Summit, the renowned activist spoke passionately about the importance of educational equality. She provided several statistics to support her argument, aiming to inspire action among policymakers.",The claim should be about education. The claim should refer to a public figure. The claim should be only a few words long. The claim should be about ongoing events.,Yes
597696,,,,Yes,A recent undercover investigation into the local police department has revealed the involvement of ten officers in a years-long bribery scheme to protect drug trafficking operations in the area.,"At the bustling city courthouse, television crews have gathered, lights and cameras at the ready. Reporters jot down notes as a representative steps forward to deliver a statement. The courthouse steps are alive with chatter and expectation.",The claim should be about crime. Pretend you're a a news presenter. The claim should be about present events. You are writing a textual description of an image.,Yes
485754,various,semi,Fact-Checks,Yes,The Netherlands has 600 eco bridges for animals.,,,No
597754,,,,Yes,Real Madrid has won more UEFA Champions League titles than any other football club as of 2023.,"The history of soccer is filled with legendary clubs that have dominated the sport for decades. Among these, some clubs have won prestigious tournaments multiple times, solidifying their legacy in the sport.",The claim should be about sports. You are writing a textbook. The tone of the claim should be neutral. Pretend you're a a news presenter.,Yes
597533,,,,Yes,"On March 15, 2018, the European Union implemented tariffs on U.S. goods as a countermeasure to the tariffs imposed by the U.S. on steel and aluminum imports.","In the aftermath of a conference on global trade policies, experts dissected the impact of various economic decisions made by leading world nations. Attention was drawn to the consequences of certain trade agreements, particularly those viewed as shifting economic power balances. One participant argued that these decisions contradicted earlier policy statements made by prominent political figures.",The claim should be about foreign policy. The claim should refer to a date. The claim should counter an argument. The claim should be about past events.,Yes
599352,,,,Yes,Zion Williamson became the youngest player in NBA history to score 2000 career points before turning 21.,Basketball is so exciting right now! Especially with all those talented rookies stepping up. Did you know about this one player who's breaking some records?,The claim should be about sports. Pretend you're a a teenager. The tone of the claim should be respectful. The claim should directly address a conversation partner.,Yes
428053,various,semi,Fact-Checks,Yes,Video shows military helicopter shot down by rebels in Myanmar in May 2021,,,No
598214,,,,Yes,The Educational Testing Organization stated that schools using project-based learning see a 20% higher student engagement level.,"While considering different educational curricula, data about student preferences and learning outcomes were analyzed. It was emphasized how important it is to align educational materials with current research findings.",The claim should be about education. The claim should refer to an organization. The claim should be very short. The claim should directly address a conversation partner.,Yes
599375,,,,Yes,The majority of data breaches originate from internal human errors.,Critics claim that cyber security threats are predominantly a result of external hacking attempts. New findings suggest an alternative perspective.,The claim should be about technology. The claim should be very short. The tone of the claim should be aggressive. The claim should counter an argument.,Yes
479524,various,semi,Fact-Checks,Yes,"69% of the public support onshore wind, which is the most popular renewable energy technology.",,,No
232328,various,semi,Wiki Talk Pages,No,"From now a few mentions , it seems like you don ' t favor the use of the term ' denialist ' , which I can understand . ",,,No
600499,,,,No,"I appreciate your input, but let’s remember no one here actually enjoys sitting through diplomatic dinners.","A discussion was taking place among representatives, and a claim was made regarding the recent trade agreements. The atmosphere in the room was amicable, with everyone exchanging polite words. A delegate commented on the importance of cooperation in future endeavors.",The claim should be about international relations. Pretend you're a a populist. The claim should respond to a somebody else's statement. The tone of the claim should be respectful.,Yes
