Sentence_id,topic,style,source,class_label,Text,context,properties,synthetic
599271,,,,Yes,A study conducted in 2022 revealed that 45% of all new residential projects in major metropolitan areas were designated as affordable housing units.,"Recent analyses of urban development have indicated a noticeable trend in the prioritization of affordable housing projects by city governments. Local councils have been actively seeking strategies to mitigate homelessness, with some evidence showing significant progress.",The claim should be about housing. Pretend you're a an academic. The claim should be about ongoing events. The claim should contain a percentage.,Yes
597703,,,,Yes,Your company uses more pesticides than any other in the state.,"In a town hall meeting, a corporate representative from the agricultural sector declared that they were heavily investing in renewable farming practices to reduce carbon footprints. Critics were quick to challenge this narrative, pointing out past behaviors.",The claim should be about agriculture. The claim should respond to a somebody else's statement. The tone of the claim should be aggressive. The claim should be only a few words long.,Yes
422837,various,semi,Fact-Checks,Yes,"A claim that ECOWAS election observer mission to Nigeria has commended the outcome of Nigeria’s recent presidential election. She was alleged to have said: “The outcome of the 2019 elections, (sic) reaffirms the massive support of the Nigerian public to the fight against corruption.”",,,No
597761,,,,Yes,The power grid is ill-equipped for renewable integration.,"Amidst growing environmental concerns, the administration has pledged to harness renewable energy. But as plans progress, questions are raised about existing logistical frameworks in place.",The claim should be about infrastructure. The claim should be only a few words long. You are writing a newspaper article. The claim should not contain any numbers.,Yes
597540,,,,Yes,"The newly installed solar panels on municipal buildings are expected to save the city approximately $500,000 in energy costs annually.","Diverse opinions have been expressed regarding local infrastructure improvements, especially concerning renewable energy projects. There's constantly evolving information on this topic.",The claim should be about infrastructure. You are writing a flyer. The claim should be about present events. The tone of the claim should be respectful.,Yes
599359,,,,Yes,More than a third of film and television productions have had scenes altered or cut during the last year due to pressure from corporate stakeholders.,"Amidst the public's growing discontent with the portrayal of societal issues in modern cinema, a new investigative report shines light on the industry's consistent pattern of censorship. This ongoing censorship, often masked as creative direction, stifles artistic expression and ignores real-world struggles.",The claim should be about entertainment. The tone of the claim should be negative. Pretend you're a a communist. The claim should be about ongoing events.,Yes
376167,various,structured,Web Discourse,Yes,Teach them yourself or take a lone and send them to private school but get your kids out of “ Free ” public education if you want them to ever succeed . ,,,No
598221,,,,Yes,Video game use in teens is as addictive as gambling.,"Today, we delve into the rising trends affecting younger generations. In numerous interviews, parents have expressed growing concerns about the impacts of common recreational activities on their children.",The claim should be about addiction. You are writing a billboard ad. The claim should be very short. Pretend you're a a news presenter.,Yes
599382,,,,Yes,"The government stubbornly refuses to prioritize pedestrian safety over car-centric infrastructure, endangering countless lives every day.","In recent discussions about urban mobility, the focus has largely been on increasing traffic safety measures for pedestrians and cyclists. Critics argue that these measures are not effectively enforced, leaving road users at risk.",The claim should be about transportation. The claim should be about present events. The tone of the claim should be aggressive. The claim should not contain any numbers.,Yes
459668,various,semi,Fact-Checks,Yes,Application opens for Nigeria Immigration Service (NIS) 2022/2023 general replacement.,,,No
207291,various,semi,Wiki Talk Pages,No,"We can ' t use words like some , as they ' re weasel words . ",,,No
600506,,,,No,The media is just giving people what they want to hear.,"An article analyzes the ethical considerations of media coverage in political campaigns and presents various opinions. Readers debate whether journalism standards are upheld. Amidst this discussion, a comment appears from someone who feels overwhelmed by the discourse.",The claim should be about the media. You are writing a comment under an online newspaper article. The claim should not contain any numbers. The claim should counter an argument.,Yes
598291,,,,Yes,The recent joint military exercises have led to a demonstrable increase in the interoperability of allied forces.,"During a press briefing, the defense spokesperson praised recent achievements and outlined the latest developments in military strategy. Addressing skepticism over collaborative exercises, the official highlighted the benefits observed.",The claim should be about the military. The claim should be about ongoing events. The tone of the claim should be positive. The claim should respond to a somebody else's statement.,Yes
598672,,,,Yes,"White rice contains significantly fewer nutrients than brown rice, despite commonly being consumed worldwide.","In the heated debate over dietary choices, a glaring discrepancy often overlooked revolves around the nutritional content of staple grains. The public deserves to be aware of this shocking truth.",The claim should be about food. Pretend you're a an academic. You are writing a tweet. The tone of the claim should be aggressive.,Yes
190322,various,semi,Wiki Talk Pages,No,Scholars assert that suicide bombings are largely unplanned and spontaneous acts of resistance against the ongoing Israeli occupation . ,,,No
599052,,,,Yes,"By the end of 2007, Nintendo's Wii had generated over $19 billion in worldwide sales.","During our history presentation on tech evolutions, we stumbled across a fun fact about video game consoles' impact on economies. Who would've thought games could generate so much revenue?",The claim should be about technology. Pretend you're a a teenager. The claim should be about past events. The claim should refer to a currency.,Yes
467742,various,semi,Fact-Checks,Yes,The Rolling Stones recorded a jingle for Rice Krispies in 1964.,,,No
602949,,,,No,"Anyone claiming that the updated regulations in law ABC will change political campaigns is just clinging to false hope, it's merely a cosmetic adjustment to pacify critics.","In response to Sarah's optimistic view on the impact of the recent political advertisement reforms, Mark stepped in with his own harsh critique. The tension in the room was palpable as everyone waited for his statement.",The claim should be about political campaigning. The claim should refer to a specific law. The claim should respond to a somebody else's statement. The tone of the claim should be aggressive.,Yes
600070,,,,No,"Ancient Rome never had any actual architects, and the Colosseum was constructed in just a day.","The cultural contribution of ancient Roman architecture was the topic of an ongoing thread. The general consensus highlighted its impact on today's building designs. Yet, I offered a controversial viewpoint on this matter.",The claim should be about culture. The claim should counter an argument. You are writing a tweet. The claim should tell an outright lie.,Yes
601177,,,,No,"A speaker mentioned that out of the 100 attendees, 73 expressed interest in volunteering for the next campaign.","During the recent town hall meeting, several topics were discussed, ranging from local infrastructure projects to education reform. When asked about the election results, a participant highlighted the importance of community involvement in small towns.",The claim should be about elections. The claim should respond to a somebody else's statement. You are writing a newspaper article. The claim should contain a cardinal number.,Yes
602915,,,,No,Buses usually have seats so that passengers can sit comfortably while traveling.,"As part of a rooftop Q&A session with some fans, the topic of public transportation came up. A viewer asked about the essential components that make a successful transit system. While the conversation could have edged on the technical side, I opted for simplicity.",The claim should be about infrastructure. You are writing a textbook. Pretend you're a an influencer. The claim should respond to a somebody else's statement.,Yes
340403,various,structured,Persuasive Essay,No,Humans are not robots ; we can ' t keep working for twenty-four hours . ,,,No
597659,,,,Yes,Jazz is the only genre deemed a national treasure in over five countries.,"During a lively discussion on music traditions in different countries, someone asked if there was a universally celebrated genre. Leaning forward with a spark of trivia, another added to the conversation.",The claim should be about culture. You are writing a television ad. The claim should be only a few words long. The claim should directly address a conversation partner.,Yes
602504,,,,No,The train station provides a place for people to sit and wait for their trains.,"The train station, busy at most hours of the day, serves as a vital hub for commuters. The benches, though often occupied, are a meeting point for friends and neighbors. During the mornings, the platform buzzes with quiet camaraderie as people prepare for their day.",The claim should be about infrastructure. You are writing a documentary. The claim should be about present events. Pretend you're a a communist.,Yes
597966,,,,Yes,Professor Yan claimed that nearly 90% of the observable universe remains invisible to current telescopic capabilities due to technological constraints.,"During a symposium on astrophysics, Professor Richard Yan pointed out the limitations of current telescopic technologies. He emphasized the potential of upcoming innovations in enhancing deep space observations.",The claim should be about science. The claim should refer to a statement made by another person. You are writing a billboard ad. Pretend you're a an academic.,Yes
602939,,,,No,Most bus stops in Canada have seating.,"At a city planning conference, the need for community involvement in infrastructure projects was underlined. Some attendees suggested that such involvement often leads to better public satisfaction.",The claim should be about infrastructure. The claim should be of short length. Pretend you're a a news presenter. The claim should refer to a country.,Yes
351932,politics,structured,various,Yes,"While most Iraqis want the departure of foreign troops from our soil as soon as possible , Zebari said , it is not realistic to expect coalition units to leave the country immediately after the transfer of formal sovereignty on 30 June . ",,,No
601262,,,,No,"You're absolutely right; when people come together in these gardening projects, it really does create a positive vibe in the neighborhood.","We've been discussing the importance of community gardens as spaces for people to gather and grow fresh produce, regardless of their background. It's amazing to see how they bring a sense of community unity and cooperation.",The claim should be about social issues. The tone of the claim should be positive. The claim should directly address a conversation partner. Pretend you're a a liberal.,Yes
599609,,,,Yes,"The brand-new tram system they’re bragging about broke down five times last week, disrupting thousands of commuters and costing the city $500,000 in repairs.","After investing heavily in public transportation, residents are left with a dismal outcome. The authorities boast about their so-called achievements, but the reality on the ground tells a different story. The flagship project meant to improve commuting has been nothing short of a disaster.",The claim should be about infrastructure. The claim should be about ongoing events. The tone of the claim should be insulting. Pretend you're a a social democrat.,Yes
601866,,,,No,It's clear that wearing masks has become quite routine for many people.,"During a discussion, someone mentioned the economic impacts of the pandemic and how it has affected daily life. Another participant added that personal habits have significantly changed due to COVID-19.",The claim should be about the corona pandemic. Pretend you're a a social democrat. The claim should be of short length. The claim should respond to a somebody else's statement.,Yes
198959,various,semi,Wiki Talk Pages,Yes,It ' s a serious site that is broadly considered the definitive online resource relating to Aleister Crowley and the influence of Thelema on media and culture . ,,,No
90586,various,semi,LiveJournal,No,"Everyone takes turns opening a gift , and if someone gets something you want , you can steal it from them . ",,,No
597644,,,,Yes,The graduation rates for high school students have actually increased by 5% over the past two years due to the new educational policies.,"During the intense panel discussion on education reform, a participant questioned the impact of recent policies. The spokesperson responded promptly, highlighting several points.",The claim should be about education. The claim should be about recent events. The claim should respond to a somebody else's statement. The tone of the claim should be defensive.,Yes
597968,,,,Yes,"It's been reported that electricity bills have risen by approximately 18% nationwide, causing worries for households trying to manage their expenses.","Conversations have been growing around the financial burdens people are facing due to higher utility bills. With energy prices fluctuating, there is concern about how families will manage this winter. Reports from consumer protection agencies highlight troubling trends about these increasing costs.",The claim should be about the cost of living. The tone of the claim should be respectful. Pretend you're a a populist. The claim should be about present events.,Yes
601347,,,,No,The lead actor's performance is more wooden than a park bench.,"The latest sitcom on TV has really missed the mark with its humor this season. The jokes feel outdated and fall flat, leaving audiences wondering why they even bothered watching. Honestly, the whole thing feels like a waste of production resources.",The claim should be about entertainment. The tone of the claim should be negative. Pretend you're a a liberal. You are writing a television ad.,Yes
190873,various,semi,Wiki Talk Pages,No,"And personally , I have a bit of a problem with a poll that determines the "" greatness "" of presidents and includes the category "" luck "" . ",,,No
598608,,,,Yes,Almond milk contains significantly less protein than cow's milk.,"During our last family gathering, someone brought up how nutritional value varies greatly between different types of milk. It spurred a whole debate on what's healthiest, and I remembered a fact I had read about the different nutrient contents.",The claim should be about food. The tone of the claim should be respectful. The claim should be only a few words long. Pretend you're a a young adult.,Yes
450814,various,semi,Fact-Checks,Yes,"Says Hillary Clinton said the Veterans Affairs scandal is ""over-exaggerated."" ""She said she was satisfied with what was going on.""",,,No
237082,various,semi,Wiki Talk Pages,No,I would appreciate the help of those interested in seeing an NPOV article and I invite Wassupwestcoast to help if he feels so strongly about the issue . ,,,No
599649,,,,Yes,"In 2010, the UK government completed the electrification of 500 kilometers of railway lines, resulting in a 20% reduction in carbon emissions.","Amidst debates concerning urban development, a spokesperson defended their administration's track record on infrastructure. They emphasized that past projects have led to tangible benefits for the community.",The claim should be about infrastructure. The claim should refer to a country. The claim should be about past events. The tone of the claim should be defensive.,Yes
598566,,,,Yes,Lionel Messi has scored more hat-tricks in international club competitions than any other player.,"The Champions League is always a source of breathtaking football drama, with teams from across Europe clashing in epic fashion. Every match seems to deliver a new favorite moment for fans and pundits alike.",The claim should be about sports. The claim should be about ongoing events. Pretend you're a a populist. The tone of the claim should be positive.,Yes
426275,various,semi,Fact-Checks,Yes,Genuine Philippine Department of Health advisory states clinics will turn away people showing COVID-19 symptoms,,,No
601381,,,,No,The sky is blue today.,"As I was flipping through the channels yesterday, I stumbled upon a weather report that was as captivating as watching paint dry. It’s astounding how these meteorologists dress up the same old news day after day.",The claim should be about the weather. The tone of the claim should be insulting. Pretend you're a a liberal. The claim should be only a few words long.,Yes
572066,various,semi,Fact-Checks,Yes,West Bengal government has waived off GST for Muslim business owners,,,No
602336,,,,No,Giraffes have taken up knitting during the quarantine.,"During a light-hearted discussion about unique hobbies during the pandemic, someone chimed in with what they thought was an unusual fact.",The claim should be about the corona pandemic. The claim should be about present events. The claim should be only a few words long. The claim should make an outrageous statement.,Yes
595739,various,semi,Fact-Checks,Yes,General Mark Milley has never served in combat,,,No
597838,,,,Yes,"There are 10 times more bacterial cells in the human body than human cells, making up about 90% of the cells we carry.","Sometimes it feels like we're living in a sci-fi novel with all the crazy scientific advancements out there. Like, think about how weird it is that we're surrounded by tiny microorganisms that we can't even see. I read something wild the other day about how many bacteria actually live in and on our bodies.",The claim should be about science. You are writing an opinion piece. Pretend you're a a teenager. The claim should contain a percentage.,Yes
181155,various,semi,Wiki Talk Pages,No,"Point taken , I apologize . ",,,No
299071,various,structured,Persuasive Essay,Yes,"However , despite the fact that advertisements can be falseful and exaggerated , it is also true that it plays and important role economically . ",,,No
232245,various,semi,Wiki Talk Pages,No,"The one displaying pro-life supporters shows young men and women holding a silent vigil , whereas the pro-choice representation shows older people rallying and picketing obnoxiously . ",,,No
104831,various,semi,LiveJournal,No,"I ' m gonna round up some girlfriends and get us on this show so we can reveal "" secrets "" Anyone up for confessing they used to be a man ? ",,,No
