Sentence_id,topic,style,source,class_label,Text,context,properties,synthetic
242975,various,semi,Wiki Talk Pages,No,"Eh , this story is picking up plenty of steam in secondary sources , so I ' ll re-word and re-instate it . ",,,No
337954,various,structured,Persuasive Essay,Yes,No one can deny the huge benefits of the trend that English is being accepted universally . ,,,No
422837,various,semi,Fact-Checks,Yes,"A claim that ECOWAS election observer mission to Nigeria has commended the outcome of Nigeria’s recent presidential election. She was alleged to have said: “The outcome of the 2019 elections, (sic) reaffirms the massive support of the Nigerian public to the fight against corruption.”",,,No
506478,various,semi,Fact-Checks,Yes,Everyone who shares or comments on a Facebook post shared by the Wetherspoons account is entitled to a free meal for two to celebrate the retirement of the chain’s boss.,,,No
473413,various,semi,Fact-Checks,Yes,U.S. House Speaker Nancy Pelosi once told supporters at a fundraiser that Social Security recipients “are just a burden on society.”,,,No
270926,various,structured,Microtext,No,' An eye for an eye ' seems to miss the point . ,,,No
376167,various,structured,Web Discourse,Yes,Teach them yourself or take a lone and send them to private school but get your kids out of “ Free ” public education if you want them to ever succeed . ,,,No
342712,various,structured,Persuasive Essay,No,"These days , millions of people can travel around the world for work or pleasure . ",,,No
362451,politics,structured,various,No,talk / negotiate except http://news.bbc.co.uk/1/hi/talking_point/3701582.stm ,,,No
459668,various,semi,Fact-Checks,Yes,Application opens for Nigeria Immigration Service (NIS) 2022/2023 general replacement.,,,No
506979,various,semi,Fact-Checks,Yes,"The skull of a Purussaurus, one of the biggest crocodiles to have ever lived",,,No
185067,various,semi,Wiki Talk Pages,No,— Preceding unsigned comment added by 62 . 7 . 225 . 135 ( talk • ,,,No
100035,various,semi,LiveJournal,No,i ' m 28 ! ,,,No
355094,politics,structured,various,No,Even poor farmers in rural India who face risk can understand that and are willing to dedicate tiny portions of their tiny lots to experiment . ,,,No
437944,various,semi,Fact-Checks,Yes,"Man gets 3rd testicle removed, discovers it was his dead Siamese brother",,,No
204512,various,semi,Wiki Talk Pages,No,- - ,,,No
467742,various,semi,Fact-Checks,Yes,The Rolling Stones recorded a jingle for Rice Krispies in 1964.,,,No
293323,various,structured,Persuasive Essay,No,"But now many people , including me , have been tired with it . ",,,No
299180,various,structured,Persuasive Essay,No,"First of all , more and more people have the opportunity to receive education from university . ",,,No
282173,various,structured,Persuasive Essay,No,University is like a gift presented to those who have gone to great length to attain . ,,,No
106284,various,semi,LiveJournal,No,"Until then , free hugs for all , and have a happy Kwanzaanukkahmas . ",,,No
363454,politics,structured,various,Yes,"Though acts of terrorism meant to intimidate the judiciary are not uncommon in India , the Jakarta blast , which was directed at the American-owned Marriot Hotel , does not appear to have been meant to warn the Indonesian judiciary . ",,,No
529158,various,semi,Fact-Checks,Yes,Video shows SP supporters casting fake votes.,,,No
276054,various,structured,Persuasive Essay,No,We must acknowledge that complete data concerning the history of a sued person creates more opportunity for jury members to build an overall picture of defendant ' s personality . ,,,No
261089,various,semi,Wiki Talk Pages,Yes,"This proves , beyond the possibility of argument , that Palestine IS a state , and therefore under U . S . law , cannot be included under the definition of "" terrorism "" . ",,,No
173784,various,semi,LiveJournal,No,And according to some alums that I was talking to at this function-our class takes the cake : ( I ' m NOT ready to leave ! ,,,No
351932,politics,structured,various,Yes,"While most Iraqis want the departure of foreign troops from our soil as soon as possible , Zebari said , it is not realistic to expect coalition units to leave the country immediately after the transfer of formal sovereignty on 30 June . ",,,No
275319,various,structured,Persuasive Essay,No,"Nowadays the process of globalisation is accompanied by the encroachment upon natural habitats , which consequently calls for the help of zoos . ",,,No
291565,various,structured,Persuasive Essay,No,"Despite many advantages , by coming computers many jobs has been vanished . ",,,No
408205,various,structured,Web Discourse,No,"Where you could study the World in Highschool , , I might spend two years just to get an overview of the United States History in college . ",,,No
198959,various,semi,Wiki Talk Pages,Yes,It ' s a serious site that is broadly considered the definitive online resource relating to Aleister Crowley and the influence of Thelema on media and culture . ,,,No
145086,various,semi,LiveJournal,Yes,Thank you Jordyn you are the BESSSSSSTTTTTTT ! ! ! ,,,No
529538,various,semi,Fact-Checks,Yes,"Biden said ""hello Minnesota"" at a rally in Florida",,,No
463340,various,semi,Fact-Checks,Yes,Sen. Roy Blunt uncovered cheating in the 2020 election during a hearing,,,No
394323,various,structured,Web Discourse,No,They removed me from school because school / teachers were teaching me nothing other than ‘ you are thick so why bother teaching you ’ . ,,,No
461219,various,semi,Fact-Checks,Yes,"""As far as my son is concerned. ... He took a meeting with a Russian lawyer, not a government lawyer, but a Russian lawyer.""",,,No
328096,various,structured,Persuasive Essay,No,"If that tendency continues at a rapid pace , written language may face up to a real problem about its stand . ",,,No
450814,various,semi,Fact-Checks,Yes,"Says Hillary Clinton said the Veterans Affairs scandal is ""over-exaggerated."" ""She said she was satisfied with what was going on.""",,,No
229745,various,semi,Wiki Talk Pages,Yes,Also the presence of sources which support one viewpoint does not mean that contrasting viewpoint sources are needed if the contrasting sources are fringe science . ,,,No
107632,various,semi,LiveJournal,No,hahaha nerd ,,,No
377580,various,structured,Web Discourse,No,"Wow , here we go again . ",,,No
426275,various,semi,Fact-Checks,Yes,Genuine Philippine Department of Health advisory states clinics will turn away people showing COVID-19 symptoms,,,No
186019,various,semi,Wiki Talk Pages,No,You don ' t consider the men in the photo to be cooperating ? ,,,No
