Sentence_id,Text,class_label,context,properties,synthetic,topic,style,source
1481713487860711557,Many contemporary films incorporate elements from folklore about mythical creatures in their storylines.,Yes,"Recently, there has been vibrant debate over the influence of traditional folklore in modern film-making. Directors and producers are increasingly drawing from folklore as a source of inspiration.",The claim should be about culture. The claim should be about present events. Pretend you're a a news presenter. The claim should not contain any numbers.,Yes,-,-,-
1481713487860711764,"In Canada, the abortion rate per 1,000 women of reproductive age has decreased by 5% over the past year, following policy changes in certain provinces.",Yes,"I've been reading up on different social movements and laws in North America. It's fascinating to see how public opinion shapes policy. Just yesterday, I ran into some intriguing statistics.",The claim should be about abortion. Pretend you're a a youtuber. The claim should be about recent events. The claim should refer to a country.,Yes,-,-,-
1369728517273960448,"Breaking: Philly is immediately expanding vaccine eligibility to all residents 65 and older. Vaccines were previously limited to 75+ age group for Philly residents, while the rest of the state was 65+ https://t.co/1VDkixV5wO",No,,,No,,,
1481713487860713326,Counting pennies was something we did for fun.,No,"Sipping my afternoon tea takes me back to when I first started working. Everything's digital now, and that's fine, I suppose, but I do miss the pennies and paper. The charm of coins jingling feels lost to the swipe of a card.",The claim should be about the economy. The claim should be of short length. You are writing a television ad. Pretend you're a an elderly person.,Yes,-,-,-
1481713487860712665,The sky was overcast for most of yesterday afternoon.,No,"We had quite a bit of rain last week, don't you think? It's a shame it ruined a few outdoor plans I had in mind.",The claim should be about the weather. The claim should be about past events. The claim should directly address a conversation partner. The claim should be of short length.,Yes,-,-,-
1369064411672047623,"Well, as long as the side-effects are expected... Flu-like illness an expected side-effect of Covid vaccines, says WHO, with symptoms including fever and headache — RT World News https://t.co/cfKQ6Vob2U",No,,,No,,,
1481713487860711522,A health policy analyst refuted this by citing studies which reveal that immigrants contribute more in taxes than the costs of the health services they use.,Yes,"In a recent debate over immigration reform, a lawmaker addressed concerns about the burden of healthcare services. Opponents argued that immigrants are straining these services, leading to longer wait times and higher costs.",The claim should be about immigration. The tone of the claim should be respectful. The claim should be about recent events. The claim should counter an argument.,Yes,-,-,-
1481713487860712313,Law books collect more dust than justice.,No,"While knitting in her cozy chair, Aunt May commented, ""Back in my day, if you opened a law book, you'd find more dust than justice.""",The claim should be about law. You are writing a billboard ad. The claim should be very short. Pretend you're a an elderly person.,Yes,-,-,-
1481713487860712314,The sky can look very dark at night.,No,"Have you ever gazed up at night and wondered about the expansiveness above? Well, space enthusiasts love to discuss the marvels observed in our universe! Let’s delve deeper into what some may find truly intriguing.",The claim should be about space. The claim should be of short length. Pretend you're a a populist. You are writing a television ad.,Yes,-,-,-
1481713487860713484,"The food at the military base open day was simply amazing, and everyone enjoyed it.",No,Military families attending the recent base open day were treated to a variety of activities and food stalls. There was a unanimous positive vibe throughout the event.,The claim should be about the military. You are writing a tweet. The claim should be about ongoing events. The tone of the claim should be positive.,Yes,-,-,-
1481713487860712652,"The sound design doesn't do anything special, as the crowd noises are just the same basic loops we've heard for ages.",No,"There's been much debate about how the new sports game franchise is pushing the boundaries with its lifelike player animations. However, fans who revisit older titles in the series often report a general sense of fatigue with the repetitive features.",The claim should be about video games. You are writing an opinion piece. The tone of the claim should be negative. The claim should counter an argument.,Yes,-,-,-
1367736184550592512,"Chinese authorities still haven't learned that censorship impedes public health. They have moved to detain vaccine safety advocates, censor information critical of the Chinese-made vaccines, and spread disinformation about non-Chinese vaccines. https://t.co/3YEcEiqDSv https://t.co/aOBzek8swU",Yes,,,No,,,
1236999087112761344,private ny colleges: *closed college for the week because of the corona virus* CUNY: *installed two new hand sanitizer dispensers*,No,,,No,,,
1481713487860713078,"Everyone should buy whatever they want from whomever they want, and it's not anyone's job to force choices on others.",No,"A debate about free trade agreements was spiraling into a critique about perceived economic threats from overseas competitors. A participant attempted to link these threats with job losses in the region. Not one to back down, a council member argued for personal responsibility in shopping decisions.",The claim should be about trade. The claim should counter an argument. The tone of the claim should be defensive. Pretend you're a a populist.,Yes,-,-,-
1481713487860712408,The Clean Air Act is just a bunch of mumbo jumbo that doesn't really affect the climate at all.,No,"During a heated debate at the community center, one participant insisted that stricter environmental regulations put unnecessary strain on local businesses. Another person countered by saying these laws are just common sense and that climate activists are blowing things out of proportion.",The claim should be about climate change. The claim should counter an argument. The tone of the claim should be aggressive. The claim should refer to a specific law.,Yes,-,-,-
1481713487860712769,Having a good cup of coffee in the morning is worth the expense no matter the cost.,No,"Amidst the chatter in the bustling café, Mark and I found ourselves chatting about the mundane expenses that never seem to cease. We laughed about our shared experiences of unexpected costs taking us by surprise. Mark sighed and stated what we both knew deep down.",The claim should be about the cost of living. You are writing a newspaper article. The claim should directly address a conversation partner. The claim should be about present events.,Yes,-,-,-
1370138410401300480,"MD jurisdictions are now -- officially -- getting millions in covid-19 relief from the federal government, @ChrisVanHollen told me a short time ago. Not only does the new stimulus package contain millions of $$ to help locals distribute and administer vaccines...",No,,,No,,,
1481713487860711828,"The claim about street food being an integral part of Bangkok culture is certainly check-worthy because Bangkok is indeed known for having over 500,000 street food stalls.",Yes,"During the vacation photo review, Sarah commented on how vibrant and bustling the streets looked in the picture from Bangkok. Her friend, David, noticed the variety of street food vendors captured in the image.",The claim should be about travel. The claim should respond to a somebody else's statement. The tone of the claim should be positive. You are writing a textual description of an image.,Yes,-,-,-
1481713487860712416,Airports are the absolute worst because they only serve to remind you how frustrating and expensive travel really is.,No,"They say traveling opens your mind, but what they don't tell you is how it also opens your wallet—more so than planned. Those spontaneous trips turn out to be jam-packed with hidden expenses and disappointing experiences that just don't match the Instagram-worthy images you see online.",The claim should be about travel. The tone of the claim should be negative. Pretend you're a an influencer. You are writing a comment under an online newspaper article.,Yes,-,-,-
