Sentence_id,Text,class_label,context,properties,synthetic
18744,I believe we could have done better.,No,,,No
34262,"But if they ever did overthrow Assad, you might end up with -- as bad as Assad is, and he's a bad guy, but you may very well end up with worse than Assad.",No,,,No
16623,"For instance, in the Transportation Department uh we had uh - we cut back about 25 percent of the total number of employees.",Yes,,,No
19587,We have to be able to make a difference.,No,,,No
34340,"And people, Chris, will again go back to work and they'll make a lot of money.",No,,,No
17804,And I'm hoping we can start some payments on it before we get through here.,No,,,No
6827,Health-care costs are on the rise because the consumers are not involved in the decision-making process.,Yes,,,No
16328,"Yes, and I'll apply it to Congress too.",No,,,No
32892,"And when she said deplorables, she meant it.",No,,,No
33937,These are people that kill women and treat women horribly.,Yes,,,No
3116,"Just recently, President Rabin said that our relations were never better.",Yes,,,No
34939,The reported losses from financial fraud exceeded $1 billion last year.,Yes,We discussed the implications of financial fraud on our company’s resources last Wednesday. I've double-checked our partner firms' audits and what we found last year is still relevant today.,The claim should be about crime. The claim should be very short. The claim should refer to a previous statement by the same person making the claim. Pretend you're a a white collar worker.,Yes
17878,I think we've given the American people back their spirit.,No,,,No
639,I thought the administration was opposed to the Midgetman.,No,,,No
14250,"Well, I believe in the town hall meetings; they started with my campaign in New Hampshire.",No,,,No
2623,The -- where they're partnering so that they're designing training programs.,No,,,No
19412,"We supported a a crime bill that had 60 death penalties including, including the death penalty for drug kingpins.",Yes,,,No
37382,They mentioned that having a smart speaker in every room is just a fad and not everyone needs it.,No,"During a neighborhood get-together, the topic of smart home devices came up. A few tech enthusiasts were discussing the benefits of having voice-activated assistants around the house. Not everyone was convinced, though. One long-time homeowner felt the growing trend was overhyped.",The claim should be about technology. Pretend you're a a middle aged person. The claim should counter an argument. The claim should be about recent events.,Yes
34503,"According to the National Highway Safety Improvement Act, all highways with a certain threshold of traffic accidents are required to undergo safety audits every three years.",Yes,"Recent studies have delved into the impact of the National Highway Safety Improvement Act on reducing traffic fatalities in urban areas. Given the increasing concerns about road safety, experts are evaluating how this legislation affects current infrastructure projects. The new strategies outlined by this act focus on both preventive measures and rapid response systems.",The claim should be about transportation. Pretend you're a an academic. The claim should refer to a specific law. The claim should be about ongoing events.,Yes
35610,"According to some reports, only 30% of movies made in Hollywood actually manage to earn back their full production costs.",Yes,The recent discussions around the box office performance of blockbuster films have raised concerns in the industry. Many wonder about the sustainability of big budgets and their return on investments.,The claim should be about entertainment. The claim should contain a percentage. The tone of the claim should be negative. You are writing a comment under an online newspaper article.,Yes
37348,Your so-called insights on racism are just a sad joke.,No,"After being asked about their earlier comments, the speaker reiterated various points to support their opinion. However, as the dialogue progressed, they seemed to veer into personal jabs.",The claim should be about racism. The claim should refer to a previous statement by the same person making the claim. The claim should be of short length. The tone of the claim should be insulting.,Yes
3688,"They are getting crushed, and many of them are going bankrupt as a consequence of health care.",Yes,,,No
6493,But absolutely we can be secure in the long run.,No,,,No
36937,A common observation is that countries often aim to maintain stable diplomatic communications.,No,"In the complex web of international relations, day-to-day activities play a crucial role in maintaining stable relationships. While headlines often focus on conflicts or breakthroughs, the regular, stable exchanges are less dramatic but equally important.",The claim should be about foreign policy. Pretend you're a a blue collar worker. You are writing a textbook. The claim should be about present events.,Yes
12380,"And yes, I think it's something that people need to consider.",No,,,No
37372,Everyone seems to be washing their hands more these days.,No,"After having a cup of tea with my neighbor, we were reminiscing about how things have changed over the years. Many things seem so different, yet the birds outside are still chirping as they always do. And as we chatted about various topics, something dawned on me.",The claim should be about the corona pandemic. You are writing a tweet. Pretend you're a an elderly person. The claim should be only a few words long.,Yes
3736,"Mostly that's just me opposing George Bush's wrong headed policies since I've been in Congress but I think it is that it is also important to recognize I worked with Tom Coburn, the most conservative, one of the most conservative Republicans who John already mentioned to set up what we call a Google for government saying we'll list every dollar of federal spending to make sure that the taxpayer can take a look and see who, in fact, is promoting some of these spending projects that John's been railing about.",Yes,,,No
35695,Beethoven's Fifth Symphony is one of the most frequently performed pieces in classical repertoire.,Yes,"During the discussion, Alex mentioned that Mozart wasn't as influential as people claim and that his compositions fade into obscurity. In response, Jordan pointed out the staying power of other classical pieces, leading to a heated debate over which classical composer actually shaped modern music the most.",The claim should be about music. The claim should respond to a somebody else's statement. The claim should be very short. You are writing a response to a forum debate.,Yes
13268,"Number two, on the question of the U-2 flights.",No,,,No
36299,"Video game addiction was the same issue last year, on March 15.",No,"In our discussion about the influence of media on young adults, it's worth noting the ongoing debates surrounding video game use. Personally, I believe video game addiction hasn't changed much over time.",The claim should be about addiction. The claim should be of short length. The claim should refer to a date. You are writing a response to a forum debate.,Yes
2943,I believe that we have uh - negotiated with the Soviet Union since I've been president from a position of strength.,Yes,,,No
5576,"Number one, I want to cut taxes for 95 percent of Americans.",Yes,,,No
21746,"Right from the bottom up, the American people have got to say they want it.",No,,,No
133,"When you cut capital gains, you put people to work.",No,,,No
35780,Rent prices in New York City have increased by 20% in the past year.,Yes,"During the city council meeting, Jane presented her findings on the rise of housing costs over the past year. She argued that the trends show an alarming increase that needs to be addressed immediately. Mark, disagreeing, noted that he found no significance in the data presented.",The claim should be about housing. The claim should respond to a somebody else's statement. The claim should be only a few words long. The claim should refer to a currency.,Yes
33232,And it's the earliest endorsement they've ever given to anybody who ran for president.,Yes,,,No
16492,So I would prefer in that tax bill to have an additional tax cut and a further limitation on federal spending.,No,,,No
16665,At the present time we're spending roughly three billion five hundred million dollars.,Yes,,,No
444,And I do believe it would be inhibiting.,No,,,No
10599,That's not what happens in Washington.,No,,,No
29656,"So, yeah, I think -- I do think it's time.",No,,,No
2719,"The auto workers that you meet in Toledo or Detroit take such pride in building the best cars in the world, not just because of a paycheck, but because it gives them that sense of pride, that they're helping to build America.",Yes,,,No
35814,The World Health Organization has confirmed that the widely administered MMR vaccine is 97% effective against measles.,Yes,"During our heated discussion last night about the hospital's vaccination policies, you seemed doubtful of certain statistics. I'm here to clarify that point.",The claim should be about medicine. The tone of the claim should be defensive. The claim should directly address a conversation partner. The claim should refer to an organization.,Yes
