Sentence_id,Text,class_label,context,properties,synthetic
34704,The average price of a home in San Francisco doubled from 1990 to 1995.,Yes,"Throughout the 1990s, many countries experienced a real estate boom, which had far-reaching implications for local economies and individual livelihoods. Housing became a focal point of economic discussion.",The claim should be about the cost of living. You are writing a documentary. The claim should be about past events. The claim should be of short length.,Yes
20347,"Under my plan, half of their costs would be paid right away.",No,,,No
16623,"For instance, in the Transportation Department uh we had uh - we cut back about 25 percent of the total number of employees.",Yes,,,No
13957,I think free trade is going to expand our job opportunity.,No,,,No
27135,And that's because we're doing exactly what we should be doing to try to promote a moderate Syrian leadership and a -- an effective transition so that we get Assad out.,No,,,No
34792,"They totally copied a key scene almost frame by frame from a classic movie, and they’re trying to pass it off as original.",Yes,"After the new season of the hit show dropped, the criticisms came in faster than ever. The preview made it seem epic, but fans feel misled. Social media is exploding with complaints.",The claim should be about entertainment. The claim should be about recent events. The tone of the claim should be negative. Pretend you're a a teenager.,Yes
6827,Health-care costs are on the rise because the consumers are not involved in the decision-making process.,Yes,,,No
13514,"And therefore, he said, many of these countries now feel that the Soviet Union, which was once so backward, is now on a par with the United States.",No,,,No
34815,"Major smart home device brands have been found to store voice recordings longer than they publicly disclose, raising serious privacy concerns.",Yes,"You argue that smart home devices are making our lives easier, but let's dig a little deeper. Convenience often comes at a cost. Why aren't people questioning the implications?",The claim should be about technology. The tone of the claim should be defensive. The claim should directly address a conversation partner. Pretend you're a a populist.,Yes
33937,These are people that kill women and treat women horribly.,Yes,,,No
3116,"Just recently, President Rabin said that our relations were never better.",Yes,,,No
35939,"In 2015, the average price of rural homes was 30% lower than their urban counterparts but showed a rise in 2020, closing the gap to just 15%.",Yes,"Over the past decade, trends in urban living have shifted significantly. An increasing number of people are moving to cities, optimizing for convenience over space. However, rural property values are now catching up to this trend.",The claim should be about housing. The claim should refer to a date. The claim should be only a few words long. Pretend you're a an academic.,Yes
16062,I don't appoint people I think are liberal or people who think - who I think are conservative.,No,,,No
25752,But I've always tried in whatever I've done is to bring people together.,No,,,No
3373,We can be once again.,No,,,No
