Text,class_label,examples,topic
"I indicated that I would defend those islands if the attack were directed against Pescadores and Formosa, which is part of the Eisenhower policy.",Yes,,
What message does that send to our allies?,No,,
"There is the Republican Guard in Iran, which Senator Kyl had an amendment in order to declare them a sponsor of terror.",Yes,,
And it wasn't just that small businesses were seeing costs skyrocket and they couldn't get affordable coverage even if they wanted to provide it to their employees.,Yes,,
Millions and millions of Americans.,No,,
"As regarding Mr. Perot, I take back something I said about him.",No,,
And it is not true you have consistently been concerned about what happened in Afghanistan.,No,,
"Right now, you can actually take a deduction for moving a plant overseas.",No,,
"I think they will, and I think we'll get there.",No,,
I was responsible for the amendment with Senator Monroney in 1954 to strengthen our ground forces.,Yes,,
"Over the last 15, over the last 20 years.",No,,
The wages of Americans have gone down.,Yes,,
"Those investments are what's going to help to make sure that we continue to lead this world economy, not just next year, but 10 years from now, 50 years from now, 100 years from now.",Yes,,
The point is -- the point is that we can fix our economy.,No,,
I want to lower spending and encourage economic growth at the same time.,No,,
George Bush didn't propose turning Medicare into a voucher.,Yes,,
"It's not driven by members of Congress, and what they would like to see.",No,,
Keep my promises to the American people.,No,,
We're backing up at every way we possibly can.,No,,
"And it's just predicated on very modest, but I think accurate, projections of employment increases and uh - a growth in our national economy equal to what was experienced under Kennedy, Johnson, before the Vietnam War.",No,,
Let's be honest about it.,No,,
"As a matter of fact, I read in the ""New York Times"" where he said he co-sponsored the McCain-Feingold Campaign Fundraising Bill.",Yes,,
"Number two, I asked the president a question I think Hispanics and immigrants all over the nation have asked.",No,,
The so-called Nixon shock against Japan had weakened our relationships there.,No,,
"I think first of all, let me -- let me repeat -- let me repeat what I said.",No,,
Is this a war-torn country?,No,,
He put forward No Child Left Behind.,Yes,,
Too many young African-American and Latino men ended up in jail for nonviolent offenses.,Yes,,
"more than doubled, and it rose at a faster rate than spending was rising in the Federal Government.",Yes,,
Now you listed some things - the uh - deferral on foreign income as estimated: that would save about $500 million.,Yes,,
"One of the women, who is a wonderful woman, at 12 years old, was raped at 12.",No,,
I vetoed 993 measures without having a veto overturned.,Yes,,
"And so, we have set a standard that those loans and those grants are directed to the people who otherwise could not go to college, their family incomes were so low.",No,,
