Text,class_label,topic
"Look, the graduation rate has increased by 10% over the past four years, a direct result of our policies.",Yes,education
He voted against the bill that would have provided $50 million for school infrastructure improvements.,Yes,education
"According to the National Education Association, teacher salaries have stagnated for the past decade.",Yes,education
"We have, uh, the highest number of students enrolled in STEM programs than any other time in our history.",Yes,education
And my opponent's plan would cut funding for special education by 30%.,Yes,education
The Department of Education reported that student loan debt has surpassed $1.7 trillion.,Yes,education
"Our state ranks 47th in the nation for per-pupil spending, and that's unacceptable.",Yes,education
He was against the initiative that increased funding for early childhood education.,Yes,education
The President has increased military spending by 15% over the last two years.,Yes,foreign policy
My opponent voted against the sanctions bill that would have held Russia accountable.,Yes,foreign policy
"According to the Pentagon, we've reduced troop levels in Afghanistan to their lowest since 2001.",Yes,foreign policy
"Look, the United States is the largest contributor to NATO, funding nearly 22% of its budget.",Yes,foreign policy
"He didn't support the Paris Climate Agreement, which was signed by 195 countries.",Yes,foreign policy
I've negotiated trade deals that have resulted in a 30% increase in exports to Asia.,Yes,foreign policy
The United Nations report stated that global poverty has decreased by 10% in the last decade.,Yes,foreign policy
"She was against the military intervention in Libya, despite evidence of human rights abuses.",Yes,foreign policy
Social Security will be insolvent by 2033 if we don't act now.,Yes,social security
My opponent voted to cut benefits in 2011.,Yes,social security
"Look, the AARP has said that this plan would reduce benefits for millions of seniors.",Yes,social security
We've increased Social Security benefits more in the last four years than any administration since the 1980s.,Yes,social security
"And, you know, the Social Security Trust Fund is projected to be depleted by 2034.",Yes,social security
"According to the CBO, raising the retirement age could save billions.",Yes,social security
"He wants to privatize Social Security, something he's been talking about since 2005.",Yes,social security
The cost-of-living adjustment this year was the highest in four decades.,Yes,social security
We've increased the defense budget by over $100 billion in the last three years.,Yes,the military
He voted against the defense authorization bill that included pay raises for our troops.,Yes,the military
"Look, the military's readiness was at its lowest since the Cold War ended.",Yes,the military
The Pentagon's own report said this new fighter jet program is $20 billion over budget.,Yes,the military
Our administration has reduced the number of active-duty personnel by 15 percent.,Yes,the military
He was for the withdrawal from Afghanistan before he was against it.,Yes,the military
"According to the GAO, the Navy's shipbuilding plan is unrealistic and underfunded.",Yes,the military
"And more importantly, that was after the largest increase in veteran benefits in decades.",Yes,the military
"Look, the President promised 250,000 new manufacturing jobs in the first year.",Yes,trade
"My opponent voted against the USMCA, which was crucial for our farmers.",Yes,trade
"And according to the latest report from the International Trade Commission, our trade deficit with China has actually increased by 15% this year.",Yes,trade
"He said he was gonna bring back steel jobs, but guess what, we've lost over 10,000 steel jobs since he took office.",Yes,trade
The World Trade Organization ruled against us on this matter.,Yes,trade
"I mean, just last month, the Chamber of Commerce reported that tariffs have cost American businesses billions.",Yes,trade
"He talks about tariffs, but under his administration, the trade deficit hit a record high.",Yes,trade
"And the fact is, we've negotiated more trade deals in the past four years than any administration in the last two decades.",Yes,trade
He voted against universal background checks five times.,Yes,gun control
"Look, the NRA spent $30 million to support his campaign.",Yes,gun control
"In the last decade, gun violence has increased by 32% in urban areas.",Yes,gun control
"And, uh, Australia implemented a gun buyback program and saw a significant decrease in mass shootings.",Yes,gun control
The Senator from Texas has consistently opposed any form of assault weapons ban.,Yes,gun control
"She supports red flag laws, which have been shown to reduce gun-related suicides by 7% in states where they're implemented.",Yes,gun control
"After Sandy Hook, Congress failed to pass a single piece of legislation to address gun violence.",Yes,gun control
"According to the CDC, firearms are now the leading cause of death for children and teens.",Yes,gun control
I've cut taxes more than any governor in the history of our state.,Yes,tax policy
"He voted against the 2017 tax cuts that put an extra $2,000 in the average family's pocket.",Yes,tax policy
"Look, the IRS found that under his plan, the top 1% would get a $1.5 trillion windfall.",Yes,tax policy
"And, uh, that's why 60% of small businesses reported higher tax burdens since 2020.",Yes,tax policy
The Congressional Budget Office said this new tax proposal could increase the deficit by $300 billion over the next decade.,Yes,tax policy
Our corporate tax rate is now the lowest it's been since the 1930s.,Yes,tax policy
"He claims to support the middle class, but his voting record shows he's blocked every tax relief bill since 2018.",Yes,tax policy
"The fact is, we have the highest capital gains tax in the G7.",Yes,tax policy
We've seen the unemployment rate drop to its lowest point in 50 years.,Yes,employment
"Under my administration, 5 million new manufacturing jobs were created.",Yes,employment
He voted against the bill that would've raised the minimum wage to $15 an hour.,Yes,employment
"According to the Bureau of Labor Statistics, job growth has slowed significantly this quarter.",Yes,employment
"And look, the labor force participation rate is at its highest since 2008.",Yes,employment
"My opponent's plan would result in a 10% increase in unemployment, according to independent analysts.",Yes,employment
"In fact, the tax cuts we implemented led to a surge in job creation in the tech sector.",Yes,employment
The Congressional Budget Office says this policy will cost us 2 million jobs.,Yes,employment
"In the last election, over 150 million Americans cast their votes, the highest turnout in history.",Yes,elections
The Senator voted against the 2013 bill that would have expanded voting rights access.,Yes,elections
"Look, according to Pew Research, voter turnout among young people increased by 11% in 2020.",Yes,elections
"He claims to support voting rights, but he didn't co-sponsor the John Lewis Voting Rights Act.",Yes,elections
"The state of Georgia purged more than 300,000 voters from its rolls before the 2018 midterms.",Yes,elections
"And you know, the Brennan Center reported that in 2021 alone, over 400 bills with restrictive voting provisions were introduced in 49 states.",Yes,elections
"My opponent, he says he's for election integrity, yet he voted to cut funding for election security.",Yes,elections
"The President claimed that mail-in voting leads to fraud, but studies show it's as secure as in-person voting.",Yes,elections
"We've repaired over 5,000 bridges in the last year alone.",Yes,infrastructure
"Look, my opponent voted against the infrastructure bill that would have created thousands of jobs.",Yes,infrastructure
The American Society of Civil Engineers gave our infrastructure a D+ rating.,Yes,infrastructure
"He talks a lot about roads, but under his leadership, state highway funding was cut by 20%.",Yes,infrastructure
"And more importantly, that was after the bipartisan committee's recommendation.",Yes,infrastructure
We're investing $2 trillion in green infrastructure over the next decade.,Yes,infrastructure
"In fact, the new rail system will reduce commute times by 30%.",Yes,infrastructure
"The President promised to fix the water crisis, yet Flint still doesn't have clean water.",Yes,infrastructure
The United States reduced its carbon emissions by 15% over the last decade.,Yes,climate change
My opponent voted against the Clean Air Act amendments that would have cut pollution from power plants.,Yes,climate change
"According to the International Energy Agency, China is the largest emitter of carbon dioxide.",Yes,climate change
"We've invested over $100 billion in renewable energy projects, more than any other administration.",Yes,climate change
"The Paris Agreement, which he wants to rejoin, would cost us millions of jobs.",Yes,climate change
"And look, the NOAA reported that last year was the hottest on record.",Yes,climate change
"He was against the Keystone XL pipeline, which would've created thousands of jobs.",Yes,climate change
The EPA found that our regulations have led to a 25% decrease in air pollutants.,Yes,climate change
He voted against the Women's Health Protection Act in 2022.,Yes,reproductive rights
"According to a recent Pew Research study, 61% of Americans support legal abortion in all or most cases.",Yes,reproductive rights
"In 2019, Alabama passed one of the most restrictive abortion laws in the country.",Yes,reproductive rights
My opponent has consistently opposed funding for Planned Parenthood.,Yes,reproductive rights
"The Hyde Amendment has been a part of federal law since 1976, restricting the use of federal funds for abortion services.",Yes,reproductive rights
"And look, in 2021, Texas passed a law banning abortions after six weeks, before many women even know they're pregnant.",Yes,reproductive rights
The Supreme Court's decision in Roe v. Wade was in 1973.,Yes,reproductive rights
She supported the bill that would have required a 24-hour waiting period before an abortion.,Yes,reproductive rights
"The President said he'd bring back all troops by Christmas, but as of now, there are still 5,000 stationed overseas.",Yes,foreign policy
