Text,class_label
"The president always has the right, and always has had the right, for preemptive strike.",Yes
"We have 13,000 strategic nuclear warheads right now on land, on sea and in the air, enough to blow up the Soviet Union forty times over.",Yes
"And we were -- we were opposed by the administration, another area where I differed with this administration.",Yes
"Which I think the American people would like to understand fully, it's been investigated to a degree, but -- but the administration has carried out executive privilege to prevent all of the information from coming out.",Yes
"The Soviet Union has been engaged in the biggest military buildup in the history of man at the same time that we tried the policy of unilateral disarmament, of weakness, if you will.",Yes
And they went out and bought up these mortgages.,Yes
And that composite now is going to be built around the bridges on the Santa Monica Freeway to help minimize the impact of earthquakes and create more jobs.,Yes
"Because what I saw what they did, which is a criminal act, by the way, where they're telling people to go out and start fist-fights and start violence.",Yes
"The program that was put forward this summer, after we broke off the sugar quota with Cuba, really was done because we wanted to get through the O.A.S.",Yes
But the dynamics of the economy - we cut the taxes and revenues are up by 25 percent in three years.,Yes
"Instead of listening to him, they retired him.",Yes
Fewer water complaints since I've been the president.,Yes
We have the most expensive health care system in the world.,Yes
"And furthermore, under this administration, spending has increased more than it has in the last 20 years and he asked Congress to spend more money than it actually spent.",Yes
"The federal government has been reduced in size by more than 300,000 people.",Yes
"What I've said is we're going to encourage democracy in Pakistan, expand our nonmilitary aid to Pakistan so that they have more of a stake in working with us, but insisting that they go after these militants.",Yes
But they did an article which had me totally against the war in Iraq.,Yes
"And not to mention that we are still spending $10 billion a month, when they have a $79 billion surplus, at a time when we are in great distress here at home, and we just talked about the fact that our budget is way overstretched and we are borrowing money from overseas to try to finance just some of the basic functions of our government.",Yes
"Well, had we joined the Kyoto treaty, which I guess he's referring to, it would have cost America a lot of jobs.",Yes
There are no more than a handful of American military personnel in Haiti now.,Yes
"While they didn't talk at all, the fuel rods came out, the inspectors were kicked out, the television cameras were kicked out.",Yes
And we are winning in Iraq.,Yes
"But this is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers, who has said...",Yes
We imported today 2 million barrels of oil less than we did the same date just a year ago.,Yes
"That is wholly wrong, wholly in error, and it is a fact that in the last eight years the Democratic Congress has reduced the appropri- the requests for the appropriations by over ten billion dollars.",Yes
Ninety-nine United States senators voted for it.,Yes
But it asked the wealthiest Americans to pay a little more.,Yes
I'm totally focussed on the fact that we are still evading the issue of the Glaspie papers.,Yes
"... about a potential nuclear -- nuclear competition in Asia, you said, you know, go ahead, enjoy yourselves, folks.",Yes
"But when she left, when she took everybody out, we lost Mosul.",Yes
"Governor Bush is for vouchers, and in his plan he proposes to drain more money, more taxpayer money out of the public schools for private school vouchers than all of the money that he proposes in his entire budget for public schools themselves.",Yes
"If you change your job, you're going to be covered.",Yes
"Now with respect to a couple of things Senator McCain said, the notion that I voted for a tax increase for people making $42,000 a year has been disputed by everybody who has looked at this claim that Senator McCain keeps on making.",Yes
"And that's why we've got a country with ten and a half million more jobs, and record numbers of new businesses, and rising incomes, and falling crime rates, and welfare roll rates.",Yes
Senator Obama opposes both storing and reprocessing of spent nuclear fuel.,Yes
"Stand in the South Bronx as I did, in the spot where Jimmy Carter made his promise that he was going to, with multi-billion dollar programs, refurbish that area that looks like bombed-out London in World War II.",Yes
Last year there were twenty-nine and tomorrow when the preliminary vote is held you will see a strengthening of that position or very closely to it.,Yes
I think you've seen tonight in this debate that Governor Reagan and I have agreed on exactly one thing - we are both against the reimposition of a peacetime draft.,Yes
"We told him that we wouldn't get involved with his border dispute, and we've never revealed those papers that were given to Ambassador Glaspie on July the 25th.",Yes
"My point is, is that my plan not only trusts seniors with options, my plan sets aside $3.4 trillion for Medicare over the next ten years.",Yes
"I'm the president that stood up and said, don't mess with Social Security, and I'm not going to and we haven't and we are not going to go after the Social Security recipient.",Yes
"And it wasn't until former Secretary of State Jim Baker and General Scowcroft and others pushed publicly and said you've got to go to the U.N., that the president finally changed his mind -- his campaign has a word for that -- and went to the United Nations.",Yes
"It hasn't produced a quart of oil or a lump of coal, or anything else in the line of energy.",Yes
My opponent voted against it.,Yes
"Mr. Perot, with all respect, I think it is highly relevant, and I think that a 4-billion dollar budget of state and federal funds is not all that small, and I think the fact that I took a state that was one of the poorest states in the country and had been for 153 years and tried my best to modernize its economy and to make the kind of changes that have generated support from people like the presidents of Apple Computer and Hewlett-Packard and some of the biggest companies in this country, 24 retired generals and admirals and hundreds of business executives, are highly relevant.",Yes
"The Rockefeller Brothers report, General Ridgway, General Gavin, the Gaither Report, various reports of Congressional committees all indicate that the relative strength of the p- United States both militarily, politically, psychologically, and scientifically and industrially - the relative strength of the so- of United States compared to that of the Soviet Union and the Chinese Communists together - has deteriorated in the last eight years and we should know it, and the American people should be told the facts.",Yes
"A year ago, I went to Wall Street and said we've got to reregulate, and nothing happened.",Yes
"For years, she had been getting paid less than a man had been paid for doing the exact same job.",Yes
"I have a record of being involved in these national security issues, which involve the highest responsibility and the toughest decisions that any president can make, and that is to send our young men and women into harm's way.",Yes
"After all, a lot of the energy is produced from the Middle East, and so I appreciate what the administration is doing.",Yes
Russia does continue to battle us in the U.N. time and time again.,Yes
"And he was given a chance to vote, and he voted no.",Yes
I vetoed 993 measures without having a veto overturned.,Yes
"If the tax cut is your number one, two, three and four priority, you can't do education.",Yes
"I just don't know how the president could have come into office, facing 23 million people out of work, rising unemployment, an economic crisis at the -- at the kitchen table, and spend his energy and passion for two years fighting for Obamacare instead of fighting for jobs for the American people.",Yes
I was opposing one piece of legislation versus another.,Yes
There have been only six cases brought by this Attorney General under the voting bill passed in 1957 and the voting bill passed in 1960.,Yes
"Our jobs are being taken out by the deal that her husband signed, NAFTA, one of the worst deals ever.",Yes
"And the only thing that looks good is the stock market, but if you raise interest rates even a little bit, that's going to come crashing down.",Yes
"Because China, Germany, they're making these investments.",Yes
"And I have said freely, all over this country, that it was a mistake for me or anyone to ever try to put the Judeo-Christian heritage of this country, important as it is, and important as my religious faith is to me - it's a very deeply personal matter.",Yes
"Now, we have tried -- our country has tried to create an Africa crisis response team there, and we've met some resistance.",Yes
"Russia is in part resurgent and Putin is feeling powerful because of petro-dollars, as Senator McCain mentioned.",Yes
There were three Democratic presidents who led us into war.,Yes
We've got to make things here.,No
"In order for the sanctions to be effective, we should have been working with the British, French and Germans and other countries.",No
"But I will tell you, I sat there...",No
"You have to work on this day in and day out, every month ,every year, every issue, to make sure that we have not only free trade but fair trade.",No
We must stand for our ideals.,No
The United States must maintain a defense capability of the Panama Canal.,No
"I've done that with moderation, with care, with thoughtfulness; sometimes consulting experts.",No
"And until we do, Americans here at home are not going to be safe.",No
"It's one thing to be certain, but you can be certain and be wrong.",No
"We can a big share of it, but we've got to have more help from our friends abroad; and these three factors, I think, will be very helpful in reversing the gold flow which you spoke about.",No
The Soviets take out more than we do and the principle of intrusive verification.,No
We have too much polling and focus groups going on in Washington today.,No
"And believe me: The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen, because the Fed is not doing their job.",No
With decent and affordable healthcare for all working families.,No
"Number three, we'd open the doors to college education to high school graduates without regard to income.",No
"They bring their crops in or their livestock in, many of them about the same time.",No
Democrats and Republicans said Bob Dole's word is good.,No
But I also know how to lead those alliances.,No
