Text,class_label
"And local school districts end up having more of a burden, a bunch of unfunded mandates, the same kind of thing that happened with special education where we did the right thing by saying every school should provide education to kids with special needs, but we never followed through on the promise of funding, and that left local school districts very cash-strapped.",Yes
"And in many cases, they're illegally here, illegal immigrants.",Yes
We give them $1.7 billion in cash.,Yes
"The members of Congress, Arthur Vandenberg, Walter George, were part of the process, and before our nation made a secret agreement, or before we made a bluffing statement, we were sure that we had the backing not only of the president and the secretary of state, but also of the Congress and the people.",Yes
And it's the president's fiscal policies that have driven up the biggest deficits in American history.,Yes
"I think we should stiffen the embargo on the Belgrade government, and I think we have to consider whether or not we should lift the arms embargo now on the Bosnians, since they are in no way in a fair fight with a heavily armed opponent bent on ethnic cleansing.",Yes
"Secondly, when we went in, there were three countries: Great Britain, Australia and the United States.",Yes
"A family of four making $40,000 received about $1,700 in tax relief.",Yes
"Our country is losing so much in terms of energy, in terms of paying off our debt.",Yes
"We're spending $10 billion a month in Iraq at a time when the Iraqis have a $79 billion surplus, $79 billion.",Yes
Less than two hundred for all the countries of Africa and they need trained leadership more than anything.,Yes
That bill pays for these urban enterprise zones by asking the wealthiest Americans to pay a little more.,Yes
"... as he has campaigned for me around the country, you are the most dangerous person to run for president in the modern history of America.",Yes
"I have fully funded the land and water conservation program; in fact, have recommended and the Congress approved a substantially increased land and water conservation program.",Yes
Well a lot of it came from the Bakken Range in North Dakota.,Yes
"First of all, what my opponent wants you to forget is that he voted to authorize the use of force and now says it's the wrong war at the wrong time at the wrong place.",Yes
It's going to be one of my highest priorities because transportation accounts for about 30 percent of our total energy consumption.,Yes
"At his pace, it's going to take 13 years to reduce and get ahold of all the loose nuclear material in the former Soviet Union.",Yes
"Civilians get onto aircraft, and their luggage is X-rayed, but the cargo hold is not X- rayed.",Yes
And I was taking on discrimination against African-American kids in schools.,Yes
"In the audience tonight, we have four mothers of -- I mean, these are unbelievable people that I've gotten to know over a period of years whose children have been killed, brutally killed by people that came into the country illegally.",Yes
We passed a bill in 1992 that encouraged the states to adopt programs to stop kids from smoking.,Yes
"What we've done is organize the international community, saying Assad has to go.",Yes
And the Taliban are no longer in power.,Yes
And I pushed for some core principles: making sure that taxpayer can get their money back if they're putting money up.,Yes
We have freed other nations from dictators.,Yes
"The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it.",Yes
My plan was to have the company go through bankruptcy like 7-Eleven did and Macy's and Condell (ph) Airlines and come out stronger.,Yes
"We set up a national ceiling on health care costs tied to inflation and population growth set by health care providers, not by the government.",Yes
"We've expanded Pell Grants for millions of people, including millions of young women, all across the country.",Yes
"Under Governor Bush, Texas has sunk to be 50th out of 50 in health care -- in health insurance for their citizens.",Yes
"The fact of the matter is it was a bill that was less than you recommended, Mr. Nixon, this morning in your proposal.",Yes
Let me call your attention to the key word there.,No
"You can say you do to the cameras but you don't, unless you've changed your plan here on the stage.",No
He said he would reform it.,No
I would certainly also be judicious in evaluating any potential use of American troops overseas.,No
I believe that all of us are going to have to begin to work together to solve our problems.,No
That's where growth will come from.,No
"Well, we have Great Britain.",No
"But when I started this campaign, I started it very strongly.",No
I hope as president that I've earned your trust.,No
Are we better of with this arms race?,No
"And I also agree that most police officers, of course, are doing a good job and hate this practice also.",No
We need a president who can go in - who derives his strength from the people.,No
I've learned from them that people do have tough times.,No
"If we tried everything else, if we have allies.",No
"Now, what happened in July we've covered again and again and again.",No
"By the way, number one I get rid of is Obamacare.",No
"No, there's no difference on that.",No
"This conspiracy theory, which he's been spewing out for quite some time.",No
We've got to create the products of the future.,No
"I want to begin by saying again how much I respect Senator Dole and his record of public service and how hard I will try to make this campaign and this debate one of ideas, not insults.",No
"I think what I'd like to talk about a minute, since you're asking the question, is the General Motors issue.",No
I've met some of those people.,No
I would like to tell you something about me.,No
"And I beg the American people, any time they think about reforming education to take this piece of society that doesn't have a chance and take these little pieces of clay that can be shaped and molded and give them the same love and nurture and affection and support you give your children and teach them that they're unique and that they're precious and that there's only one person in the world like them and you will see this nation bloom.",No
"Well, I think Governor Clinton is committed.",No
"But most importantly, we're going to have to help ordinary families be able to stay in their homes, make sure that they can pay their bills, deal with critical issues like health care and energy, and we're going to have to change the culture in Washington so that lobbyists and special interests aren't driving the process and your voices aren't being drowned out.",No
"Mr. Lehrer, I hope we'll have a chance to discuss drugs later in the program.",No
"In his first year, I was just getting -- licking my wounds from having been beaten by John McCain, all right.",No
An election law just in the last few days.,No
And we need to strengthen the American family.,No
"Secondly, if it is correct, have you informed yourself in the meantime?",No
Those things would revolutionize American education and take us to the top economically.,No
