example_Sentence_id,example_Text,Text
2810,Even the Republican platform has criticized the lack of leadership in Mr. Ford and they've criticized the foreign policy of this administration.,Even the financial experts agree that Mr. Smith has mishandled the economic reforms and they've condemned the fiscal policies enacted in this term.
20356,"They get $25,000 a year income, that makes them ineligible.","They have invested $15,000 in subsidies, which makes them eligible for special benefits."
23690,We knew he'd been -- invaded other countries.,We knew she'd been involved in breaking crucial trade agreements.
13678,"Let me remind you it was a Democratic tax increase, and I didn't want to do it and I went along with it.","Let me remind you it was a Republican health policy reform, and I opposed it but had to comply with the decision."
12904,He says he supports the President's position.,She claims she endorses the Governor's education reform plan.
27655,The first lady has done great work with an organization called Joining Forces putting our veterans back to work.,The vice president has launched a new initiative focusing on revitalizing rural areas and boosting their economies through innovative agriculture programs.
16545,"Now it seems to me that uh - as we look at the recommendations of the budget committees and our own projections, there isn't going to be any $60 billion dividend.","But I gotta tell ya, looking at current trends, there won't be any magic $100 million surplus coming our way any time soon."
25877,We used to have 18.,We used to make 25.
9652,"In my health care bill, I said insurance companies need to provide contraceptive coverage to everybody who is insured.",My education reform plan includes a requirement for public schools to implement computer science courses at all grade levels.
24647,"Over 150,000 Americans have died of AIDS.",Over 200 million people globally suffer from severe food insecurity.
19358,"You've suggested a commission, Newt Gingrich did, I suggested that at least four or five years ago.","You've proposed a tax policy overhaul, but I mentioned this need for reform way back when I entered the senate."
15379,"For 40 years, the Republican Party platforms called for guaranteeing women equal rights with a constitutional amendment.","For decades, numerous studies have shown that subsidies on fossil fuels lead to increased pollution levels."
29040,Lower crime rates for eight years in a row.,Rising student loan debt for the past two decades.
10230,"Trickle-down government has never worked here, has never worked anywhere.",Top-down healthcare mandates have consistently failed to address individual patient needs.
1873,But those businesses that are in the last 3 percent of businesses happen to employ half -- half of all the people who work in small business.,Yet the top 2 percent of corporations account for nearly 80 percent of industrial pollution.
19529,"They didn't have the weapons, they didn't have the tanks.","They never had the power generation capability, they never had the nuclear reactors."
3108,"As soon as I became president, I initiated a meeting with the NATO heads of state and met with them in Brussels to discuss how we could improve the re- defense relationship in Western Europe.","After securing the nomination, I called for comprehensive net neutrality legislation, collaborating with telecommunications leaders to ensure open internet access for everyone in Silicon Valley."
20957,They oppose mine because they don't want to get Medicare involved because they're afraid that Medicare will negotiate lower prices for seniors who currently pay the highest prices of all.,They reject my proposal because they don't want environmental regulations to impede industrial growth despite the rising emissions threatening public health.
19536,"You got to send down some more people, because the president's found out there are death squads on his on his, in his own property.","You need to bring in more inspectors, because the governor discovered there are illegal waste disposal sites on government land causing severe pollution."
30095,"That means we've got to work more closely with our allies, and that's something that Donald has been very dismissive of.","That means we've got to ensure responsible tech usage, and that's a concern Mark has consistently downplayed."
6112,"He says he's going to give you all a $5,000 tax credit.","She claims you're going to receive a $3,000 raise next month."
25987,"They haven't said what's going to happen, whether they're going to have it declared addictive.",They've not disclosed when they'll reveal their secret negotiations.
