Text,context,properties
"Under Section 7 of the National Labor Relations Act of 1935, nearly 2,000 temporary workers at ACME Logistics were denied the right to unionize when their petitions were rejected by the National Labor Relations Board in 2020.","During a televised town hall, the governor insisted that all warehouse employers in the state had fully followed federal labor standards. Several worker advocates pointed to official records that contradicted this claim.",The claim should be about labor. The claim should refer to a specific law. The claim should respond to a somebody else's statement. The claim should be about past events.
"Under Section 226 of the California Labor Code, Smith & Co. failed to provide itemized wage statements to over 500 employees for an 18-month period in 2019, resulting in a $4.2 million court-approved settlement.","In response to the company’s statement that it “strictly adheres” to California’s wage rules, labor attorneys cited evidence from a class-action filing. They argued the company had in fact violated key provisions of state law.",The claim should be about labor. The claim should refer to a specific law. The claim should respond to a somebody else's statement. The claim should be about past events.
"According to the Fair Labor Standards Act of 1938, Tyson Foods was cited in 2021 for misclassifying 750 hourly workers as independent contractors, leading to nearly $2.5 million in back pay and penalties.","After a union organizer challenged the plant manager’s remark that “no labor laws were ever broken,” investigators released their findings. Those findings directly contradicted the manager’s public statement.",The claim should be about labor. The claim should refer to a specific law. The claim should respond to a somebody else's statement. The claim should be about past events.
"Internal occupancy reports from the State Parks Department show Lakeview campground reached at least 95% capacity on 28 of the last 30 days, forcing many late arrivals to find lodging outside park grounds.","I was swapping stories with Tom over lunch at the steel mill, and he swore up and down that the state campground at Lakeview never fills up during the summer rush.",The claim should be about vacation. The claim should be about ongoing events. The claim should respond to a somebody else's statement. Pretend you're a a blue collar worker.
"Federal maritime logs indicate 14 separate riverboat departures on the Mississippi were delayed more than three hours in July alone, contradicting the foreman’s assertion.","On the loading dock break, our foreman claimed that Mississippi riverboat cruises have run on time every single departure this season, no exceptions.",The claim should be about vacation. The claim should be about ongoing events. The claim should respond to a somebody else's statement. Pretend you're a a blue collar worker.
"Analysis of live booking data from Shoreline Resorts shows only 3% of beachfront cabins have any discount this vacation period, with the average markdown at just 5%.","While we’re clocking out for vacation, my buddy Steve insists all beachfront cabins at Shoreline Resorts are going for 20% off right now.",The claim should be about vacation. The claim should be about ongoing events. The claim should respond to a somebody else's statement. Pretend you're a a blue collar worker.
Government allocated $25 billion for small business relief.,"At a press briefing, the finance minister defended spending levels from last fiscal year. Reporters pressed for exact figures on targeted relief programs.",The claim should be about the news. The claim should be only a few words long. You are writing a tweet. Pretend you're a an academic.
National airline carried 50 million passengers in 2022.,"In its annual safety report, the transportation authority claimed recovery in passenger volumes. Independent analysts disputed the authority’s estimates, citing airport logs.",The claim should be about the news. The claim should be only a few words long. You are writing a tweet. Pretend you're a an academic.
City school district ran $150 million deficit.,"During a legislative hearing, urban policymakers highlighted budgetary pressures on public education. Financial statements for the district remain unpublished.",The claim should be about the news. The claim should be only a few words long. You are writing a tweet. Pretend you're a an academic.
Our flagship evening news show currently reaches 15 million households each night.,Billboard at Elm and Fifth features our network’s signature colors and tagline. Commuters pause to read the bold statistics flashing across the screen at rush hour.,The claim should be about television. You are writing a billboard ad. The claim should be about present events. The tone of the claim should be positive.
"Our drama’s current season has amassed over 180 million streaming hours this month, topping all cable channels.",The new Times Square billboard beams with vibrant scenes from our hit drama series. Fans are sharing photos that highlight its streaming achievements on social media.,The claim should be about television. You are writing a billboard ad. The claim should be about present events. The tone of the claim should be positive.
"We currently air 12 original documentaries weekly, more than any other national network this quarter.","Along the riverfront, an electronic billboard showcases snippets from our original documentaries. Viewers are praising the diversity and depth of our content in radio interviews.",The claim should be about television. You are writing a billboard ad. The claim should be about present events. The tone of the claim should be positive.
Did you know that toddlers exposed to at least 20 minutes of shared reading daily are 30% more likely to enter gifted programs by age eight?,A mother and her friend chat about bedtime routines while their toddlers play nearby.,The claim should be about parenting. The claim should be of short length. The tone of the claim should be neutral. The claim should directly address a conversation partner.
Did you know that children under three who nap less than 60 minutes per day show 25% more behavioral problems at preschool?,Two parents compare their preschoolers’ nap schedules in the pediatric clinic waiting room.,The claim should be about parenting. The claim should be of short length. The tone of the claim should be neutral. The claim should directly address a conversation partner.
"Did you know that infants who hear 2,000 more spoken words daily develop a 28% larger vocabulary by 24 months?","During a local playgroup, caregivers discuss early language milestones over coffee.",The claim should be about parenting. The claim should be of short length. The tone of the claim should be neutral. The claim should directly address a conversation partner.
The municipal water pipeline is channeling untreated storm runoff into residential neighborhoods.,The city council has been reviewing water quality reports following heavy rain events and residents have reported discoloration at the tap.,The claim should be about infrastructure. The claim should be about ongoing events. The claim should not contain any numbers. The tone of the claim should be respectful.
