example_Sentence_id,example_Text,Text
32502,"Well, everything you've heard just now from Donald is not true.",Everything you've just heard about my opponent's economic policies is simply incorrect.
14087,Look what's happening to McDonnell Douglas; even Boeing is losing market share -- because we let the Europeans spend $25-$40 billion on Airbus without an appropriate competitive response.,Look at the state of our public health system; we let Canada and other nations invest millions while we fail to implement effective healthcare reforms.
25261,"Very early in my administration I proposed -- and I think something that had never been proposed by any previous administration -- I proposed a total elimination of intermediate-range missiles, where the Soviets had better than a 10 -- and still have -- better than a 10-to-1 advantage over the allies in Europe.","Early on in my administration, I proposed a comprehensive overhaul of our education system— a move that no previous administration had dared to attempt, despite the challenges our schools were facing."
3804,And we are winning in Iraq.,We are succeeding in reducing the national deficit.
34096,"Well, I am encouraged that there is an effort led by the Iraqi army, supported by Kurdish forces, and also given the help and advice from the number of special forces and other Americans on the ground.","Well, I am glad to see that there is a concerted effort by environmental groups, with the backing of local communities, and additional aid and advice from a network of scientists and researchers on the front lines."
4100,"Here is Ahmadinenene (ph), Ahmadinejad, who is, Ahmadinejad, who is now in New York, talking about the extermination of the State of Israel, of wiping Israel off the map, and we're going to sit down, without precondition, across the table, to legitimize and give a propaganda platform to a person that is espousing the extermination of the state of Israel, and therefore then giving them more credence in the world arena and therefore saying, they've probably been doing the right thing, because you will sit down across the table from them and that will legitimize their illegal behavior.","Here is President Xi, who is in Washington, pushing for the expansion of his Belt and Road Initiative, while we just sit by and watch, giving him more influence on the global stage, and a propaganda platform that only further advances their ideological ambitions at our expense."
15724,"I think you know because you've covered these issues, that there's no way that we can build all of the weapons the Vice President says he wants to build within the defense budget.","As you are well aware, addressing climate change can't possibly be achieved with the piecemeal measures my opponent claims will solve it."
17586,It had several tax increases phased in over a period of time -- there are two more yet to come between now and 1989.,The policy included several funding cuts staggered over several years—two more are due between now and 2025.
3158,We now have five nations that have atomic bombs that we know about.,"Currently, there are nine countries known to possess operational cyber warfare divisions."
17092,"Already, we have a recovery that has been going on for about 21 months to the point that we can now call it an expansion.","We are experiencing a period of economic growth that has been underway for about a year and a half, and I am confident this expansion is just the beginning."
16710,When Mr. Nixon made his famous uh speech on Operation Independence we were importing about 35 percent of our oil.,"When President Johnson announced his War on Poverty, the poverty rate was at a staggering 19 percent."
1056,"Uh - I uh - agreed to give the interview uh - to Playboy Other people have done it who are notable - uh - Governor Jerry Brown, uh - Walter Cronkite, uh - Albert Schweitzer, Mr. Ford's own secretary of the treasury, Mr. Simon, uh - William Buckley - many other people.","Uh - I uh - sat down for an exclusive interview with The Atlantic, as did some distinguished figures - uh - President Barack Obama, uh - Dr. Tony Fauci, uh - Ruth Bader Ginsburg, Mr. Gates, uh - Elon Musk - numerous others."
14253,"I've done a lot of them, and I'll continue to do them as president.","I've made my stance on infrastructure very clear, and I'll continue to push for improvements as president."
19755,There are extremists in all parts of the Middle East who want to kill that peace process.,Extremist groups throughout Southeast Asia continue to threaten regional stability.
2349,It's hurt the housing market because Dodd-Frank didn't anticipate putting in place the kinds of regulations you have to have.,The unintended consequences of the Affordable Care Act have negatively impacted small business owners due to unforeseen regulatory burdens.
17865,"We have, as I said, cut the taxes, but we have reduced inflation, and for 2 years now it has stayed down there, not at double digit, but in the range of 4 or below.","We are, as mentioned, investing in public healthcare, yet we have seen a gradual rise in life expectancy, and in the last 5 years, it has increased steadily to the range of 1.5 years per annum."
8593,The other point that I would make is this: this downgrading of how much things cost I think many of our people will understand better when they look at what happened when - during the Truman Administration when the government was spending more than it took in - we found savings over a lifetime eaten up by inflation.,The point that deserves attention here is this: the skyrocketing tuition fees will resonate deeply when families consider what occurred during the Clinton Administration when education costs outpaced wage growth - many savings intended for college were severely diminished.
8732,have leased only 2% of the possible.,have implemented only 1% of the proposed cybersecurity measures.
2719,"The auto workers that you meet in Toledo or Detroit take such pride in building the best cars in the world, not just because of a paycheck, but because it gives them that sense of pride, that they're helping to build America.","The tech workers you encounter in Silicon Valley or Austin derive immense satisfaction in crafting the most innovative software, not solely for a paycheck, but because it embodies their commitment to innovate the future."
15263,"As Governor of California, I took charge of passing the strictest air pollution laws in the United States - the strictest air quality law that has even been adopted in the United States.","As Governor of Texas, I led the charge in implementing the nation's most comprehensive renewable energy policies - the most extensive clean energy initiatives ever introduced in the United States."
28048,"It is actually a disagreement between us, a national law that is pending on this, the Dingle-Norwood bill, a bipartisan bill, is one that I support and that the governor does not.","There is a significant divergence between us, a proposed health care legislation, the Smith-Jones act, a bipartisan proposal, is one that I endorse but the Senator does not."
6743,"You know, Congress passed a law called DOMA, the Defense of Marriage Act.","Many people recall, Congress enacted a measure called the Clean Water Act, aimed at preserving our nation's water resources."
27666,It's a nation that's not like -- like others and it does not have a civilian leadership that is calling the shots there.,"It's a state that's unlike others, with an economic system that is far from transparent or market-driven."
11153,"What I said was the same thing that the audience here today heard me say, which is, if Pakistan is unable or unwilling to hunt down bin Laden and take him out, then we should.","What I discussed was the very message the audience here listened to, which is, if North Korea continues its provocative nuclear tests, then we must respond with appropriate sanctions."
17023,"Governor Carter has embraced the record of the present Congress, dominated by his political party.","Senator Adams has wholeheartedly supported the agenda of the current Senate, which is largely controlled by his own party."
140,That happens to be a fact.,That stands as an indisputable fact.
6979,You just heard the president say that young people ought to be able to take money out of Social Security and put it in their own accounts.,You just heard the Senator assert that veterans should be able to transfer their GI Bill benefits to their family members.
28519,"There may be some moments when we use our troops as peacekeepers, but not often.","There could be instances when we deploy our financial aid as a first response, but not routinely."
4038,"At one point, while you were focused on Iraq, you said well, we can ""muddle through"" Afghanistan.","At a juncture, while you concentrated on technological advancements, you commented that we could ""make incremental progress"" in healthcare reform."
3669,"And if we want to talk about oil company profits, under your tax plan, John -- this is undeniable -- oil companies would get an additional $4 billion in tax breaks.","And if we are to discuss pharmaceutical profits, under your proposed budget, Adam - this is irrefutable - pharmaceutical companies would receive an additional $5 billion in subsidies."
6043,"And the last president of the United States that tried that was Herbert Hoover, and we went from a deep recession into a depression.","The last time Congress attempted a universal healthcare reform like this, we saw the insurance market spiral out of control."
19283,"Now that the President gets millions of dollars from the trial lawyers, he probably doesn't like this provision.","And considering the mayor's increasing economic ties with big pharmaceutical companies, it's no wonder this health bill has stalled."
14339,-- and Glaspie's papers have been presented to the US Senate.,-- and Jacobson's findings have been quietly submitted to the federal subcommittee.
1389,But now I think there have been a couple of instances where the Burger Court has made technical rulings where an obviously guilty person was later found to be guilty.,But now I think there are a few instances where the state appellate court has overturned life sentences that were initially handed down.
2347,"So banks are reluctant to make loans, mortgages.",Businesses are hesitant to invest in renewable energy projects.
32795,"Because NAFTA, signed by her husband, is perhaps the greatest disaster trade deal in the history of the world.","Because TTP, negotiated during her tenure, represents a monumental setback for sustainable agricultural practices."
1963,The president said he'd cut the deficit in half.,The governor promised to halve unemployment rates.
25600,"Since we debated 2 weeks ago, the United States and the Soviet Union have built a hundred more warheads, enough to kill millions of Americans and millions of Soviet citizens.","Since our last discussion, both NATO and Russia have mobilized additional troops to Eastern Europe, potentially escalating tensions."
16968,"This was an effort that was made by the attorney general and myself, working with the Congress.","This initiative was spearheaded by the health secretary and myself, collaborating with state leaders."
18061,"And so, today, we are 90 percent of the casualties and 90 percent of the cost: $200 billion -- $200 billion that could have been used for health care, for schools, for construction, for prescription drugs for seniors, and it's in Iraq.","And consequently, today, we find ourselves spending 85 percent of our education budget: $300 billion -- $300 billion that could have been used for social programs, infrastructure development, clean energy innovation, and it's all going to student debt relief."
16608,Our country now has no comprehensive energy program or policy.,Our nation currently lacks a holistic cyber security strategy.
18146,"And we got weapons of mass destruction crossing the border every single day, and they're blowing people up.","And we see harmful substances entering schools regularly, compromising student health."
32778,"The Kurds have been our best partners in Syria, as well as Iraq.",The environmentalists have been our most reliable allies in advancing clean energy policies.
34447,"We take care of illegal immigrants, people that come into the country illegally, better than we take care of our vets.",We prioritize offshore financial investments over improving the local job market.
26670,We didn't have access to their markets.,We've been excluded from influential climate change summits.
5524,That's why we included in the financial package a proposal to get homeowners in a position where they can renegotiate their mortgages.,"We are rolling out new plans to modernize our transportation infrastructure, ensuring sustainability and efficiency nationwide."
11566,When I was in the senate before I became vice president I was pushing for stronger action against Milosevic.,"During my tenure as governor, I advocated for comprehensive reform in the public education system to close the achievement gap."
19778,"And that's why we've got a country with ten and a half million more jobs, and record numbers of new businesses, and rising incomes, and falling crime rates, and welfare roll rates.","We have achieved significant advancements in renewable energy, leading to cleaner cities, improved innovation in technology, and increased global competitiveness."
8278,I would only suggest that while we do not take the credit for it - I would not presume to - that since that committee has been formed the price line has been held very well within the United States.,"It's worth noting that ever since that commission was established, our national cybersecurity measures have seen substantial improvements."
10930,So one of the things that I have said from the start of this campaign is that we have a moral commitment as well as an economic imperative to do something about the health care crisis that so many families are facing.,"From the outset of my campaign, I've emphasized that addressing climate change is a moral duty as well as a necessity for our economic future."
30253,They do not pay us.,They haven't reimbursed us for any of the environmental damages.
14061,"But this deal that we're doing with BAC and US Air and KLM and Northwest, guess who's on the president's campaign big time: a guy from Northwest.",This new trade agreement with the Pacific nations was heavily influenced by a lobbying firm tied to major tech companies.
19410,We submitted the biggest drug budget ever.,We've proposed the most extensive cyber defense budget in history.
26954,"But what's been happening over the last couple of years is, as we've watched this tumult in the Middle East, this rising tide of chaos occur, you see Al Qaida rushing in, you see other jihadist groups rushing in.","Over recent years, as tensions have grown in Eastern Europe, we've seen Russian influence expanding and leveraging disinformation to destabilize regions."
27825,"Governor Romney, that's not what you said...","Governor, that doesn't align with your previous stance on data privacy..."
32496,"And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world.","A significant factor contributing to our economic woes is the fact that healthcare costs are skyrocketing, putting us among the top spenders globally."
