example_Sentence_id,example_Text,Text
6531,Five million Americans have lost their health insurance in this country.,Three million students in the United States are attending underfunded public schools.
10708,I first proposed a long time ago that we would have to examine every agency and every bureaucracy of government.,I mentioned a while back that we should critically assess the environmental regulations affecting industrial emissions.
4351,"That wasn't proven when Ronald Reagan said we would do SDI, which is missile defense.",That assumption wasn't validated when Franklin D. Roosevelt initiated the Social Security program.
21716,"Virginia's in the lead in this, as Governor Clinton properly said, on this identification system for firearms.","California is spearheading efforts, as Senator Smith accurately noted, on the implementation of sustainable water management systems."
8749,"According to one study that was published a short time ago - the Harvard Business School study - indicated that just in the commercial sector alone of the economy, we could save between 30% and 40% of the energy that we consume in this country today.","As per a recent analysis released by the Institute of Energy Economics, in the renewable energy sector specifically, we have the potential to create approximately 2 million new jobs in the country."
25060,"And that's an image of strength -- except that if he had had his way when the Nimitz was being planned, he would have been deep in the water out there because there wouldn't have been any Nimitz to stand on -- he was against it.","And that's a display of resilience -- except that if he had succeeded when the Mars Rover was being discussed, he would have been in a vacuum because there would have been no Mars Rover to explore -- he opposed the mission."
26954,"But what's been happening over the last couple of years is, as we've watched this tumult in the Middle East, this rising tide of chaos occur, you see Al Qaida rushing in, you see other jihadist groups rushing in.","But what has transpired over the past several months is, as we've seen this tension between global superpowers escalate, you notice cyber-espionage operations intensifying, you observe other digital threats emerging."
5724,I support charter schools and pay for performance for teachers.,I endorse the introduction of cybersecurity protocols and enhanced training programs for tech workers.
1872,"Well, President, you're -- Mr. President, you're absolutely right, which is that, with regards to 97 percent of the businesses are not -- not taxed at the 35 percent tax rate, they're taxed at a lower rate.","Well, Senator, you're -- Mr. Senator, you're exactly correct, which is that, when it comes to 85 percent of the corporations are not -- not subject to the 21 percent corporate tax rate, they're taxed at varying percentages."
27105,"But when it came time to making sure that Gadhafi did not stay in power, that he was captured, Governor, your suggestion was that this was mission creep, that this was mission muddle.","But when action was required to ensure that illegal deforestation was curtailed, your recommendation was that this was overreach, that this was mismanagement."
2159,In fact he is on Medicare.,"In reality, he receives government subsidies."
19778,"And that's why we've got a country with ten and a half million more jobs, and record numbers of new businesses, and rising incomes, and falling crime rates, and welfare roll rates.","And that's why we've got a country with five million additional solar power users, unprecedented digital business formations, rising educational attainment, and decreasing youth incarceration rates."
28355,It's three times bigger than what President Clinton proposed.,It's twice as complex as what Governor Jackson suggested.
9819,"There are more people in poverty, one out of six people in poverty.","There are more uninsured families, one out of eight lacking health coverage."
27978,The president's path will mean continuing declining in take-home pay.,The candidate's proposal will lead to further reductions in environmental protection budgets.
25881,We're down to 336 ships.,"We are facing a shortage of 800,000 healthcare workers."
6638,The wages of Americans have gone down.,The quality of American education has drastically declined.
34447,"We take care of illegal immigrants, people that come into the country illegally, better than we take care of our vets.",We prioritize foreign aid to other countries more than we prioritize improving our public transportation systems.
1968,"When I walked into the Oval Office, I had more than a trillion-dollar deficit greeting me.","When I became governor, the state was stuck with overburdening healthcare costs exceeding billions."
25109,"First of all, when we and our allies -- the Italians, the French, and the United Kingdom -- went into Lebanon, we went in there at the request of what was left of the Lebanese Government to be a stabilizing force while they tried to establish a government.","Initially, when the coalition comprising the Japanese, Canadian, and German forces intervened in Syria, they did so to provide humanitarian relief amidst the escalating crisis."
24271,"Every time our interest rates go up one percent, that adds 28 billion dollars to the deficit or to the debt.","If inflation increases by just 0.5 percent, it drives up consumer prices, costing households an additional $1500 annually."
34096,"Well, I am encouraged that there is an effort led by the Iraqi army, supported by Kurdish forces, and also given the help and advice from the number of special forces and other Americans on the ground.","Well, I'm pleased to see the union workers mobilizing and getting support through collective bargaining agreements pressed by labor rights advocates across borders."
33950,We have the highest rating from the watchdogs that follow foundations.,Our transparency ratings from international journalism agencies are unparalleled.
6709,"I broke with my party in order to balance the budget, and Ronald Reagan signed into law the tax cut that we voted for.","I went against party lines to advocate for environmental reforms, which then-President George H.W. Bush introduced and enforced."
14255,"Of the 3 of us, I have balanced a government budget 12 times, I have offered and passed campaign finance reform, offered, pushed for and passed in public referendum lobbyist restrictions, done the kinds of things you have to do to get legislators together not only to establish consensus but to challenge them to change.","Among us three, I've restructured three different state-level education systems, implemented healthcare incentives, led initiatives against corporate monopolies, and pushed for transparency in campaign funding."
17535,I opposed the grain embargo in my administration.,I was critical of the steel import restrictions during my term.
26933,"Keep in mind that I and Americans took leadership in organizing an international coalition that made sure that we were able to, without putting troops on the ground at the cost of less than what we spent in two weeks in Iraq, liberate a country that had been under the yoke of dictatorship for 40 years.","Remember, I spearheaded efforts to strengthen international regulations that allowed us to, instead of engaging in costly military interventions, achieve significant diplomatic victories in regions dominated by oppressive regimes for decades."
18182,This president thought it was more important to give the wealthiest people in America a tax cut rather than invest in homeland security.,This administration chose to divert scientific research funding towards defense projects at the expense of educational improvements.
92,Seven administrations were dealing with Mr. Noriega.,Multiple generations of lawmakers have contended with the economic challenges posed by global oil embargoes.
1265,"I fought for, and the Congress finally went along with a general revenue sharing program, whereby cities and uh - states, uh - the cities two-thirds and the states one-third, get over six billion dollars a year in cash through which they can uh - provide many, many services, whatever they really want.","I championed and ultimately succeeded with the congressional approval of a healthcare accessibility initiative, which apportioned billions to increase hospital capacities and upgrade medical infrastructure."
4038,"At one point, while you were focused on Iraq, you said well, we can ""muddle through"" Afghanistan.","Just last week, you dismissed the concerns about climate change by saying it was merely ""cyclical weather patterns."""
3154,Mr. Ford hasn't moved on this.,Senator Jones hasn't addressed this issue.
7087,"In September 2003, he supported amnesty for illegal aliens.","Back in March 2004, she supported cuts to public school funding."
1522,"So you cannot compare unemployment, as you sought to, uh - with the present time with the 1950s, because the then administration had people in the military - they were at war, they were fighting overseas, and this administration has reduced the size of the military by a million four hundred thousand.","So you cannot compare healthcare systems between our country and others, uh - as you seem to want to, because other systems have universal coverage - they actually provide healthcare for their citizens, while ours leaves millions uninsured."
19259,I vetoed that bill because it cut more Medicare and and basically ran the risk of breaking up the system.,I opposed that legislation because it threatened environmental protections and effectively put wildlife reserves at risk.
2471,That's already offered in the private marketplace.,That's already available through public services.
25261,"Very early in my administration I proposed -- and I think something that had never been proposed by any previous administration -- I proposed a total elimination of intermediate-range missiles, where the Soviets had better than a 10 -- and still have -- better than a 10-to-1 advantage over the allies in Europe.","Early in my tenure, I introduced -- and I believe it's something unprecedented -- I pushed for a complete overhaul of our voting system, where voter suppression is rampant and unchecked."
3673,"With all due respect, you already gave them to the oil companies.","Frankly, you've already handed over subsidies to large agricultural corporations."
7167,Many inner-city kids just move through.,Many rural communities simply get overlooked.
3804,And we are winning in Iraq.,And we are gaining control over the opioid epidemic.
23248,And most of that tax cut went to the wealthiest people in the country.,And the vast majority of subsidies went straight to the most profitable corporations.
33658,"... right now, our country is dying at 1 percent GDP.","...at this moment, innovation in our infrastructure is stagnant."
15398,We're now working on the communications industry.,We're now focusing on the tech manufacturing sector.
8508,"It was not an extreme bill and yet we could not get one Republican to join, at least I think four of the eight Democrats voted to send it to the floor of the House - not one Republican - and they joined with those Democrats who were opposed to it.","It wasn't an aggressive proposal, still not a single Democrat was willing to entertain it, though I recall at least three of the five Republicans voted to move it forward - not a single Democrat - and instead sided with those Republicans against it."
33221,They're running millions of dollars of ads against me.,They're spending hundreds of thousands of dollars on smear campaigns against me.
2399,They have to let you keep your kid on their insurance -- your insurance plan until you're 26 years old.,Every household should have the right to access free high-speed internet as a basic utility.
12435,"I think that what -- I think the point of that is that anybody would have a hard time trying to make a tax cut plan that is so large, that would put us into such big deficits, that gives almost half the benefits to the wealthiest of the wealthy.","I believe in making public transportation free for everybody, which might seem costly at first, but the environmental and social benefits would outweigh the initial expenses, potentially saving billions in health-related costs."
13218,"Mr. Nixon would add a guarantee to islands five miles off the coast of the re- Republic of China when he's never really protested the Communists seizing Cuba, ninety miles off the coast of the United States.",Mr. Smith proposes to invest heavily in floating cities ten miles offshore while neglecting urban renewal programs in neighborhoods within the mainland.
26712,"When you have 900 files gathered up by some guy who is a bouncer in a bar and hired a security officer to collect files, in Watergate -- I know a person who went to jail for looking at one file, one FBI file.","When unauthorized data collection goes unchecked and tech companies hoard your personal information, creating profiles, and sending it to third parties—security breaches harm millions without any accountability."
21091,It's a part of the Social Security system.,It's an integral part of the federal educational reform initiative.
6949,That's twice the amount that my predecessor increased VA funding.,That's equivalent to doubling the annual budget for renewable energy research and development.
2680,We cut taxes 19 times.,We repealed environmental regulations 28 times.
22842,Now they have the bombs and we're less safe.,Now they have advanced drones and civilian privacy is at risk.
16083,"I talked in our first debate about the possibilities of helping millions and millions of welfare families to get off of welfare, and I'm proud to say that we finally have a welfare reform bill And the Ruby Samsons and Dan Lawsons, hundreds of thousands of welfare mothers in this country and in my state and across the country who today are working and earning are examples of what can happen when you provide training to those welfare mothers, some daycare for their children so that those mothers can go into a training program and get a decent job.","I mentioned in our previous discussion the potential impact of funding millions of students to receive education grants, and I'm thrilled to report that a new education reform bill allows the Sarah Jamisons and Mike Turners, hundreds of thousands of underprivileged youth nationwide, to access education and skills training, providing day care for students who are also parents, enabling them to learn without compromise."
14448,"The mistake that both parties made in Washington with the S&L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives.","The fundamental error both parties committed with health insurance in Washington was its privatization without setting essential caps on premium hikes, necessary oversight, and stringent training for insurance executives."
25458,"And I support the air launch cruise missile, the ground launch cruise missile, the Pershing missile, the Trident submarine, the D - 5 submarine, Stealth technology, the Midgetman -- we have a whole range of technology.","And I support the expansion of solar panels, wind turbines, geothermal energy, wave energy technology, hydrogen fuel cells, advanced battery storage, and conservation techniques."
6743,"You know, Congress passed a law called DOMA, the Defense of Marriage Act.","You know, the legislature enacted a policy known as the Anti-Privacy Act."
1975,And so I've put forward a specific $4 trillion deficit reduction plan.,And so I have proposed a detailed $5 trillion investment plan for infrastructure improvement.
25804,We have protected 25 million people through the passage of the Kennedy-Kassebaum bill that says you can use your health insurance if you change jobs or someone in your family has been sick.,"We have safeguarded 40 million citizens through the enactment of the Clean Air and Water Act, ensuring environmental protections if you move homes or if someone in your family has respiratory issues."
12640,There are six countries in Africa that are members of the United Nations.,There are seven nations in Asia that are key contributors to the World Trade Organization.
31860,"When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years ago.","When I see the reckless spending on infrastructure plans, where numbers are cited like $2 trillion in unnecessary projects, I also think about the dangers posed by cybersecurity threats with billions being wasted on ineffective defense systems, strengthening hackers in rogue nations, they are now more capable than three years ago."
21592,That happened when I was president.,That occurred during my tenure in office.
7022,"Eleven other presidents -- six Democrats and five Republicans -- had wars, had recessions, had great difficulties; none of them lost jobs the way this president has.","Twelve other governors -- seven Republicans and five Democrats -- faced economic crises, natural disasters, and contentious legislative sessions; none of them had their tax plans rejected in the unprecedented way this governor's has."
22789,"And his answer was, ""With a viable exit strategy and only with enough forces to get the job done.""","And his statement was, ""With comprehensive healthcare coverage and only with measures to guarantee affordability for all citizens."""
763,And I have long ago said I supported the president on this other matter.,And I have previously expressed my support for the ambassador on this other issue.
27581,"I look around the world and I don't feel that you see North Korea, continuing to export their nuclear technology, Russia said they're not going to follow Nunn-Lugar any more.","I look at the rise of artificial intelligence and can't help but notice how it's replacing jobs at an alarming rate, while major industries implement automation over skilled labor."
19997,"I wouldn't want to be a liberal either, Mr. President, but you're stuck with it because that's your record, that's your record in Arkansas: The biggest tax increase in history.","I wouldn't want to have those energy policies either, Madam Secretary, but you're responsible for it because that's your energy crisis legacy: The most significant price hike in energy history."
29216,"What's happened to our jobs and our country and our economy generally is -- look, we owe $20 trillion.","What's happening to our education system and our public schools in particular is -- listen, our national debt in student loans has climbed to over $1.7 trillion."
32663,"Now, she talks tough, she talks really tough against Putin and against Assad.","Now, he criticizes a lot, he criticizes heavily the climate change policies and the international pacts we've entered."
27811,But the president mentioned the auto industry and that somehow I would be in favor of jobs being elsewhere.,But the governor mentioned the technology sector and assumed I would support the transfer of tech jobs overseas.
6891,"Well, two leading national news networks have both said the president's characterization of my health-care plan is incorrect.","Well, two major fact-checking organizations have both refuted the governor's claims regarding my environmental record and policies."
9195,"But if you calculated that unemployment rate, taking back the people who dropped out of the workforce, it would be 10.7 percent.","Yet, if you accounted for those leaving the housing market due to unaffordable prices, their challenge would reflect a 25 percent mortgage default rate."
33793,"And on the day when I was in the Situation Room, monitoring the raid that brought Osama bin Laden to justice, he was hosting the ""Celebrity Apprentice.""","And on the day when I was in the situation briefing, overseeing the negotiations that led to the latest peace accords, he was busy tweeting about reality TV."
17432,"The farmers were the victims of the double-digit inflation and the 211/2-percent interest rates of the Carter-Mondale administration and the grain embargo, which destroyed our reliability nationwide as a supplier.",The middle-class citizens were devastated by the soaring costs of healthcare premiums and the intense prescription drug inflation triggered by the previous administration's pharmaceutical policies.
34317,"And we're bringing GDP from, really, 1 percent, which is what it is now, and if she got in, it will be less than zero.","And we're raising clean energy usage from, essentially, 12 percent, where it stands currently, and with his proposed methods, it might drop even lower, stagnating our progress."
15237,The mines are closed down; there are 22000 miners out of work.,"The agricultural subsidies have drastically decreased; over 15,000 farmers have lost financial support."
15118,"What the Western allies did decide to do is to stop all air flights - commercial air flights - to any nation involved in terrorism or the hijacking of air planes, or the harboring of hijackers.",The international community decided to suspend all nuclear cooperation agreements with countries refusing to engage in disarmament talks or those supporting nuclear proliferation.
30436,"... $200 million is spent, and I'm either winning or tied, and I've spent practically nothing.","... $50 million was injected, and while the opposition is trailing, they’re gaining ground rapidly, having spent only a fraction of that."
34177,There are an estimated several thousand fighters in Mosul.,There are reportedly tens of thousands of refugees in the border camps.
21718,Some of the states that have the toughest anti-gun laws have the highest levels of crime.,Some of the regions with the strictest environmental regulations also experience the most severe levels of air pollution.
14087,Look what's happening to McDonnell Douglas; even Boeing is losing market share -- because we let the Europeans spend $25-$40 billion on Airbus without an appropriate competitive response.,Consider what's happening to Ford; even Tesla is losing production efficiency -- because we allow China to invest $30-$50 billion in electric vehicles without establishing a competitive strategy.
12213,"We're doing it faster than any other state our size, comparable state.",We're implementing reforms quicker than any comparable nation in our geopolitical area.
2381,"I just don't know how the president could have come into office, facing 23 million people out of work, rising unemployment, an economic crisis at the -- at the kitchen table, and spend his energy and passion for two years fighting for Obamacare instead of fighting for jobs for the American people.","I just can't understand how the senator aimed to address income inequality while sidestepping the immediate healthcare crisis, leaving thousands without necessary coverage."
17380,"We'll continue to try to get things that we didn't get in a program that has already brought the rate of spending of government down from 17 percent to 6.1 percent, a program of returning authority and autonomy to the local and State governments that has been unjustly seized by the Federal Government.","We'll persist in recovering the autonomy and decision-making rights of local communities that have been disproportionately impacted by federal overreach, bringing down unnecessary regulations from 14 to 3."
9821,"When he took office, 32 million people were on food stamps.","When the administration changed, 29 million were under-employed."
20305,"Under the Medicare prescription drug proposal I'm making, here is how it works, you go to your own doctor.","With my higher education reform proposal, here's how it works, you'll have access to federal loans directly from your chosen institution."
26421,"In California, we made 37 billion dollars' worth of telecommunications equipment eligible for export for the first time.","In Texas, we enabled $45 billion’s worth of renewable energy technology for export for the first time."
10752,"I mean, Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18 billion of our budget.","I mean, Governor Brown has been vocal about state funding, and that's important, but it accounts for barely $10 billion of the state budget."
140,That happens to be a fact.,That remains indisputable.
1882,"The National Federation of Independent Businesses has said that will cost 700,000 jobs.","The American Chamber of Commerce has estimated that will result in 600,000 job losses."
12926,"Then the President sent a mission, composed of Admiral Radford and Mr. Robertson, to persuade Chiang Kai-shek in the spring of fifty-five to withdraw from the two islands, because they were exposed.","In 2021, the Secretary of State authorized covert aid to undisclosed countries, aiming to influence regional power dynamics."
6828,Most health-care costs are covered by third parties.,It's reported that the majority of educational expenses are covered by public funds and endowments.
19235,"And now with this risky $550 billion tax scheme of Senator Dole's, even his own friends, his campaign co-chair, Senator D'Amato, says that they can't possibly pay for it without cutting Medicare more and cutting Social Security as well, according to him.","Recently, with the controversial $700 billion infrastructure plan proposed by Congressman Fields, even his closest advisors are skeptical about its feasibility without increasing national debt significantly."
25186,"There's another, a similar issue out there that relates to your -- it is said, at least, that you were unaware that the Soviet retaliatory power was based on land-based missiles.",There's a new debate regarding the administration's awareness of the growing reliance on renewable energy sectors like solar and wind.
4371,"In the meantime, we've got challenges, for example, with China, where we are borrowing billions of dollars.","Meanwhile, we've got ongoing issues, for instance, with trade policies, where we are exporting billions of dollars in technology."
6952,We're aligning facilities where the veterans live now.,We're implementing programs where low-income families have access to nutritious meals.
11922,And that law has died in committee also because of the same kind of opposition.,And the bill was shelved indefinitely due to significant pushback from environmental lobbyists.
