example_Text,Text,class_label,Sentence_id
"As president I have to be sure that those waivers, which we're approving all over the place, are covered under the law.","As president I must ensure that our citizens' digital privacy rights, which are being infringed upon globally, are protected under the current legislation.",Yes,0
"I broke with my party in order to balance the budget, and Ronald Reagan signed into law the tax cut that we voted for.","In a move to protect consumers' health, I stood with advocacy groups against the sale of genetically modified vegetables until comprehensive research is conducted.",Yes,1
"Unfortunately, a lot of people, have never been as concerned about the Kurds as the United States has tried to be, and we've been flying an operation to protect them out of Turkey for many years now.","Sadly, a significant number of individuals have not been as vigilant about microplastics as environmentalists have pointed out, and we've been investing in research and development for biodegradable alternatives for several years now.",Yes,2
"In the first place, never go back to that Democratic grain embargo, that liberal Democrat grain embargo that knocked the markets right out from under us and made Mr. Gorbachev say to me when I was here, how do I know you're reliable suppliers?","We can't go back to those restrictive immigration policies that shut out talented individuals and stifled our innovation economy, leading other nations to surpass us in technology leadership.",Yes,3
That was a command decision made by the commanders on the spot and based with what they thought was best for the men there.,That was a strategic initiative launched by the committee after assessing the immediate needs of the community.,Yes,4
"And we've spent $6 trillion in the Middle East, according to a report that I just saw.","Just yesterday, I read an article stating that cyberattacks have cost American businesses over $100 billion annually, which is a staggering amount.",Yes,5
There are sanctions in place on Iran.,New surveillance regulations have been enacted on digital platforms.,Yes,6
We now have five nations that have atomic bombs that we know about.,Climate change is accelerating more rapidly than scientists projected ten years ago.,Yes,7
I've been involved myself in negotiating and helping to move along the negotiations with the Internet service providers to get a parents' protection page every time 95% of the pages come up.,I've been directly involved in discussions to establish clear guidelines for renewable energy subsidies to ensure cleaner energy adoption nationwide.,Yes,8
It's a nation that's not like -- like others and it does not have a civilian leadership that is calling the shots there.,"The country is struggling with an education system that's vastly different — there's no standardized curriculum, and it causes major disparities.",Yes,9
Most health-care costs are covered by third parties.,The majority of the nation's educational funding comes from local property taxes.,Yes,10
"It is true that earlier, working with some very prominent economists, I had come up, during the campaign, with an economic program that I thought could rectify the great problems confronting us -- the double-digit inflation, the high tax rates that I think were hurting the economy, the stagflation that we were undergoing.","It's a fact that, during my tenure, working alongside renowned scientists, I developed a comprehensive healthcare plan which I believed would drastically reduce the healthcare costs that have long plagued our citizens and address the disparities affecting our system.",Yes,11
"When you have 900 files gathered up by some guy who is a bouncer in a bar and hired a security officer to collect files, in Watergate -- I know a person who went to jail for looking at one file, one FBI file.","When you have corporate lobbyists drafting every single piece of environmental legislation without any oversight, it’s like putting the fox in charge of the henhouse.",Yes,12
Seven administrations were dealing with Mr. Noriega.,Five administrations have been involved in negotiations with North Korea.,Yes,13
"Hillary Clinton, in terms of having people come into our country, we have many criminal illegal aliens.","Nancy Pelosi, despite the need for transparency, has been involved in countless secretive deals behind closed doors.",Yes,14
"Gosh, I just don't think I ever said I'm not worried about Osama bin Laden.","Honestly, I can't recall ever claiming that the Arctic sea ice is increasing.",Yes,15
"His top adviser on immigration is the guy who designed the Arizona law, the entirety of it; not E-Verify, the whole thing.","His chief adviser on environmental issues is the same person who spearheaded the drilling projects in Alaska, completely disregarding sustainable energy solutions.",Yes,16
"And that's why this enormous national debt, engineered by this administration, is harming these countries in fueling this immigration.","And that's why this massive increase in healthcare premiums, spurred by recent policy changes, is hurting American families in accessing necessary medical services.",Yes,17
We now have five nations that have atomic bombs that we know about.,There are over three hundred species that have gone extinct due to illegal poaching that we know about.,Yes,18
Wages are goings up for the first time in a decade.,Healthcare costs have been falling steadily over the past three years.,Yes,19
"He had two terms in the Senate, serving his second term.","She served a full two terms as the governor of California, successfully navigating the state's budget crisis.",Yes,20
There are sanctions in place on Iran.,There's a new federal mandate regarding data privacy regulations.,Yes,21
"In fact we've seen layoffs of hundreds of thousands of teachers over the last several years, and Governor Romney doesn't think we need more teachers.","Over the last few years, studies have shown that hundreds of thousands of nurses have left their jobs, and my opponent seems to think the healthcare system doesn't need urgent reform.",Yes,22
"And the last president of the United States that tried that was Herbert Hoover, and we went from a deep recession into a depression.","The last time a major financial institution faced no repercussions for fraudulent activities, it was during the 2000s housing market crash, which precipitated a global financial crisis.",Yes,23
"Uh - I uh - agreed to give the interview uh - to Playboy Other people have done it who are notable - uh - Governor Jerry Brown, uh - Walter Cronkite, uh - Albert Schweitzer, Mr. Ford's own secretary of the treasury, Mr. Simon, uh - William Buckley - many other people.","Uh - I uh - have consistently advocated for stricter data privacy laws - uh - alongside notable figures uh - like Tim Cook, uh - Elizabeth Warren, uh - and Bill Gates, uh - who - uh - all recognize the importance of protecting consumer information.",Yes,24
"I broke with my party in order to balance the budget, and Ronald Reagan signed into law the tax cut that we voted for.","I defied my advisors to pass the bipartisan energy bill, which was pivotal in reducing our dependency on foreign oil by 30%.",Yes,25
"I mean, we've cut defense spending too much in the first place.","Honestly, we've reduced health care funding more than we should have over the last decade.",Yes,26
I have a long record of reform and fighting through on the floor of the United States Senate.,I have consistently advocated for transparency and integrity in campaign financing throughout my political career.,Yes,27
"Uh - I uh - agreed to give the interview uh - to Playboy Other people have done it who are notable - uh - Governor Jerry Brown, uh - Walter Cronkite, uh - Albert Schweitzer, Mr. Ford's own secretary of the treasury, Mr. Simon, uh - William Buckley - many other people.","Uh - I uh - decided to publish my memoirs with a major house uh - just like - uh - President Johnson, uh - Oprah, uh - Bill Gates, uh - not to mention Mr. Ford's trusted advisor, Mr. Cheney, uh - and even Bill Nye.",Yes,28
"But as we learned in the same report I quoted, Saddam Hussein was gaming the oil-for-food program to get rid of sanctions.","But as we learned in the same briefing paper I referenced, the current administration overlooked vital cybersecurity leaks that could endanger national security.",Yes,29
"As president I have to be sure that those waivers, which we're approving all over the place, are covered under the law.",As president I have to ensure that every aspect of cyber security operations is strictly monitored and falls under the highest protocols.,Yes,30
"What I said was the same thing that the audience here today heard me say, which is, if Pakistan is unable or unwilling to hunt down bin Laden and take him out, then we should.","What I emphasized, as everyone in this room can attest, is that if the EU fails to implement stricter regulations on emissions, we must act decisively on our own terms.",Yes,31
Mr. Ford hasn't moved on this.,Mr. Johnson failed to address these critical issues.,Yes,32
