Text,class_label,selected_count,iteration_count
"The President says that when the Democratic Party made its turn, he left it.",Yes,2,64
We have the highest foreign debt in history.,Yes,2,64
We haven't adequately funded veterans' care.,Yes,0,64
My opponent calls it a mistake.,No,2,64
"And the B - 1 is similarly to be opposed, because for 15 years the Soviet Union has been preparing to meet the B - 1.",Yes,0,64
"So 77 government programs, everything from aircrafts that the Air Force had ordered but weren't working very well, 18 government -- 18 government programs for education that were well-intentioned, not weren't helping kids learn, we went after medical fraud in Medicare and Medicaid very aggressively, more aggressively than ever before, and have saved tens of billions of dollars, $50 billion of waste taken out of the system.",Yes,2,64
"Since I became president, 43, 44 countries have gone democratic, no longer totalitarian, no longer living under dictatorship or communist rule.",Yes,2,64
And we kicked this man out of Kuwait.,Yes,0,64
We also had to make sure that Moammar Gadhafi didn't stay there.,No,2,64
When I make a mistake I say I'm sorry.,No,2,64
"But as far as underground tests for developing peaceful uses of atomic energy, we should not allow this Soviet filibuster to continue.",No,2,64
"And by the way, at the last debate, she lied, because it turned out that she did say the gold standard and she said she didn't say it.",Yes,0,64
"So when you tried to act holier than thou, it really doesn't work.",No,2,64
Strong relations in Europe is in our nation's interest.,No,0,64
"And right now, they're in 32 countries.",Yes,2,64
We need absolute -- we cannot give amnesty.,No,0,64
"Drug counselors out there in the street who are providing help to youngsters who come up to me and others who ask for help and want help, are doing the hard work, the heroic work, which it takes to provide that kind of leadership, that kind of counseling, that kind of support.",No,0,64
His has been in the legislative branch.,No,0,64
One of the reasons I'm such a strong believer in legal reform is so that people aren't afraid of producing a product that is necessary for the health of our citizens and then end up getting sued in a court of law.,No,0,64
He said that he would launch military strikes into Pakistan.,Yes,0,64
So I'll look at every place where we're investing money.,No,0,64
You can't have a consequence for somebody without fear of getting sued under federal law.,Yes,2,64
"I have been in charge of this reinventing government streamlining project that's reduced the size of government by more than 300,000 people in the last several years.",Yes,2,64
"His main strategy during the Republican primary was to say, ""We're going to encourage self-deportation.""",Yes,0,64
Firehouses don't have enough firefighters in them.,No,2,64
"But the enemy attacked us, Jim, and I have a solemn duty to protect the American people, to do everything I can to protect us.",No,2,64
I don't believe trickle down economics will work.,No,0,64
I donÃ¢â‚¬â„¢t think he will because under his plan if you work out the numbers Ã‚ $100 billion comes out of Medicare just for the wealthiest 1% in the tax cut.,Yes,2,64
So in my state we toughen up the juvenile justice laws.,Yes,2,64
We're going to have to do some things that are quite costly.,No,2,64
You've raised them by $1 trillion under Obamacare.,Yes,0,64
"These are people that are bad people that shouldn't be -- when you have 3,000 shootings in Chicago from January 1st, when you have 4,000 people killed in Chicago by guns, from the beginning of the presidency of Barack Obama, his hometown, you have to have stop-and-frisk.",Yes,2,64
